time,Minnesota,pts.away,score,pts.home,Memphis
2:14.0,,,67-88,1,J. Green makes free throw 2 of 2
2:14.0,N. Bjelica enters the game for G. Dieng,,67-87,,
2:14.0,C. Aldrich enters the game for R. Rubio,,67-87,,
2:14.0,,,67-87,,W. Baldwin enters the game for M. Conley
1:50.0,N. Bjelica misses 2-pt shot from 8 ft,,67-88,,
1:50.0,,,67-88,,Defensive rebound by Team
1:50.0,Loose ball foul by K. Dunn (drawn by A. Harrison),,67-88,,
1:50.0,,,67-89,1,A. Harrison makes free throw 1 of 2
1:50.0,,,67-90,1,A. Harrison makes free throw 2 of 2
1:50.0,,,67-89,,J. Martin enters the game for J. Green
1:32.0,K. Dunn misses 2-pt shot from 20 ft,,67-90,,
1:32.0,,,67-90,,Defensive rebound by A. Harrison
1:28.0,,,67-92,2,T. Williams makes 2-pt shot from 2 ft (assist by A. Harrison)
1:12.0,,,67-92,,Violation by D. Davis (kicked ball)
1:05.0,C. Aldrich makes 2-pt shot at rim (assist by T. Jones),2,69-92,,
0:44.0,,,69-92,,Turnover by J. Martin (bad pass; steal by A. Payne)
0:37.0,Turnover by A. Payne (bad pass; steal by W. Baldwin),,69-92,,
0:37.0,,,69-92,,Shooting foul by K. Dunn (drawn by D. Davis)
0:37.0,,,69-92,,D. Davis misses free throw 1 of 2
0:37.0,,,69-92,,Offensive rebound by Team
0:37.0,,,69-93,1,D. Davis makes free throw 2 of 2
0:37.0,J. Lucas III enters the game for K. Dunn,,69-92,,
0:27.0,,,69-93,,Personal foul by T. Williams (drawn by N. Bjelica)
0:27.0,N. Bjelica makes free throw 1 of 2,1,70-93,,
0:27.0,N. Bjelica makes free throw 2 of 2,1,71-93,,
0:03.0,,,71-93,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
