time,Toronto,pts.away,score,pts.home,Memphis
2:38.0,,,93-99,,Defensive rebound by V. Carter
2:24.0,,,93-99,,Turnover by M. Gasol (bad pass)
2:18.0,K. Lowry makes 3-pt shot from 26 ft,3,96-99,,
2:18.0,Shooting foul by T. Allen (drawn by K. Lowry),,96-99,,
2:18.0,K. Lowry makes free throw 1 of 1,1,97-99,,
1:59.0,Personal foul by C. Joseph (drawn by M. Conley),,97-99,,
1:48.0,,,97-99,,M. Conley misses 2-pt shot from 11 ft
1:46.0,Defensive rebound by J. Valanciunas,,97-99,,
1:37.0,N. Powell misses 2-pt shot from 1 ft (block by T. Allen),,97-99,,
1:37.0,Offensive rebound by Team,,97-99,,
1:37.0,Toronto full timeout,,97-99,,
1:37.0,,,97-99,,J. Ennis enters the game for Z. Randolph
1:31.0,K. Lowry makes 2-pt shot from 18 ft (assist by N. Powell),2,99-99,,
1:11.0,,,99-99,,M. Gasol misses 2-pt shot from 13 ft
1:07.0,Defensive rebound by K. Lowry,,99-99,,
0:50.0,P. Patterson misses 3-pt shot from 26 ft,,99-99,,
0:49.0,,,99-99,,Defensive rebound by T. Allen
0:45.0,,,99-99,,Memphis full timeout
0:45.0,,,99-99,,Z. Randolph enters the game for T. Allen
0:36.0,,,99-99,,Shooting foul by J. Valanciunas (drawn by M. Gasol)
0:36.0,,,99-100,1,M. Gasol makes free throw 1 of 2
0:36.0,,,99-101,1,M. Gasol makes free throw 2 of 2
0:36.0,Toronto full timeout,,99-101,,
0:36.0,,,99-100,,T. Allen enters the game for Z. Randolph
0:36.0,T. Ross enters the game for P. Patterson,,99-101,,
0:29.0,T. Ross misses 3-pt shot from 24 ft,,99-101,,
0:28.0,,,99-101,,Defensive rebound by M. Conley
0:06.0,,,99-101,,M. Conley misses 2-pt shot from 2 ft
0:06.0,Defensive rebound by J. Valanciunas,,99-101,,
0:06.0,Toronto full timeout,,99-101,,
0:01.0,K. Lowry misses 3-pt shot from 28 ft,,99-101,,
0:00.0,Offensive rebound by Team,,99-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
