time,Chicago,pts.away,score,pts.home,Memphis
2:42.0,,,99-96,2,M. Gasol makes 2-pt shot from 1 ft (assist by V. Carter)
2:21.0,D. McDermott misses 2-pt shot from 10 ft (block by V. Carter),,99-96,,
2:18.0,,,99-96,,Defensive rebound by M. Gasol
2:12.0,Personal foul by T. Gibson (drawn by Z. Randolph),,99-96,,
2:12.0,,,99-96,,Memphis full timeout
2:02.0,,,99-96,,M. Conley misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by T. Gibson,,99-96,,
2:01.0,,,99-96,,Personal foul by Z. Randolph (drawn by T. Gibson)
2:01.0,T. Gibson misses free throw 1 of 2,,99-96,,
2:01.0,Offensive rebound by Team,,99-96,,
2:01.0,T. Gibson makes free throw 2 of 2,1,100-96,,
2:01.0,,,99-96,,T. Daniels enters the game for T. Allen
1:54.0,,,100-96,,T. Daniels misses 3-pt shot from 25 ft
1:52.0,,,100-96,,Offensive rebound by Z. Randolph
1:52.0,,,100-98,2,Z. Randolph makes 2-pt shot from 2 ft
1:40.0,J. Butler misses 3-pt shot from 25 ft,,100-98,,
1:39.0,,,100-98,,Defensive rebound by M. Conley
1:33.0,,,100-98,,Shooting foul by M. Carter-Williams (drawn by M. Conley)
1:33.0,,,100-99,1,M. Conley makes free throw 1 of 2
1:33.0,,,100-100,1,M. Conley makes free throw 2 of 2
1:33.0,,,100-99,,T. Allen enters the game for T. Daniels
1:16.0,T. Gibson makes 2-pt shot at rim (assist by M. Carter-Williams),2,102-100,,
1:06.0,,,102-102,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
0:54.0,J. Butler makes 2-pt shot from 18 ft,2,104-102,,
0:39.0,,,104-104,2,M. Conley makes 2-pt shot from 20 ft (assist by M. Gasol)
0:26.0,J. Butler makes 2-pt shot from 15 ft,2,106-104,,
0:24.0,,,106-104,,Memphis full timeout
0:24.0,,,106-104,,T. Daniels enters the game for T. Allen
0:09.0,,,106-104,,M. Conley misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by D. McDermott,,106-104,,
0:07.0,,,106-104,,Personal take foul by M. Conley (drawn by D. McDermott)
0:07.0,D. McDermott makes free throw 1 of 2,1,107-104,,
0:07.0,D. McDermott makes free throw 2 of 2,1,108-104,,
0:06.0,,,108-104,,Turnover by M. Gasol (bad pass; steal by J. Butler)
0:06.0,Chicago full timeout,,108-104,,
0:06.0,D. Valentine enters the game for T. Gibson,,108-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
