time,Utah,pts.away,score,pts.home,LA Lakers
1:09.0,,,97-99,,N. Young enters the game for L. Williams
1:09.0,J. Johnson enters the game for B. Diaw,,97-99,,
1:00.0,G. Hayward misses 3-pt shot from 24 ft,,97-99,,
0:58.0,Offensive rebound by R. Gobert,,97-99,,
0:57.0,R. Gobert makes 2-pt shot from 2 ft,2,99-99,,
0:57.0,,,99-99,,LA Lakers full timeout
0:57.0,,,99-99,,L. Williams enters the game for B. Ingram
0:33.0,,,99-99,,L. Williams misses 2-pt shot from 8 ft
0:33.0,,,99-99,,Offensive rebound by Team
0:33.0,,,99-99,,Turnover by Team (shot clock)
0:33.0,,,99-99,,B. Ingram enters the game for L. Williams
0:22.0,J. Ingles makes 3-pt shot from 23 ft (assist by S. Mack),3,102-99,,
0:22.0,,,102-99,,LA Lakers full timeout
0:22.0,,,102-99,,L. Williams enters the game for B. Ingram
0:14.0,,,102-99,,Shooting foul by R. Gobert (drawn by J. Randle)
0:14.0,,,102-100,1,J. Randle makes free throw 1 of 2
0:14.0,,,102-100,,J. Randle misses free throw 2 of 2
0:14.0,D. Favors enters the game for S. Mack,,102-100,,
0:14.0,,,102-100,,B. Ingram enters the game for L. Williams
0:13.0,Defensive rebound by R. Gobert,,102-100,,
0:13.0,,,102-100,,Personal take foul by L. Deng (drawn by R. Gobert)
0:13.0,R. Gobert misses free throw 1 of 2,,102-100,,
0:13.0,Offensive rebound by Team,,102-100,,
0:13.0,R. Gobert misses free throw 2 of 2,,102-100,,
0:13.0,S. Mack enters the game for D. Favors,,102-100,,
0:13.0,,,102-100,,L. Williams enters the game for B. Ingram
0:12.0,,,102-100,,Defensive rebound by L. Deng
0:03.0,,,102-100,,D. Russell misses 3-pt shot from 26 ft
0:00.0,,,102-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
