time,Atlanta,pts.away,score,pts.home,Sacramento
3:17.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,101-94,,
2:59.0,,,101-97,3,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Barnes)
2:34.0,K. Bazemore misses 2-pt shot from 23 ft,,101-97,,
2:33.0,,,101-97,,Defensive rebound by Team
2:33.0,Atlanta full timeout,,101-97,,
2:09.0,,,101-100,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
1:53.0,T. Hardaway misses 3-pt shot from 25 ft,,101-100,,
1:51.0,,,101-100,,Defensive rebound by M. Barnes
1:39.0,,,101-100,,Turnover by D. Cousins (lost ball; steal by P. Millsap)
1:23.0,Turnover by T. Hardaway (lost ball; steal by B. McLemore),,101-100,,
1:16.0,,,101-100,,B. McLemore misses 3-pt shot from 24 ft
1:15.0,,,101-100,,Offensive rebound by M. Barnes
1:14.0,,,101-102,2,M. Barnes makes 2-pt shot from 4 ft
1:11.0,Atlanta full timeout,,101-102,,
1:11.0,M. Dunleavy enters the game for D. Bembry,,101-102,,
1:01.0,,,101-102,,Personal foul by D. Collison (drawn by D. Schroder)
1:01.0,D. Schroder makes free throw 1 of 2,1,102-102,,
1:01.0,D. Schroder makes free throw 2 of 2,1,103-102,,
1:01.0,D. Howard enters the game for M. Dunleavy,,102-102,,
0:45.0,,,103-102,,Shooting foul by D. Howard (drawn by D. Cousins)
0:45.0,,,103-103,1,D. Cousins makes free throw 1 of 2
0:45.0,,,103-104,1,D. Cousins makes free throw 2 of 2
0:45.0,M. Dunleavy enters the game for D. Howard,,103-102,,
0:35.0,D. Schroder makes 2-pt shot from 18 ft,2,105-104,,
0:35.0,,,105-104,,Sacramento full timeout
0:35.0,D. Bembry enters the game for M. Dunleavy,,105-104,,
0:21.0,,,105-104,,D. Cousins misses 2-pt shot from 5 ft
0:21.0,,,105-104,,Offensive rebound by D. Cousins
0:21.0,,,105-106,2,D. Cousins makes 2-pt shot from 5 ft
0:21.0,Atlanta full timeout,,105-106,,
0:21.0,M. Dunleavy enters the game for D. Bembry,,105-106,,
0:08.0,P. Millsap makes 2-pt shot from 11 ft,2,107-106,,
0:08.0,,,107-106,,Sacramento full timeout
0:08.0,D. Bembry enters the game for M. Dunleavy,,107-106,,
0:04.0,,,107-108,2,D. Collison makes 2-pt shot from 2 ft
0:04.0,Atlanta full timeout,,107-108,,
0:04.0,M. Dunleavy enters the game for D. Schroder,,107-108,,
0:04.0,K. Humphries enters the game for D. Bembry,,107-108,,
0:01.0,T. Hardaway misses 2-pt shot from 3 ft (block by M. Barnes),,107-108,,
0:00.0,,,107-108,,Defensive rebound by D. Collison
0:00.0,End of 4th quarter,,,,End of 4th quarter
