time,Dallas,pts.away,score,pts.home,Portland
3:54.0,D. Powell enters the game for S. Mejri,,90-84,,
3:40.0,H. Barnes misses 2-pt shot from 20 ft,,90-85,,
3:39.0,,,90-85,,Defensive rebound by A. Aminu
3:15.0,,,90-85,,A. Crabbe misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by D. Powell,,90-85,,
2:56.0,W. Matthews misses 2-pt shot from 12 ft,,90-85,,
2:56.0,,,90-85,,Defensive rebound by A. Aminu
2:42.0,,,90-88,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Plumlee)
2:41.0,Dallas full timeout,,90-88,,
2:30.0,D. Williams makes 2-pt shot from 16 ft,2,92-88,,
2:10.0,,,92-91,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
1:50.0,H. Barnes misses 2-pt shot from 12 ft,,92-91,,
1:49.0,,,92-91,,Defensive rebound by D. Lillard
1:41.0,,,92-91,,Turnover by D. Lillard (lost ball; steal by W. Matthews)
1:38.0,W. Matthews makes 2-pt shot at rim,2,94-91,,
1:19.0,,,94-93,2,C. McCollum makes 2-pt shot from 1 ft
1:00.0,D. Williams makes 2-pt shot from 15 ft,2,96-93,,
0:44.0,,,96-95,2,D. Lillard makes 2-pt shot at rim
0:23.0,H. Barnes misses 2-pt shot from 7 ft (block by C. McCollum),,96-95,,
0:23.0,Offensive rebound by Team,,96-95,,
0:20.0,D. Williams misses 3-pt shot from 28 ft,,96-95,,
0:20.0,Offensive rebound by Team,,96-95,,
0:20.0,Turnover by Team (shot clock),,96-95,,
0:20.0,,,96-95,,Portland full timeout
0:20.0,D. Finney-Smith enters the game for S. Curry,,96-95,,
0:13.0,,,96-95,,Turnover by D. Lillard (bad pass)
0:13.0,,,96-95,,S. Napier enters the game for C. McCollum
0:13.0,Turnover by D. Williams (bad pass; steal by M. Plumlee),,96-95,,
0:10.0,,,96-95,,Portland full timeout
0:10.0,,,96-95,,C. McCollum enters the game for M. Plumlee
0:00.0,,,96-95,,D. Lillard misses 3-pt shot from 29 ft
0:00.0,,,96-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
