time,Memphis,pts.away,score,pts.home,San Antonio
8:34.0,,,74-76,,Loose ball foul by D. Lee (drawn by J. Ennis)
8:34.0,Memphis full timeout,,74-76,,
8:34.0,,,74-76,,L. Aldridge enters the game for P. Gasol
8:19.0,Z. Randolph misses 3-pt shot from 24 ft,,74-76,,
8:18.0,,,74-76,,Defensive rebound by L. Aldridge
8:05.0,,,74-78,2,D. Lee makes 2-pt shot from 2 ft (assist by T. Parker)
7:41.0,A. Harrison misses 3-pt shot from 26 ft,,74-78,,
7:40.0,,,74-78,,Defensive rebound by J. Simmons
7:31.0,,,74-78,,J. Simmons misses 2-pt shot at rim (block by B. Wright)
7:31.0,,,74-78,,Offensive rebound by Team
7:31.0,M. Gasol enters the game for Z. Randolph,,74-78,,
7:31.0,,,74-78,,K. Leonard enters the game for D. Green
7:31.0,T. Allen enters the game for A. Harrison,,74-78,,
7:23.0,,,74-80,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
7:13.0,Memphis full timeout,,74-80,,
6:53.0,M. Conley misses 3-pt shot from 24 ft,,74-80,,
6:51.0,Offensive rebound by B. Wright,,74-80,,
6:47.0,M. Conley misses 3-pt shot from 23 ft,,74-80,,
6:46.0,,,74-80,,Defensive rebound by L. Aldridge
6:31.0,,,74-82,2,K. Leonard makes 2-pt shot from 11 ft
6:16.0,,,74-82,,Personal foul by T. Parker (drawn by M. Conley)
6:16.0,A. Harrison enters the game for M. Conley,,74-82,,
5:59.0,Turnover by Team (shot clock),,74-82,,
5:36.0,,,74-82,,T. Parker misses 3-pt shot from 25 ft
5:35.0,,,74-82,,Offensive rebound by D. Lee
5:22.0,,,74-82,,Shooting foul by A. Harrison (drawn by T. Parker)
5:22.0,,,74-83,1,T. Parker makes free throw 1 of 2
5:22.0,,,74-83,,T. Parker misses free throw 2 of 2
5:22.0,Defensive rebound by J. Ennis,,74-83,,
5:00.0,Turnover by M. Gasol (bad pass),,74-83,,
5:00.0,,,74-83,,P. Mills enters the game for T. Parker
4:43.0,,,74-83,,Shooting foul by J. Ennis (drawn by L. Aldridge)
4:43.0,,,74-84,1,L. Aldridge makes free throw 1 of 2
4:43.0,,,74-85,1,L. Aldridge makes free throw 2 of 2
4:43.0,Z. Randolph enters the game for J. Ennis,,74-84,,
4:43.0,T. Daniels enters the game for A. Harrison,,74-84,,
4:43.0,M. Conley enters the game for B. Wright,,74-84,,
4:43.0,,,74-84,,T. Parker enters the game for P. Mills
4:33.0,,,74-85,,Personal foul by L. Aldridge (drawn by M. Gasol)
4:33.0,,,74-85,,P. Mills enters the game for J. Simmons
4:25.0,Z. Randolph makes 2-pt shot from 3 ft (assist by T. Allen),2,76-85,,
4:07.0,,,76-85,,K. Leonard misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by Z. Randolph,,76-85,,
3:58.0,Turnover by M. Conley (bad pass; steal by K. Leonard),,76-85,,
3:54.0,,,76-87,2,P. Mills makes 2-pt shot from 3 ft (assist by T. Parker)
3:54.0,,,76-87,,Shooting foul by T. Daniels
3:54.0,,,76-88,1,P. Mills makes free throw 1 of 1
3:44.0,T. Allen misses 3-pt shot from 25 ft,,76-88,,
3:42.0,Offensive rebound by Team,,76-88,,
3:36.0,M. Conley makes 2-pt shot from 10 ft,2,78-88,,
3:36.0,Shooting foul by L. Aldridge (drawn by M. Conley),,78-88,,
3:36.0,,,78-88,,San Antonio full timeout
3:36.0,M. Conley makes free throw 1 of 1,1,79-88,,
3:24.0,,,79-88,,K. Leonard misses 2-pt shot from 5 ft (block by T. Allen)
3:22.0,Defensive rebound by M. Conley,,79-88,,
3:18.0,M. Conley misses 2-pt shot from 3 ft,,79-88,,
3:15.0,Offensive rebound by T. Allen,,79-88,,
3:12.0,T. Allen misses 2-pt shot from 3 ft (block by L. Aldridge),,79-88,,
3:10.0,,,79-88,,Defensive rebound by L. Aldridge
2:55.0,,,79-88,,L. Aldridge misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by M. Gasol,,79-88,,
2:32.0,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley),2,81-88,,
2:10.0,,,81-90,2,L. Aldridge makes 2-pt shot from 13 ft
2:08.0,Memphis full timeout,,81-90,,
2:08.0,V. Carter enters the game for T. Allen,,81-90,,
1:46.0,M. Gasol makes 2-pt shot from 2 ft,2,83-90,,
1:32.0,Personal foul by V. Carter (drawn by K. Leonard),,83-90,,
1:32.0,T. Allen enters the game for V. Carter,,83-90,,
1:23.0,,,83-92,2,T. Parker makes 2-pt shot from 17 ft
1:23.0,Memphis full timeout,,83-92,,
1:23.0,V. Carter enters the game for T. Allen,,83-92,,
1:17.0,Shooting foul by T. Parker (drawn by M. Conley),,83-92,,
1:17.0,M. Conley makes free throw 1 of 2,1,84-92,,
1:17.0,M. Conley makes free throw 2 of 2,1,85-92,,
1:17.0,T. Allen enters the game for V. Carter,,84-92,,
1:17.0,J. Ennis enters the game for Z. Randolph,,84-92,,
0:54.0,,,85-92,,Offensive foul by K. Leonard
0:54.0,,,85-92,,Turnover by K. Leonard (offensive foul)
0:54.0,V. Carter enters the game for T. Allen,,85-92,,
0:54.0,Z. Randolph enters the game for J. Ennis,,85-92,,
0:49.0,M. Conley makes 2-pt shot from 2 ft,2,87-92,,
0:27.0,,,87-95,3,T. Parker makes 3-pt shot from 24 ft (assist by K. Leonard)
0:27.0,Memphis full timeout,,87-95,,
0:20.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley),3,90-95,,
