time,Toronto,pts.away,score,pts.home,Houston
3:02.0,,,104-93,,C. Capela enters the game for M. Harrell
3:02.0,,,104-93,,R. Anderson enters the game for E. Gordon
2:56.0,,,104-96,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
2:30.0,D. Carroll makes 2-pt shot from 12 ft (assist by P. Patterson),2,106-96,,
2:18.0,,,106-99,3,J. Harden makes 3-pt shot from 26 ft
1:56.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,109-99,,
1:49.0,,,109-99,,R. Anderson misses 3-pt shot from 26 ft
1:47.0,,,109-99,,Offensive rebound by P. Beverley
1:36.0,,,109-99,,Turnover by J. Harden (bad pass; steal by P. Patterson)
1:31.0,D. Carroll makes 2-pt shot at rim (assist by K. Lowry),2,111-99,,
1:30.0,,,111-99,,Houston full timeout
1:08.0,,,111-99,,Turnover by P. Beverley (traveling)
1:01.0,,,111-99,,Personal foul by P. Beverley (drawn by K. Lowry)
1:01.0,,,111-99,,S. Dekker enters the game for J. Harden
0:46.0,K. Lowry misses 3-pt shot from 30 ft,,111-99,,
0:45.0,Offensive rebound by P. Patterson,,111-99,,
0:28.0,D. Carroll makes 2-pt shot from 13 ft (assist by D. DeRozan),2,113-99,,
0:18.0,,,113-102,3,T. Ariza makes 3-pt shot from 26 ft (assist by S. Dekker)
0:00.0,,,113-102,,Personal foul by P. Beverley (drawn by K. Lowry)
0:00.0,K. Lowry makes free throw 1 of 2,1,114-102,,
0:00.0,K. Lowry makes free throw 2 of 2,1,115-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
