time,Chicago,pts.away,score,pts.home,Houston
5:04.0,Defensive rebound by D. Wade,,99-93,,
4:52.0,D. Wade makes 2-pt shot at rim (assist by T. Gibson),2,101-93,,
4:28.0,,,101-93,,P. Beverley misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by D. Wade,,101-93,,
4:10.0,T. Gibson misses 2-pt shot from 13 ft,,101-93,,
4:09.0,,,101-93,,Defensive rebound by Team
4:04.0,,,101-96,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:52.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,103-96,,
3:52.0,Shooting foul by C. Capela (drawn by M. Carter-Williams),,103-96,,
3:52.0,M. Carter-Williams misses free throw 1 of 1,,103-96,,
3:52.0,,,103-96,,Defensive rebound by J. Harden
3:36.0,,,103-98,2,J. Harden makes 2-pt shot at rim
3:20.0,D. Wade makes 3-pt shot from 25 ft,3,106-98,,
3:06.0,,,106-98,,Shooting foul by M. Carter-Williams (drawn by J. Harden)
3:06.0,,,106-99,1,J. Harden makes free throw 1 of 2
3:06.0,,,106-100,1,J. Harden makes free throw 2 of 2
3:06.0,,,106-99,,E. Gordon enters the game for P. Beverley
2:45.0,P. Zipser makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,108-100,,
2:22.0,,,108-102,2,E. Gordon makes 2-pt shot from 4 ft (assist by T. Ariza)
2:06.0,Turnover by D. Wade (lost ball; steal by T. Ariza),,108-102,,
2:02.0,,,108-104,2,T. Ariza makes 2-pt shot from 1 ft
2:02.0,Chicago full timeout,,108-104,,
1:40.0,R. Lopez misses 2-pt shot from 11 ft,,108-104,,
1:39.0,,,108-104,,Defensive rebound by J. Harden
1:30.0,,,108-104,,E. Gordon misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by T. Gibson,,108-104,,
1:14.0,D. Wade misses 2-pt shot from 21 ft,,108-104,,
1:13.0,,,108-104,,Defensive rebound by J. Harden
1:00.0,,,108-106,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
0:43.0,Turnover by P. Zipser (bad pass),,108-106,,
0:43.0,,,108-106,,Houston full timeout
0:27.0,,,108-108,2,J. Harden makes 2-pt shot from 14 ft
0:27.0,Chicago full timeout,,108-108,,
0:27.0,D. McDermott enters the game for T. Gibson,,108-108,,
0:27.0,N. Mirotic enters the game for P. Zipser,,108-108,,
0:27.0,,,108-108,,P. Beverley enters the game for R. Anderson
0:03.0,Turnover by Team (shot clock),,108-108,,
0:03.0,,,108-108,,Houston full timeout
0:03.0,,,108-108,,R. Anderson enters the game for P. Beverley
0:03.0,J. Grant enters the game for R. Lopez,,108-108,,
0:03.0,T. Gibson enters the game for N. Mirotic,,108-108,,
0:03.0,P. Zipser enters the game for D. McDermott,,108-108,,
0:00.0,,,108-108,,J. Harden misses 2-pt shot from 20 ft
0:00.0,,,108-108,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:44.0,M. Carter-Williams misses 2-pt shot from 20 ft,,108-108,,
4:43.0,,,108-108,,Defensive rebound by T. Ariza
4:27.0,,,108-110,2,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon)
4:09.0,D. Wade misses 2-pt shot from 15 ft,,108-110,,
4:08.0,,,108-110,,Defensive rebound by T. Ariza
4:02.0,,,108-113,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
4:02.0,Chicago full timeout,,108-113,,
3:38.0,P. Zipser misses 3-pt shot from 26 ft,,108-113,,
3:36.0,Offensive rebound by R. Lopez,,108-113,,
3:31.0,P. Zipser misses 2-pt shot from 4 ft,,108-113,,
3:29.0,Offensive rebound by P. Zipser,,108-113,,
3:22.0,D. Wade makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,111-113,,
3:07.0,,,111-113,,J. Harden misses 2-pt shot from 6 ft
3:06.0,Defensive rebound by R. Lopez,,111-113,,
3:05.0,,,111-113,,Personal foul by C. Capela (drawn by R. Lopez)
2:47.0,D. Wade misses 3-pt shot from 27 ft,,111-113,,
2:46.0,,,111-113,,Defensive rebound by E. Gordon
2:42.0,,,111-115,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
2:28.0,D. Wade misses 2-pt shot from 7 ft,,111-115,,
2:26.0,Offensive rebound by T. Gibson,,111-115,,
2:19.0,M. Carter-Williams makes 2-pt shot from 9 ft,2,113-115,,
2:19.0,Shooting foul by J. Harden (drawn by M. Carter-Williams),,113-115,,
2:19.0,M. Carter-Williams misses free throw 1 of 1,,113-115,,
2:18.0,Offensive rebound by M. Carter-Williams,,113-115,,
2:11.0,M. Carter-Williams makes 2-pt shot from 12 ft,2,115-115,,
2:03.0,Personal foul by M. Carter-Williams (drawn by J. Harden),,115-115,,
2:03.0,D. McDermott enters the game for M. Carter-Williams,,115-115,,
1:49.0,,,115-115,,Shooting foul by R. Lopez (drawn by J. Harden)
1:49.0,,,115-116,1,J. Harden makes free throw 1 of 2
1:49.0,,,115-116,,J. Harden misses free throw 2 of 2
1:48.0,Defensive rebound by T. Gibson,,115-116,,
1:46.0,Jump ball: T. Gibson vs. J. Harden (D. McDermott gains possession),,,,Jump ball: T. Gibson vs. J. Harden (D. McDermott gains possession)
1:28.0,D. Wade makes 2-pt shot from 19 ft,2,117-116,,
1:15.0,,,117-116,,Turnover by E. Gordon (bad pass; steal by T. Gibson)
0:53.0,D. Wade misses 2-pt shot from 23 ft (block by E. Gordon),,117-116,,
0:53.0,Offensive rebound by Team,,117-116,,
0:53.0,,,117-116,,Violation by T. Ariza (kicked ball)
0:53.0,Chicago full timeout,,117-116,,
0:47.0,Turnover by T. Gibson (traveling),,117-116,,
0:36.0,,,117-116,,Shooting foul by P. Zipser (drawn by J. Harden)
0:36.0,,,117-118,2,J. Harden makes 2-pt shot from 19 ft
0:36.0,,,117-119,1,J. Harden makes free throw 1 of 1
0:36.0,N. Mirotic enters the game for T. Gibson,,117-118,,
0:36.0,,,117-118,,P. Beverley enters the game for R. Anderson
0:21.0,D. McDermott misses 2-pt shot from 23 ft,,117-119,,
0:20.0,,,117-119,,Defensive rebound by T. Ariza
0:16.0,Personal take foul by P. Zipser (drawn by J. Harden),,117-119,,
0:16.0,,,117-120,1,J. Harden makes free throw 1 of 2
0:16.0,,,117-121,1,J. Harden makes free throw 2 of 2
0:16.0,Chicago full timeout,,117-121,,
0:11.0,D. Wade misses 3-pt shot from 25 ft,,117-121,,
0:10.0,Offensive rebound by P. Zipser,,117-121,,
0:04.0,D. McDermott misses 3-pt shot from 27 ft,,117-121,,
0:03.0,,,117-121,,Defensive rebound by C. Capela
0:00.0,End of 1st overtime,,,,End of 1st overtime
