time,Portland,pts.away,score,pts.home,Chicago
5:19.0,M. Harkless misses 2-pt shot from 2 ft (block by N. Mirotic),,103-93,,
5:17.0,,,103-93,,Defensive rebound by J. Grant
5:11.0,,,103-95,2,I. Canaan makes 2-pt shot from 3 ft
4:47.0,A. Crabbe misses 2-pt shot from 6 ft,,103-95,,
4:46.0,,,103-95,,Defensive rebound by R. Lopez
4:30.0,Personal foul by A. Crabbe (drawn by I. Canaan),,103-95,,
4:30.0,,,103-95,,D. Wade enters the game for J. Grant
4:18.0,,,103-95,,D. Wade misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by E. Davis,,103-95,,
4:07.0,D. Lillard misses 3-pt shot from 24 ft,,103-95,,
4:07.0,Offensive rebound by M. Harkless,,103-95,,
4:07.0,Shooting foul by I. Canaan (drawn by M. Harkless),,103-95,,
4:07.0,M. Harkless makes free throw 1 of 2,1,104-95,,
4:07.0,M. Harkless misses free throw 2 of 2,,104-95,,
4:05.0,,,104-95,,Defensive rebound by J. Butler
3:47.0,,,104-95,,I. Canaan misses 2-pt shot from 8 ft
3:46.0,Defensive rebound by D. Lillard,,104-95,,
3:32.0,M. Harkless misses 3-pt shot from 23 ft,,104-95,,
3:30.0,,,104-95,,Defensive rebound by R. Lopez
3:23.0,,,104-95,,Shooting foul by E. Davis (drawn by J. Butler)
3:23.0,,,104-96,1,J. Butler makes free throw 1 of 2
3:23.0,,,104-97,1,J. Butler makes free throw 2 of 2
3:10.0,D. Lillard makes 2-pt shot from 17 ft (assist by E. Turner),2,106-97,,
2:51.0,,,106-99,2,D. Wade makes 2-pt shot from 11 ft
2:50.0,Portland full timeout,,106-99,,
2:31.0,A. Crabbe misses 2-pt shot from 24 ft,,106-99,,
2:30.0,,,106-99,,Defensive rebound by D. Wade
2:24.0,,,106-99,,Shooting foul by E. Turner (drawn by D. Wade)
2:24.0,,,106-100,1,D. Wade makes free throw 1 of 2
2:24.0,,,106-101,1,D. Wade makes free throw 2 of 2
2:08.0,D. Lillard makes 2-pt shot from 11 ft,2,108-101,,
1:56.0,Personal foul by A. Crabbe (drawn by J. Butler),,108-101,,
1:56.0,,,108-102,1,J. Butler makes free throw 1 of 2
1:56.0,,,108-103,1,J. Butler makes free throw 2 of 2
1:37.0,D. Lillard misses 2-pt shot from 3 ft (block by D. Wade),,108-103,,
1:35.0,,,108-103,,Defensive rebound by N. Mirotic
1:14.0,,,108-103,,J. Butler misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by D. Lillard,,108-103,,
1:11.0,Portland full timeout,,108-103,,
1:01.0,A. Crabbe misses 3-pt shot from 25 ft,,108-103,,
1:00.0,,,108-103,,Defensive rebound by N. Mirotic
0:45.0,,,108-103,,N. Mirotic misses 2-pt shot from 21 ft
0:44.0,Defensive rebound by M. Harkless,,108-103,,
0:38.0,,,108-103,,Personal take foul by D. Wade (drawn by D. Lillard)
0:38.0,C. McCollum enters the game for E. Davis,,108-103,,
0:27.0,D. Lillard misses 3-pt shot from 26 ft,,108-103,,
0:27.0,,,108-103,,Defensive rebound by R. Lopez
0:27.0,,,108-103,,Chicago full timeout
0:20.0,,,108-103,,D. Wade misses 3-pt shot from 25 ft
0:20.0,,,108-103,,Offensive rebound by Team
0:20.0,Loose ball foul by M. Harkless (drawn by N. Mirotic),,108-103,,
0:20.0,,,108-104,1,N. Mirotic makes free throw 1 of 2
0:20.0,,,108-105,1,N. Mirotic makes free throw 2 of 2
0:20.0,,,108-104,,T. Gibson enters the game for R. Lopez
0:18.0,,,108-105,,Personal foul by I. Canaan (drawn by D. Lillard)
0:18.0,D. Lillard makes free throw 1 of 2,1,109-105,,
0:18.0,D. Lillard makes free throw 2 of 2,1,110-105,,
0:18.0,,,110-105,,Chicago full timeout
0:18.0,,,109-105,,R. Lopez enters the game for I. Canaan
0:18.0,,,110-105,,I. Canaan enters the game for T. Gibson
0:18.0,E. Davis enters the game for C. McCollum,,110-105,,
0:13.0,,,110-105,,J. Butler misses 3-pt shot from 26 ft
0:12.0,,,110-105,,Offensive rebound by I. Canaan
0:08.0,,,110-105,,I. Canaan misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by M. Harkless,,110-105,,
0:06.0,Turnover by M. Harkless (lost ball; steal by N. Mirotic),,110-105,,
0:06.0,,,110-107,2,N. Mirotic makes 2-pt shot from 1 ft
0:04.0,,,110-107,,Personal take foul by N. Mirotic (drawn by D. Lillard)
0:04.0,D. Lillard makes free throw 1 of 2,1,111-107,,
0:04.0,D. Lillard makes free throw 2 of 2,1,112-107,,
0:00.0,,,112-110,3,J. Butler makes 3-pt shot from 27 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
