time,San Antonio,pts.away,score,pts.home,Indiana
3:20.0,,,98-97,,J. Teague misses 2-pt shot from 4 ft
3:19.0,Defensive rebound by K. Leonard,,98-97,,
3:11.0,,,98-97,,Personal foul by P. George (drawn by K. Leonard)
2:56.0,K. Leonard makes 2-pt shot from 9 ft,2,100-97,,
2:36.0,Shooting block foul by D. Green (drawn by M. Ellis),,100-97,,
2:36.0,,,100-98,1,M. Ellis makes free throw 1 of 2
2:36.0,,,100-98,,M. Ellis misses free throw 2 of 2
2:36.0,Defensive rebound by D. Dedmon,,100-98,,
2:36.0,,,100-98,,G. Robinson enters the game for P. George
2:13.0,D. Green misses 2-pt shot from 12 ft,,100-98,,
2:13.0,,,100-98,,Defensive rebound by K. Seraphin
2:06.0,,,100-98,,Indiana full timeout
2:06.0,,,100-98,,P. George enters the game for G. Robinson
1:56.0,,,100-98,,M. Ellis misses 2-pt shot from 11 ft
1:55.0,Defensive rebound by K. Leonard,,100-98,,
1:32.0,K. Leonard misses 2-pt shot from 22 ft,,100-98,,
1:32.0,Offensive rebound by Team,,100-98,,
1:32.0,,,100-98,,Loose ball foul by M. Turner (drawn by L. Aldridge)
1:32.0,L. Aldridge makes free throw 1 of 2,1,101-98,,
1:32.0,L. Aldridge makes free throw 2 of 2,1,102-98,,
1:11.0,,,102-100,2,P. George makes 2-pt shot from 14 ft
0:52.0,L. Aldridge makes 2-pt shot from 3 ft,2,104-100,,
0:52.0,Shooting foul by M. Turner (drawn by L. Aldridge),,104-100,,
0:52.0,L. Aldridge makes free throw 1 of 1,1,105-100,,
0:52.0,,,105-100,,Indiana full timeout
0:52.0,J. Simmons enters the game for T. Parker,,105-100,,
0:52.0,,,105-100,,C. Miles enters the game for K. Seraphin
0:49.0,Personal foul by L. Aldridge (drawn by P. George),,105-100,,
0:49.0,,,105-101,1,P. George makes free throw 1 of 2
0:49.0,,,105-101,,P. George misses free throw 2 of 2
0:49.0,Defensive rebound by K. Leonard,,105-101,,
0:49.0,T. Parker enters the game for J. Simmons,,105-101,,
0:49.0,,,105-101,,K. Seraphin enters the game for C. Miles
0:30.0,Turnover by K. Leonard (bad pass; steal by M. Turner),,105-101,,
0:27.0,,,105-101,,Turnover by P. George (lost ball; steal by K. Leonard)
0:24.0,,,105-101,,Personal take foul by J. Teague (drawn by T. Parker)
0:24.0,T. Parker makes free throw 1 of 2,1,106-101,,
0:24.0,T. Parker makes free throw 2 of 2,1,107-101,,
0:24.0,,,107-101,,Indiana full timeout
0:24.0,J. Simmons enters the game for T. Parker,,107-101,,
0:24.0,,,107-101,,C. Miles enters the game for K. Seraphin
0:24.0,K. Anderson enters the game for D. Dedmon,,107-101,,
0:21.0,,,107-104,3,P. George makes 3-pt shot from 26 ft (assist by M. Ellis)
0:20.0,,,107-104,,Personal take foul by C. Miles (drawn by K. Leonard)
0:20.0,K. Leonard misses free throw 1 of 2,,107-104,,
0:20.0,Offensive rebound by Team,,107-104,,
0:20.0,K. Leonard makes free throw 2 of 2,1,108-104,,
0:20.0,D. Dedmon enters the game for K. Anderson,,107-104,,
0:10.0,,,108-104,,P. George misses 3-pt shot from 25 ft
0:09.0,,,108-104,,Offensive rebound by C. Miles
0:06.0,,,108-104,,C. Miles misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by D. Green,,108-104,,
0:05.0,,,108-104,,Personal take foul by M. Turner (drawn by D. Green)
0:05.0,D. Green makes free throw 1 of 2,1,109-104,,
0:05.0,D. Green makes free throw 2 of 2,1,110-104,,
0:00.0,,,110-106,2,J. Teague makes 2-pt shot from 21 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
