time,Orlando,pts.away,score,pts.home,Minnesota
6:09.0,N. Vucevic makes 2-pt shot from 15 ft (assist by C. Watson),2,65-60,,
5:53.0,,,65-60,,Shooting foul by S. Ibaka (drawn by A. Wiggins)
5:53.0,,,65-60,,Minnesota full timeout
5:53.0,,,65-61,1,A. Wiggins makes free throw 1 of 2
5:53.0,,,65-62,1,A. Wiggins makes free throw 2 of 2
5:53.0,J. Green enters the game for S. Ibaka,,65-60,,
5:35.0,,,65-62,,Violation by K. Towns (def goaltending)
5:35.0,J. Green makes 2-pt shot from 6 ft,2,67-62,,
5:35.0,Shooting foul by K. Towns (drawn by J. Green),,67-62,,
5:35.0,J. Green makes free throw 1 of 1,1,68-62,,
5:25.0,Personal foul by J. Green (drawn by K. Towns),,68-62,,
5:25.0,,,68-63,1,K. Towns makes free throw 1 of 2
5:25.0,,,68-64,1,K. Towns makes free throw 2 of 2
5:25.0,,,68-63,,S. Muhammad enters the game for Z. LaVine
5:13.0,Turnover by J. Green (bad pass),,68-64,,
5:13.0,E. Fournier enters the game for C. Watson,,68-64,,
4:57.0,,,68-64,,A. Wiggins misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by N. Vucevic,,68-64,,
4:50.0,E. Payton makes 2-pt shot from 1 ft,2,70-64,,
4:26.0,,,70-64,,K. Towns misses 2-pt shot from 8 ft
4:25.0,,,70-64,,Offensive rebound by K. Towns
4:18.0,,,70-67,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
3:54.0,A. Gordon misses 3-pt shot from 26 ft,,70-67,,
3:53.0,,,70-67,,Defensive rebound by R. Rubio
3:44.0,,,70-67,,S. Muhammad misses 3-pt shot from 23 ft
3:43.0,,,70-67,,Offensive rebound by A. Wiggins
3:38.0,,,70-70,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
3:38.0,Orlando full timeout,,70-70,,
3:38.0,D. Augustin enters the game for E. Payton,,70-70,,
3:24.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,72-70,,
3:01.0,,,72-70,,K. Towns misses 2-pt shot from 8 ft
3:01.0,Defensive rebound by N. Vucevic,,72-70,,
2:53.0,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon),3,75-70,,
2:29.0,,,75-73,3,R. Rubio makes 3-pt shot from 25 ft (assist by S. Muhammad)
2:12.0,N. Vucevic misses 3-pt shot from 24 ft,,75-73,,
2:11.0,,,75-73,,Defensive rebound by Team
2:11.0,Loose ball foul by A. Gordon (drawn by A. Wiggins),,75-73,,
2:11.0,,,75-74,1,A. Wiggins makes free throw 1 of 2
2:11.0,,,75-75,1,A. Wiggins makes free throw 2 of 2
2:11.0,,,75-74,,N. Bjelica enters the game for G. Dieng
2:11.0,D. Rudez enters the game for A. Gordon,,75-74,,
2:01.0,E. Fournier makes 2-pt shot from 2 ft,2,77-75,,
1:48.0,Personal foul by E. Fournier (drawn by A. Wiggins),,77-75,,
1:48.0,,,77-75,,A. Wiggins misses free throw 1 of 2
1:48.0,,,77-75,,Offensive rebound by Team
1:48.0,,,77-75,,A. Wiggins misses free throw 2 of 2
1:48.0,Defensive rebound by D. Rudez,,77-75,,
1:48.0,B. Biyombo enters the game for N. Vucevic,,77-75,,
1:48.0,,,77-75,,K. Dunn enters the game for R. Rubio
1:28.0,E. Fournier makes 2-pt shot from 5 ft,2,79-75,,
1:06.0,,,79-75,,K. Towns misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by J. Green,,79-75,,
0:47.0,D. Rudez misses 3-pt shot from 24 ft,,79-75,,
0:46.0,,,79-75,,Defensive rebound by S. Muhammad
0:26.0,Personal foul by B. Biyombo (drawn by K. Towns),,79-75,,
0:26.0,,,79-76,1,K. Towns makes free throw 1 of 2
0:26.0,,,79-77,1,K. Towns makes free throw 2 of 2
0:05.0,E. Fournier misses 2-pt shot from 20 ft,,79-77,,
0:04.0,,,79-77,,Defensive rebound by S. Muhammad
0:00.0,,,79-80,3,S. Muhammad makes 3-pt shot from 40 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Augustin misses 3-pt shot from 26 ft,,79-80,,
