time,Milwaukee,pts.away,score,pts.home,Utah
2:55.0,M. Beasley makes free throw 1 of 2,1,80-97,,
2:55.0,M. Beasley makes free throw 2 of 2,1,81-97,,
2:39.0,,,81-99,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
2:24.0,T. Maker misses 2-pt shot from 2 ft,,81-99,,
2:23.0,,,81-99,,Defensive rebound by R. Gobert
2:01.0,,,81-99,,G. Hill misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by M. Dellavedova,,81-99,,
1:52.0,Shooting foul by R. Gobert (drawn by G. Antetokounmpo),,81-99,,
1:52.0,G. Antetokounmpo makes free throw 1 of 2,1,82-99,,
1:52.0,G. Antetokounmpo misses free throw 2 of 2,,82-99,,
1:52.0,,,82-99,,J. Ingles enters the game for G. Hayward
1:51.0,Offensive rebound by T. Maker,,82-99,,
1:44.0,M. Beasley makes 2-pt shot from 6 ft (assist by M. Brogdon),2,84-99,,
1:22.0,,,84-102,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
1:22.0,Turnover by M. Beasley (bad pass; steal by J. Ingles),,84-102,,
1:19.0,,,84-104,2,A. Burks makes 2-pt shot from 1 ft (assist by J. Ingles)
1:10.0,,,84-104,,Shooting block foul by R. Gobert (drawn by G. Antetokounmpo)
1:10.0,G. Antetokounmpo makes free throw 1 of 2,1,85-104,,
1:10.0,G. Antetokounmpo makes free throw 2 of 2,1,86-104,,
1:10.0,,,84-104,,J. Withey enters the game for R. Gobert
1:10.0,,,85-104,,T. Lyles enters the game for J. Johnson
1:10.0,,,85-104,,D. Exum enters the game for G. Hill
0:45.0,,,86-104,,D. Exum misses 2-pt shot from 8 ft
0:45.0,,,86-104,,Offensive rebound by Team
0:45.0,,,86-104,,Turnover by Team (shot clock)
0:36.0,Shooting foul by T. Lyles (drawn by G. Antetokounmpo),,86-104,,
0:36.0,G. Antetokounmpo makes free throw 1 of 2,1,87-104,,
0:36.0,G. Antetokounmpo makes free throw 2 of 2,1,88-104,,
0:17.0,,,88-104,,A. Burks misses 2-pt shot from 3 ft
0:15.0,,,88-104,,Offensive rebound by J. Withey
0:15.0,,,88-104,,J. Withey misses 2-pt shot from 2 ft
0:14.0,Defensive rebound by M. Brogdon,,88-104,,
0:06.0,M. Brogdon misses 2-pt shot from 1 ft (block by J. Withey),,88-104,,
0:04.0,Offensive rebound by T. Maker,,88-104,,
0:04.0,T. Maker misses 2-pt shot from 2 ft,,88-104,,
0:03.0,,,88-104,,Defensive rebound by J. Ingles
0:00.0,End of 4th quarter,,,,End of 4th quarter
