time,Sacramento,pts.away,score,pts.home,Utah
1:24.0,,,83-102,,T. Lyles misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by A. Tolliver,,83-102,,
1:13.0,,,83-102,,Personal foul by J. Ingles (drawn by B. McLemore)
1:13.0,B. McLemore makes free throw 1 of 2,1,84-102,,
1:13.0,B. McLemore misses free throw 2 of 2,,84-102,,
1:12.0,,,84-102,,Defensive rebound by J. Withey
0:53.0,,,84-104,2,R. Neto makes 2-pt shot from 9 ft (assist by T. Lyles)
0:31.0,W. Cauley-Stein misses 2-pt shot from 13 ft,,84-104,,
0:30.0,,,84-104,,Defensive rebound by T. Lyles
0:05.0,,,84-104,,R. Neto misses 2-pt shot from 1 ft
0:05.0,,,84-104,,Offensive rebound by J. Withey
0:03.0,,,84-104,,J. Withey misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by A. Tolliver,,84-104,,
0:01.0,W. Cauley-Stein misses 3-pt shot from 34 ft,,84-104,,
0:00.0,Offensive rebound by Team,,84-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
