time,Indiana,pts.away,score,pts.home,Golden State
7:25.0,,,90-124,2,J. McAdoo makes 2-pt shot from 6 ft (assist by P. McCaw)
7:25.0,,,90-124,,Shooting foul by L. Allen (drawn by J. McAdoo)
7:25.0,,,90-124,,J. McAdoo misses free throw 1 of 1
7:22.0,,,90-124,,Offensive rebound by P. McCaw
7:15.0,,,90-127,3,P. McCaw makes 3-pt shot from 24 ft (assist by S. Livingston)
7:15.0,Indiana full timeout,,90-127,,
7:03.0,Turnover by G. Robinson (lost ball; steal by P. McCaw),,90-127,,
6:57.0,,,90-127,,P. McCaw misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by K. Seraphin,,90-127,,
6:50.0,,,90-127,,Personal foul by K. Looney (drawn by G. Robinson)
6:50.0,G. Robinson makes free throw 1 of 2,1,91-127,,
6:50.0,G. Robinson makes free throw 2 of 2,1,92-127,,
6:26.0,,,92-129,2,I. Clark makes 2-pt shot from 3 ft (assist by P. McCaw)
6:16.0,A. Brooks misses 3-pt shot from 26 ft (block by J. McAdoo),,92-129,,
6:16.0,,,92-129,,Defensive rebound by P. McCaw
6:03.0,,,92-132,3,I. Clark makes 3-pt shot from 26 ft (assist by P. McCaw)
5:54.0,,,92-132,,Personal foul by S. Livingston (drawn by J. Young)
5:54.0,,,92-132,,J. McGee enters the game for S. Livingston
5:44.0,G. Robinson misses 2-pt shot from 21 ft,,92-132,,
5:41.0,,,92-132,,Defensive rebound by K. Looney
5:32.0,,,92-132,,K. Looney misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by J. Young,,92-132,,
5:21.0,J. Young misses 3-pt shot from 26 ft,,92-132,,
5:21.0,,,92-132,,Defensive rebound by J. McGee
5:11.0,,,92-132,,Turnover by P. McCaw (bad pass; steal by J. Young)
5:04.0,J. Young makes 2-pt shot from 2 ft,2,94-132,,
4:46.0,,,94-132,,Turnover by J. McAdoo (bad pass)
4:36.0,G. Robinson misses 2-pt shot from 22 ft,,94-132,,
4:35.0,,,94-132,,Defensive rebound by P. McCaw
4:26.0,,,94-132,,Turnover by I. Clark (bad pass; steal by L. Allen)
4:17.0,J. Young misses 2-pt shot from 12 ft,,94-132,,
4:17.0,Offensive rebound by Team,,94-132,,
4:07.0,L. Allen misses 2-pt shot from 20 ft,,94-132,,
4:06.0,Offensive rebound by K. Seraphin,,94-132,,
4:06.0,K. Seraphin misses 2-pt shot from 1 ft,,94-132,,
4:04.0,,,94-132,,Defensive rebound by J. McAdoo
3:52.0,,,94-134,2,I. Clark makes 2-pt shot from 15 ft (assist by P. McCaw)
3:37.0,Shooting foul by J. McAdoo (drawn by J. Young),,94-134,,
3:37.0,J. Young makes free throw 1 of 2,1,95-134,,
3:37.0,J. Young makes free throw 2 of 2,1,96-134,,
3:23.0,,,96-134,,J. McGee misses 2-pt shot from 7 ft
3:23.0,,,96-134,,Offensive rebound by Team
3:15.0,,,96-134,,J. McAdoo misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by L. Allen,,96-134,,
3:00.0,L. Allen makes 2-pt shot from 21 ft (assist by G. Robinson),2,98-134,,
2:40.0,,,98-136,2,I. Clark makes 2-pt shot from 1 ft (assist by J. McGee)
2:29.0,J. Young misses 2-pt shot from 17 ft,,98-136,,
2:28.0,,,98-136,,Defensive rebound by J. McAdoo
2:18.0,,,98-136,,Turnover by J. McAdoo (lost ball; steal by A. Brooks)
2:13.0,G. Robinson makes 2-pt shot from 2 ft (assist by A. Brooks),2,100-136,,
1:55.0,,,100-136,,I. Clark misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by J. Young,,100-136,,
1:46.0,K. Seraphin misses 2-pt shot from 15 ft (block by J. McGee),,100-136,,
1:44.0,,,100-136,,Defensive rebound by K. Looney
1:36.0,,,100-139,3,P. McCaw makes 3-pt shot from 26 ft (assist by I. Clark)
1:26.0,G. Robinson misses 2-pt shot from 19 ft,,100-139,,
1:26.0,,,100-139,,Defensive rebound by J. McGee
1:11.0,,,100-139,,J. McGee misses 2-pt shot from 3 ft
1:10.0,,,100-139,,Offensive rebound by J. McGee
1:10.0,,,100-139,,J. McGee misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by K. Seraphin,,100-139,,
1:02.0,J. Young makes 2-pt shot from 2 ft (assist by K. Seraphin),2,102-139,,
0:51.0,,,102-142,3,P. McCaw makes 3-pt shot from 27 ft (assist by I. Clark)
0:39.0,J. Young makes 2-pt shot from 16 ft (assist by L. Allen),2,104-142,,
0:28.0,,,104-142,,Turnover by P. McCaw (bad pass; steal by J. Young)
0:24.0,J. Young makes 2-pt shot from 17 ft,2,106-142,,
0:06.0,,,106-142,,Turnover by I. Clark (lost ball; steal by J. Young)
0:03.0,J. Young misses 3-pt shot from 27 ft,,106-142,,
0:00.0,,,106-142,,Defensive rebound by J. McAdoo
0:00.0,End of 4th quarter,,,,End of 4th quarter
