time,LA Clippers,pts.away,score,pts.home,Orlando
3:36.0,,,102-95,,Offensive rebound by A. Gordon
3:36.0,,,102-97,2,A. Gordon makes 2-pt shot at rim
3:12.0,C. Paul makes 2-pt shot from 17 ft,2,104-97,,
3:11.0,,,104-97,,Orlando full timeout
3:11.0,,,104-97,,E. Fournier enters the game for E. Payton
2:52.0,,,104-97,,Shooting foul by C. Paul (drawn by B. Biyombo)
2:52.0,Official timeout,,104-97,,
2:52.0,,,104-97,,B. Biyombo misses free throw 1 of 2
2:52.0,,,104-97,,Offensive rebound by Team
2:52.0,,,104-98,1,B. Biyombo makes free throw 2 of 2
2:52.0,,,104-97,,E. Payton enters the game for D. Augustin
2:40.0,C. Paul misses 3-pt shot from 30 ft,,104-98,,
2:40.0,,,104-98,,Defensive rebound by Team
2:24.0,,,104-98,,E. Payton misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by D. Jordan,,104-98,,
2:00.0,A. Rivers makes 3-pt shot from 23 ft (assist by B. Griffin),3,107-98,,
2:00.0,,,107-98,,Orlando full timeout
2:00.0,,,107-98,,D. Augustin enters the game for B. Biyombo
2:00.0,,,107-98,,J. Green enters the game for E. Payton
1:48.0,,,107-98,,S. Ibaka misses 2-pt shot from 10 ft
1:47.0,Defensive rebound by D. Jordan,,107-98,,
1:29.0,C. Paul misses 2-pt shot from 3 ft,,107-98,,
1:27.0,,,107-98,,Defensive rebound by J. Green
1:24.0,,,107-100,2,J. Green makes 2-pt shot from 6 ft
1:24.0,,,107-100,,Shooting foul by J. Redick (drawn by J. Green)
1:24.0,,,107-101,1,J. Green makes free throw 1 of 1
1:09.0,Turnover by C. Paul (bad pass),,107-101,,
0:56.0,,,107-101,,E. Fournier misses 2-pt shot from 3 ft (block by D. Jordan)
0:54.0,,,107-101,,Offensive rebound by Team
0:47.0,,,107-104,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
0:39.0,,,107-104,,Personal foul by A. Gordon (drawn by C. Paul)
0:39.0,C. Paul makes free throw 1 of 2,1,108-104,,
0:39.0,C. Paul makes free throw 2 of 2,1,109-104,,
0:24.0,,,109-104,,A. Gordon misses 3-pt shot from 27 ft (block by D. Jordan)
0:21.0,,,109-104,,Offensive rebound by E. Fournier
0:21.0,,,109-106,2,E. Fournier makes 2-pt shot from 5 ft
0:15.0,,,109-106,,Personal foul by J. Green (drawn by C. Paul)
0:15.0,C. Paul makes free throw 1 of 2,1,110-106,,
0:15.0,C. Paul misses free throw 2 of 2,,110-106,,
0:13.0,,,110-106,,Defensive rebound by A. Gordon
0:13.0,,,110-106,,Orlando full timeout
0:09.0,,,110-106,,E. Fournier misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by Team,,110-106,,
0:07.0,LA Clippers full timeout,,110-106,,
0:07.0,J. Crawford enters the game for D. Jordan,,110-106,,
0:06.0,,,110-106,,Personal take foul by D. Augustin (drawn by J. Crawford)
0:06.0,J. Crawford misses free throw 1 of 2,,110-106,,
0:06.0,Offensive rebound by Team,,110-106,,
0:06.0,J. Crawford makes free throw 2 of 2,1,111-106,,
0:06.0,R. Felton enters the game for J. Redick,,110-106,,
0:06.0,,,110-106,,J. Meeks enters the game for A. Gordon
0:02.0,,,111-108,2,E. Fournier makes 2-pt shot from 2 ft
0:02.0,,,111-108,,Personal take foul by J. Meeks (drawn by C. Paul)
0:02.0,C. Paul makes free throw 1 of 2,1,112-108,,
0:02.0,C. Paul makes free throw 2 of 2,1,113-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
