time,Minnesota,pts.away,score,pts.home,Orlando
4:04.0,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng),2,112-96,,
4:04.0,,,112-96,,Orlando full timeout
3:49.0,,,112-96,,Turnover by E. Fournier (bad pass; steal by T. Jones)
3:46.0,Shooting foul by N. Vucevic (drawn by Z. LaVine),,112-96,,
3:46.0,Z. LaVine misses free throw 1 of 2,,112-96,,
3:46.0,Offensive rebound by Team,,112-96,,
3:46.0,Z. LaVine makes free throw 2 of 2,1,113-96,,
3:46.0,,,112-96,,M. Hezonja enters the game for E. Fournier
3:39.0,,,113-96,,E. Payton misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by Z. LaVine,,113-96,,
3:19.0,Z. LaVine misses 2-pt shot from 16 ft,,113-96,,
3:18.0,,,113-96,,Defensive rebound by N. Vucevic
3:12.0,,,113-96,,Shooting foul by K. Towns (drawn by S. Ibaka)
3:12.0,,,113-97,1,S. Ibaka makes free throw 1 of 2
3:12.0,,,113-98,1,S. Ibaka makes free throw 2 of 2
3:12.0,,,113-97,,C. Watson enters the game for A. Gordon
3:12.0,,,113-97,,C. Wilcox enters the game for N. Vucevic
3:12.0,,,113-97,,D. Rudez enters the game for E. Payton
3:09.0,,,113-98,,Personal take foul by C. Watson (drawn by T. Jones)
3:09.0,,,113-98,,S. Zimmerman enters the game for S. Ibaka
2:57.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,115-98,,
2:45.0,,,115-101,3,M. Hezonja makes 3-pt shot from 25 ft
2:21.0,Z. LaVine makes 2-pt shot from 9 ft,2,117-101,,
2:15.0,,,117-101,,M. Hezonja misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by Z. LaVine,,117-101,,
1:56.0,A. Wiggins makes 2-pt shot from 17 ft,2,119-101,,
1:42.0,,,119-101,,Turnover by M. Hezonja (bad pass; steal by T. Jones)
1:30.0,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Dieng),3,122-101,,
1:16.0,,,122-103,2,S. Zimmerman makes 2-pt shot from 4 ft
1:16.0,,,122-103,,Shooting foul by G. Dieng (drawn by M. Hezonja)
1:16.0,,,122-103,,S. Zimmerman misses free throw 1 of 1
1:16.0,J. Lucas III enters the game for A. Wiggins,,122-103,,
1:16.0,A. Payne enters the game for Z. LaVine,,122-103,,
1:16.0,K. Dunn enters the game for T. Jones,,122-103,,
1:16.0,N. Bjelica enters the game for K. Towns,,122-103,,
1:15.0,Defensive rebound by A. Payne,,122-103,,
1:02.0,Turnover by K. Dunn (bad pass; steal by M. Hezonja),,122-103,,
1:00.0,,,122-105,2,M. Hezonja makes 2-pt shot at rim
0:49.0,A. Payne misses 3-pt shot from 26 ft,,122-105,,
0:48.0,,,122-105,,Defensive rebound by M. Hezonja
0:43.0,,,122-105,,Shooting foul by G. Dieng (drawn by M. Hezonja)
0:43.0,,,122-106,1,M. Hezonja makes free throw 1 of 2
0:43.0,,,122-107,1,M. Hezonja makes free throw 2 of 2
0:43.0,S. Muhammad enters the game for G. Dieng,,122-106,,
0:34.0,Shooting foul by M. Hezonja (drawn by S. Muhammad),,122-107,,
0:34.0,S. Muhammad misses free throw 1 of 2,,122-107,,
0:34.0,Offensive rebound by Team,,122-107,,
0:34.0,S. Muhammad makes free throw 2 of 2,1,123-107,,
0:26.0,,,123-107,,M. Hezonja misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by S. Muhammad,,123-107,,
0:01.0,Turnover by Team (shot clock),,123-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
