time,LA Lakers,pts.away,score,pts.home,Atlanta
6:26.0,L. Deng misses 2-pt shot from 1 ft,,107-102,,
6:25.0,,,107-102,,Defensive rebound by D. Howard
6:06.0,,,107-102,,D. Schroder misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by L. Deng,,107-102,,
5:42.0,L. Deng misses 2-pt shot from 7 ft,,107-102,,
5:40.0,,,107-102,,Defensive rebound by D. Howard
5:32.0,,,107-105,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
5:29.0,LA Lakers full timeout,,107-105,,
5:28.0,J. Randle enters the game for L. Deng,,107-105,,
5:28.0,D. Russell enters the game for J. Clarkson,,107-105,,
5:07.0,D. Russell misses 2-pt shot from 17 ft,,107-105,,
5:04.0,,,107-105,,Defensive rebound by K. Korver
4:57.0,,,107-105,,K. Korver misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by D. Russell,,107-105,,
4:38.0,L. Williams makes 2-pt shot from 13 ft (assist by D. Russell),2,109-105,,
4:19.0,,,109-108,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
3:59.0,L. Nance misses 3-pt shot from 25 ft,,109-108,,
3:57.0,,,109-108,,Defensive rebound by K. Korver
3:49.0,,,109-108,,Turnover by D. Schroder (lost ball; steal by L. Nance)
3:38.0,J. Randle makes 2-pt shot from 1 ft (assist by L. Williams),2,111-108,,
3:20.0,,,111-110,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
2:54.0,D. Russell makes 2-pt shot from 19 ft (assist by B. Ingram),2,113-110,,
2:50.0,,,113-110,,Atlanta full timeout
2:50.0,N. Young enters the game for B. Ingram,,113-110,,
2:40.0,,,113-110,,K. Bazemore misses 2-pt shot at rim
2:37.0,,,113-110,,Offensive rebound by D. Howard
2:37.0,,,113-112,2,D. Howard makes 2-pt shot from 2 ft
2:11.0,L. Williams makes 3-pt shot from 27 ft,3,116-112,,
1:57.0,,,116-112,,D. Schroder misses 2-pt shot at rim
1:55.0,Defensive rebound by L. Nance,,116-112,,
1:40.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,118-112,,
1:40.0,,,118-112,,Atlanta full timeout
1:30.0,,,118-112,,Offensive foul by D. Howard
1:30.0,,,118-112,,Turnover by D. Howard (offensive foul)
1:18.0,Offensive charge foul by L. Nance,,118-112,,
1:18.0,Turnover by L. Nance (offensive foul),,118-112,,
1:09.0,,,118-112,,Shooting foul by J. Randle (drawn by D. Schroder)
1:09.0,,,118-113,1,D. Schroder makes free throw 1 of 2
1:09.0,,,118-114,1,D. Schroder makes free throw 2 of 2
1:09.0,,,118-113,,T. Sefolosha enters the game for K. Korver
0:54.0,D. Russell misses 2-pt shot from 2 ft,,118-114,,
0:52.0,,,118-114,,Defensive rebound by Team
0:52.0,,,118-114,,K. Korver enters the game for T. Sefolosha
0:38.0,,,118-114,,D. Schroder misses 2-pt shot from 2 ft (block by J. Randle)
0:35.0,Defensive rebound by L. Nance,,118-114,,
0:18.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,121-114,,
0:18.0,,,121-114,,Atlanta full timeout
0:10.0,,,121-114,,K. Bazemore misses 3-pt shot from 23 ft
0:10.0,,,121-114,,Offensive rebound by D. Howard
0:10.0,,,121-116,2,D. Howard makes 2-pt shot at rim
0:09.0,L. Nance makes 2-pt shot at rim (assist by D. Russell),2,123-116,,
0:09.0,L. Deng enters the game for L. Nance,,123-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
