time,Golden State,pts.away,score,pts.home,Orlando
4:29.0,,,111-85,,B. Biyombo enters the game for J. Green
4:29.0,,,111-85,,A. Brown enters the game for A. Gordon
4:27.0,I. Clark enters the game for K. Durant,,111-85,,
4:27.0,J. McAdoo enters the game for K. Thompson,,111-85,,
4:12.0,,,111-85,,Turnover by M. Hezonja (bad pass; steal by D. Jones)
3:58.0,P. McCaw misses 2-pt shot from 13 ft,,111-85,,
3:56.0,,,111-85,,Defensive rebound by B. Biyombo
3:47.0,,,111-87,2,B. Biyombo makes 2-pt shot from 2 ft (assist by D. Rudez)
3:47.0,,,111-87,,Shooting foul by J. McAdoo (drawn by B. Biyombo)
3:47.0,,,111-88,1,B. Biyombo makes free throw 1 of 1
3:33.0,Turnover by P. McCaw (bad pass; steal by M. Hezonja),,111-88,,
3:31.0,Violation by P. McCaw (def goaltending),,111-88,,
3:31.0,,,111-90,2,M. Hezonja makes 2-pt shot from 1 ft
3:15.0,A. Iguodala misses 2-pt shot from 20 ft,,111-90,,
3:15.0,,,111-90,,Defensive rebound by A. Brown
2:56.0,,,111-90,,D. Rudez misses 3-pt shot from 25 ft
2:55.0,,,111-90,,Offensive rebound by B. Biyombo
2:50.0,,,111-90,,M. Hezonja misses 3-pt shot from 24 ft
2:47.0,,,111-90,,Offensive rebound by A. Brown
2:41.0,,,111-90,,Shooting foul by D. Jones (drawn by C. Watson)
2:41.0,,,111-91,1,C. Watson makes free throw 1 of 2
2:41.0,,,111-92,1,C. Watson makes free throw 2 of 2
2:41.0,K. Looney enters the game for A. Iguodala,,111-91,,
2:25.0,P. McCaw misses 2-pt shot from 2 ft,,111-92,,
2:25.0,,,111-92,,Defensive rebound by B. Biyombo
2:18.0,,,111-92,,C. Watson misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by K. Looney,,111-92,,
2:05.0,P. McCaw makes 3-pt shot from 23 ft (assist by I. Clark),3,114-92,,
1:46.0,,,114-92,,A. Brown misses 2-pt shot from 19 ft
1:44.0,,,114-92,,Offensive rebound by A. Brown
1:41.0,,,114-94,2,A. Brown makes 2-pt shot from 15 ft
1:28.0,P. McCaw misses 3-pt shot from 26 ft,,114-94,,
1:26.0,,,114-94,,Defensive rebound by B. Biyombo
1:15.0,,,114-96,2,B. Biyombo makes 2-pt shot from 11 ft (assist by D. Rudez)
0:57.0,I. Clark misses 2-pt shot from 1 ft (block by B. Biyombo),,114-96,,
0:57.0,Offensive rebound by Team,,114-96,,
0:55.0,,,114-96,,Personal foul by A. Brown (drawn by I. Clark)
0:49.0,I. Clark makes 2-pt shot from 11 ft,2,116-96,,
0:39.0,,,116-96,,M. Hezonja misses 2-pt shot from 18 ft
0:37.0,,,116-96,,Offensive rebound by B. Biyombo
0:37.0,,,116-96,,Shooting foul by K. Looney (drawn by B. Biyombo)
0:37.0,,,116-96,,B. Biyombo misses free throw 1 of 2
0:37.0,,,116-96,,Offensive rebound by Team
0:37.0,,,116-96,,B. Biyombo misses free throw 2 of 2
0:36.0,Defensive rebound by K. Looney,,116-96,,
0:31.0,P. McCaw makes 2-pt shot from 1 ft,2,118-96,,
0:11.0,,,118-96,,M. Hezonja misses 2-pt shot from 2 ft (block by J. McAdoo)
0:11.0,,,118-96,,Offensive rebound by C. Watson
0:11.0,,,118-98,2,C. Watson makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
