time,Dallas,pts.away,score,pts.home,Washington
0:22.0,Defensive rebound by H. Barnes,,106-100,,
0:22.0,,,106-100,,Personal take foul by B. Bogdanovic (drawn by H. Barnes)
0:22.0,H. Barnes makes free throw 1 of 2,1,107-100,,
0:22.0,H. Barnes misses free throw 2 of 2,,107-100,,
0:21.0,,,107-100,,Defensive rebound by M. Morris
0:16.0,,,107-102,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris)
0:14.0,,,107-102,,Personal take foul by B. Bogdanovic (drawn by Y. Ferrell)
0:14.0,Y. Ferrell misses free throw 1 of 2,,107-102,,
0:14.0,Offensive rebound by Team,,107-102,,
0:14.0,Y. Ferrell makes free throw 2 of 2,1,108-102,,
0:10.0,,,108-105,3,J. Wall makes 3-pt shot from 27 ft (assist by M. Morris)
0:09.0,,,108-105,,Personal take foul by B. Bogdanovic (drawn by S. Curry)
0:09.0,S. Curry misses free throw 1 of 2,,108-105,,
0:09.0,Offensive rebound by Team,,108-105,,
0:09.0,S. Curry makes free throw 2 of 2,1,109-105,,
0:06.0,Shooting block foul by Y. Ferrell (drawn by J. Wall),,109-105,,
0:06.0,,,109-106,1,J. Wall makes free throw 1 of 2
0:06.0,,,109-107,1,J. Wall makes free throw 2 of 2
0:06.0,Dallas full timeout,,109-107,,
0:06.0,D. Nowitzki enters the game for D. Finney-Smith,,109-106,,
0:06.0,N. Noel enters the game for D. Harris,,109-106,,
0:06.0,D. Harris enters the game for N. Noel,,109-107,,
0:05.0,,,109-107,,Personal take foul by M. Morris (drawn by S. Curry)
0:05.0,S. Curry misses free throw 1 of 2,,109-107,,
0:05.0,Offensive rebound by Team,,109-107,,
0:05.0,S. Curry makes free throw 2 of 2,1,110-107,,
0:05.0,,,109-107,,M. Gortat enters the game for M. Morris
0:05.0,D. Finney-Smith enters the game for D. Nowitzki,,109-107,,
0:03.0,Personal take foul by Y. Ferrell (drawn by J. Wall),,110-107,,
0:03.0,,,110-107,,J. Wall misses free throw 1 of 2
0:03.0,,,110-107,,Offensive rebound by Team
0:03.0,,,110-107,,J. Wall misses free throw 2 of 2
0:03.0,,,110-107,,J. Smith enters the game for B. Bogdanovic
0:03.0,D. Nowitzki enters the game for D. Finney-Smith,,110-107,,
0:03.0,N. Noel enters the game for S. Curry,,110-107,,
0:02.0,Defensive rebound by N. Noel,,110-107,,
0:02.0,,,110-107,,Personal take foul by J. Smith (drawn by N. Noel)
0:02.0,N. Noel makes free throw 1 of 2,1,111-107,,
0:02.0,N. Noel makes free throw 2 of 2,1,112-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
