time,Charlotte,pts.away,score,pts.home,Phoenix
4:26.0,C. Zeller makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist),2,99-110,,
4:01.0,,,99-112,2,T. Ulis makes 2-pt shot from 20 ft
3:40.0,K. Walker misses 3-pt shot from 25 ft,,99-112,,
3:39.0,,,99-112,,Defensive rebound by A. Williams
3:24.0,,,99-112,,Turnover by L. Barbosa (bad pass; steal by C. Zeller)
3:22.0,,,99-112,,Personal foul by L. Barbosa (drawn by M. Kidd-Gilchrist)
3:22.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,99-112,,
3:20.0,,,99-112,,Personal foul by L. Barbosa (drawn by M. Kidd-Gilchrist)
3:20.0,Offensive foul by M. Belinelli,,99-112,,
3:20.0,Turnover by M. Belinelli (offensive foul),,99-112,,
3:08.0,,,99-112,,T. Ulis misses 2-pt shot from 20 ft
3:06.0,Defensive rebound by C. Zeller,,99-112,,
2:51.0,N. Batum misses 2-pt shot from 3 ft,,99-112,,
2:49.0,,,99-112,,Defensive rebound by T. Ulis
2:46.0,,,99-114,2,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis)
2:46.0,Charlotte full timeout,,99-114,,
2:46.0,,,99-114,,Phoenix full timeout
2:32.0,,,99-114,,Personal foul by D. Jones (drawn by C. Zeller)
2:25.0,,,99-114,,Personal foul by J. Dudley (drawn by M. Williams)
2:25.0,M. Williams misses free throw 1 of 2,,99-114,,
2:25.0,Offensive rebound by Team,,99-114,,
2:25.0,M. Williams misses free throw 2 of 2,,99-114,,
2:24.0,,,99-114,,Defensive rebound by A. Williams
2:07.0,,,99-116,2,A. Williams makes 2-pt shot from 6 ft (assist by T. Ulis)
1:52.0,N. Batum misses 2-pt shot from 15 ft,,99-116,,
1:51.0,Offensive rebound by C. Zeller,,99-116,,
1:47.0,K. Walker misses 3-pt shot from 27 ft,,99-116,,
1:46.0,,,99-116,,Defensive rebound by L. Barbosa
1:38.0,Personal foul by K. Walker (drawn by T. Ulis),,99-116,,
1:38.0,B. Weber enters the game for M. Williams,,99-116,,
1:38.0,J. O'Bryant enters the game for N. Batum,,99-116,,
1:38.0,C. Wood enters the game for K. Walker,,99-116,,
1:38.0,B. Roberts enters the game for C. Zeller,,99-116,,
1:38.0,T. Graham enters the game for M. Belinelli,,99-116,,
1:21.0,,,99-116,,A. Williams misses 2-pt shot from 8 ft
1:21.0,Defensive rebound by B. Roberts,,99-116,,
1:05.0,Turnover by J. O'Bryant (bad pass; steal by L. Barbosa),,99-116,,
1:02.0,,,99-118,2,L. Barbosa makes 2-pt shot from 1 ft
0:57.0,,,99-118,,Personal foul by L. Barbosa (drawn by B. Weber)
0:57.0,B. Weber makes free throw 1 of 2,1,100-118,,
0:57.0,B. Weber makes free throw 2 of 2,1,101-118,,
0:57.0,,,99-118,,R. Price enters the game for L. Barbosa
0:40.0,,,101-120,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
0:26.0,J. O'Bryant makes 2-pt shot from 10 ft (assist by B. Roberts),2,103-120,,
0:01.0,,,103-120,,Turnover by Team (shot clock)
0:00.0,C. Wood misses 3-pt shot from 35 ft,,103-120,,
0:00.0,Offensive rebound by Team,,103-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
