time,Dallas,pts.away,score,pts.home,LA Lakers
0:04.0,,,80-70,,Technical foul by L. Williams
0:04.0,W. Matthews makes technical free throw,1,81-70,,
0:04.0,H. Barnes enters the game for D. Finney-Smith,,81-70,,
0:01.0,D. Harris misses 2-pt shot from 10 ft,,81-70,,
0:00.0,Offensive rebound by Team,,81-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by D. Harris (bad pass; steal by T. Robinson),,81-70,,
11:40.0,,,81-70,,B. Ingram misses 2-pt shot from 3 ft (block by S. Mejri)
11:39.0,,,81-70,,Offensive rebound by T. Robinson
11:28.0,,,81-70,,Turnover by L. Williams (lost ball; steal by H. Barnes)
11:09.0,Turnover by S. Curry (dbl dribble),,81-70,,
10:54.0,,,81-72,2,T. Robinson makes 2-pt shot from 3 ft
10:32.0,S. Curry makes 2-pt shot from 20 ft,2,83-72,,
10:17.0,,,83-74,2,L. Williams makes 2-pt shot at rim
9:54.0,H. Barnes misses 2-pt shot from 11 ft,,83-74,,
9:51.0,Offensive rebound by S. Mejri,,83-74,,
9:36.0,D. Harris misses 3-pt shot from 25 ft,,83-74,,
9:35.0,,,83-74,,Defensive rebound by B. Ingram
9:29.0,,,83-74,,Shooting foul by S. Curry
9:29.0,,,83-74,,L. Williams misses free throw 1 of 2
9:29.0,,,83-74,,Offensive rebound by Team
9:29.0,,,83-75,1,L. Williams makes free throw 2 of 2
9:29.0,D. Williams enters the game for D. Harris,,83-74,,
9:18.0,,,83-75,,Personal foul by J. Clarkson (drawn by H. Barnes)
9:07.0,Turnover by H. Barnes (lost ball; steal by J. Clarkson),,83-75,,
9:06.0,Loose ball foul by H. Barnes (drawn by J. Clarkson),,83-75,,
8:54.0,,,83-75,,L. Williams misses 2-pt shot from 20 ft
8:53.0,Defensive rebound by H. Barnes,,83-75,,
8:42.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,85-75,,
8:29.0,,,85-75,,Offensive foul by T. Robinson
8:29.0,,,85-75,,Turnover by T. Robinson (offensive foul)
8:29.0,Official timeout,,85-75,,
8:29.0,,,85-75,,D. Russell enters the game for L. Deng
8:29.0,,,85-75,,N. Young enters the game for T. Robinson
8:29.0,,,85-75,,J. Randle enters the game for L. Williams
8:21.0,Shooting foul by B. Ingram (drawn by D. Finney-Smith),,85-75,,
8:21.0,D. Finney-Smith misses free throw 1 of 2,,85-75,,
8:21.0,Offensive rebound by Team,,85-75,,
8:21.0,D. Finney-Smith makes free throw 2 of 2,1,86-75,,
8:06.0,,,86-75,,J. Clarkson misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by S. Mejri,,86-75,,
7:47.0,H. Barnes misses 2-pt shot from 13 ft,,86-75,,
7:44.0,,,86-75,,Defensive rebound by J. Clarkson
7:30.0,,,86-75,,N. Young misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by H. Barnes,,86-75,,
7:13.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Williams),3,89-75,,
6:56.0,,,89-77,2,B. Ingram makes 2-pt shot from 1 ft
6:44.0,Turnover by D. Williams (lost ball),,89-77,,
6:23.0,,,89-77,,D. Russell misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by S. Mejri,,89-77,,
5:58.0,D. Finney-Smith misses 3-pt shot from 23 ft,,89-77,,
5:58.0,Offensive rebound by S. Mejri,,89-77,,
5:58.0,Turnover by Team (shot clock),,89-77,,
5:58.0,,,89-77,,LA Lakers full timeout
5:58.0,W. Matthews enters the game for D. Finney-Smith,,89-77,,
5:47.0,,,89-77,,Turnover by D. Russell (bad pass; steal by S. Curry)
5:30.0,D. Williams makes 3-pt shot from 25 ft (assist by H. Barnes),3,92-77,,
5:20.0,,,92-77,,Turnover by J. Randle (bad pass)
5:09.0,Turnover by D. Williams (bad pass; steal by J. Clarkson),,92-77,,
5:05.0,,,92-79,2,J. Clarkson makes 2-pt shot at rim (assist by D. Russell)
4:43.0,S. Mejri makes 2-pt shot from 4 ft (assist by W. Matthews),2,94-79,,
4:28.0,,,94-79,,Shooting foul by D. Williams (drawn by J. Randle)
4:28.0,,,94-80,1,J. Randle makes free throw 1 of 2
4:28.0,,,94-81,1,J. Randle makes free throw 2 of 2
4:12.0,Shooting foul by B. Ingram (drawn by W. Matthews),,94-81,,
4:12.0,W. Matthews makes free throw 1 of 2,1,95-81,,
4:12.0,W. Matthews misses free throw 2 of 2,,95-81,,
4:11.0,,,95-81,,Defensive rebound by N. Young
3:56.0,,,95-81,,D. Russell misses 2-pt shot from 7 ft
3:53.0,,,95-81,,Offensive rebound by J. Randle
3:53.0,,,95-81,,J. Randle misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by H. Barnes,,95-81,,
3:33.0,W. Matthews makes 2-pt shot from 18 ft,2,97-81,,
3:22.0,,,97-81,,Shooting foul by D. Williams (drawn by J. Randle)
3:22.0,,,97-82,1,J. Randle makes free throw 1 of 2
3:22.0,Dallas full timeout,,97-82,,
3:22.0,,,97-82,,J. Randle misses free throw 2 of 2
3:20.0,Defensive rebound by S. Mejri,,97-82,,
3:12.0,,,97-82,,Personal foul by B. Ingram (drawn by W. Matthews)
3:00.0,H. Barnes misses 3-pt shot from 22 ft,,97-82,,
2:59.0,,,97-82,,Defensive rebound by J. Randle
2:42.0,,,97-82,,Shooting foul by D. Williams (drawn by D. Russell)
2:42.0,,,97-83,1,D. Russell makes free throw 1 of 2
2:42.0,,,97-84,1,D. Russell makes free throw 2 of 2
2:42.0,D. Harris enters the game for D. Williams,,97-82,,
2:22.0,W. Matthews misses 3-pt shot from 25 ft,,97-84,,
2:20.0,Offensive rebound by Team,,97-84,,
2:08.0,D. Harris makes 3-pt shot from 25 ft (assist by H. Barnes),3,100-84,,
1:57.0,,,100-86,2,J. Clarkson makes 2-pt shot from 2 ft
1:33.0,D. Harris misses 2-pt shot from 8 ft,,100-86,,
1:30.0,,,100-86,,Defensive rebound by D. Russell
1:27.0,,,100-88,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
1:06.0,H. Barnes misses 2-pt shot from 17 ft,,100-88,,
1:04.0,Offensive rebound by S. Mejri,,100-88,,
0:50.0,Shooting foul by J. Randle (drawn by W. Matthews),,100-88,,
0:50.0,W. Matthews makes free throw 1 of 2,1,101-88,,
0:50.0,W. Matthews misses free throw 2 of 2,,101-88,,
0:48.0,,,101-88,,Defensive rebound by J. Randle
0:42.0,,,101-88,,N. Young misses 2-pt shot from 22 ft
0:39.0,Defensive rebound by D. Harris,,101-88,,
0:18.0,Turnover by Team (shot clock),,101-88,,
0:13.0,,,101-88,,Shooting foul by D. Harris (drawn by J. Randle)
0:13.0,,,101-88,,J. Randle misses free throw 1 of 2
0:13.0,,,101-88,,Offensive rebound by Team
0:13.0,,,101-89,1,J. Randle makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
