time,LA Lakers,pts.away,score,pts.home,Boston
4:55.0,,,89-101,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
4:42.0,Turnover by L. Nance (bad pass),,89-101,,
4:42.0,,,89-101,,M. Smart enters the game for T. Rozier
4:30.0,,,89-101,,Turnover by I. Thomas (bad pass; steal by L. Nance)
4:27.0,L. Nance makes 2-pt shot at rim,2,91-101,,
4:05.0,,,91-101,,Offensive foul by A. Horford
4:05.0,,,91-101,,Turnover by A. Horford (offensive foul)
4:05.0,,,91-101,,J. Brown enters the game for J. Jerebko
3:50.0,Shooting foul by A. Horford,,91-101,,
3:50.0,L. Williams makes free throw 1 of 3,1,92-101,,
3:50.0,L. Williams makes free throw 2 of 3,1,93-101,,
3:50.0,L. Williams makes free throw 3 of 3,1,94-101,,
3:39.0,,,94-101,,I. Thomas misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by D. Russell,,94-101,,
3:27.0,L. Nance misses 2-pt shot from 18 ft,,94-101,,
3:26.0,,,94-101,,Defensive rebound by A. Horford
3:12.0,,,94-101,,A. Horford misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by L. Nance,,94-101,,
3:04.0,D. Russell misses 3-pt shot from 25 ft,,94-101,,
3:03.0,Offensive rebound by L. Nance,,94-101,,
2:59.0,L. Williams misses 3-pt shot from 24 ft,,94-101,,
2:58.0,Offensive rebound by L. Nance,,94-101,,
2:55.0,L. Williams misses 3-pt shot from 23 ft,,94-101,,
2:54.0,Offensive rebound by N. Young,,94-101,,
2:49.0,D. Russell misses 3-pt shot from 23 ft,,94-101,,
2:48.0,,,94-101,,Defensive rebound by A. Horford
2:40.0,,,94-101,,Shooting foul by D. Russell (drawn by I. Thomas)
2:40.0,,,94-101,,Boston full timeout
2:40.0,,,94-102,1,I. Thomas makes free throw 1 of 2
2:40.0,,,94-103,1,I. Thomas makes free throw 2 of 2
2:29.0,Turnover by B. Ingram (bad pass; steal by J. Crowder),,94-103,,
2:25.0,,,94-105,2,I. Thomas makes 2-pt shot from 3 ft (assist by J. Crowder)
2:09.0,L. Williams makes 3-pt shot from 24 ft (assist by D. Russell),3,97-105,,
1:54.0,,,97-108,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart)
1:43.0,L. Williams makes 3-pt shot from 26 ft (assist by L. Nance),3,100-108,,
1:31.0,,,100-108,,Shooting foul by L. Nance (drawn by I. Thomas)
1:31.0,,,100-110,2,I. Thomas makes 2-pt shot from 3 ft
1:31.0,,,100-111,1,I. Thomas makes free throw 1 of 1
1:20.0,N. Young makes 3-pt shot from 24 ft (assist by L. Nance),3,103-111,,
1:05.0,,,103-113,2,A. Horford makes 2-pt shot from 16 ft (assist by I. Thomas)
0:57.0,Shooting foul by J. Brown (drawn by L. Nance),,103-113,,
0:57.0,L. Nance misses free throw 1 of 2,,103-113,,
0:57.0,Offensive rebound by Team,,103-113,,
0:57.0,L. Nance makes free throw 2 of 2,1,104-113,,
0:35.0,,,104-113,,J. Crowder misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by L. Williams,,104-113,,
0:32.0,,,104-113,,Personal foul by J. Crowder
0:32.0,L. Williams misses free throw 1 of 2,,104-113,,
0:32.0,Offensive rebound by Team,,104-113,,
0:32.0,L. Williams misses free throw 2 of 2,,104-113,,
0:32.0,,,104-113,,Defensive rebound by J. Brown
0:14.0,,,104-113,,Turnover by M. Smart (lost ball; steal by D. Russell)
0:09.0,D. Russell makes 3-pt shot from 26 ft,3,107-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
