time,Golden State,pts.away,score,pts.home,Charlotte
1:53.0,,,49-39,,Defensive rebound by K. Walker
1:34.0,,,49-41,2,M. Williams makes 2-pt shot at rim (assist by S. Hawes)
1:16.0,K. Durant misses 3-pt shot from 24 ft,,49-41,,
1:15.0,,,49-41,,Defensive rebound by S. Hawes
1:07.0,,,49-43,2,K. Walker makes 2-pt shot from 1 ft (assist by S. Hawes)
1:07.0,Golden State full timeout,,49-43,,
1:07.0,K. Thompson enters the game for P. McCaw,,49-43,,
0:57.0,Shooting foul by S. Hawes (drawn by K. Durant),,49-43,,
0:57.0,K. Durant makes free throw 1 of 2,1,50-43,,
0:57.0,K. Durant makes free throw 2 of 2,1,51-43,,
0:42.0,,,51-45,2,N. Batum makes 2-pt shot from 9 ft
0:32.0,K. Durant makes 2-pt shot from 17 ft (assist by S. Curry),2,53-45,,
0:12.0,,,53-45,,K. Walker misses 2-pt shot from 1 ft
0:12.0,,,53-45,,Offensive rebound by S. Hawes
0:12.0,,,53-47,2,S. Hawes makes 2-pt shot from 1 ft
0:02.0,S. Curry misses 2-pt shot from 1 ft (block by M. Williams),,53-47,,
0:01.0,,,53-47,,Defensive rebound by S. Hawes
0:00.0,,,53-47,,K. Walker misses 3-pt shot from 47 ft
0:00.0,,,53-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-47,,Shooting foul by D. Green (drawn by R. Hibbert)
11:47.0,,,53-48,1,R. Hibbert makes free throw 1 of 2
11:47.0,,,53-49,1,R. Hibbert makes free throw 2 of 2
11:34.0,S. Curry misses 2-pt shot from 16 ft,,53-49,,
11:33.0,,,53-49,,Defensive rebound by M. Williams
11:23.0,,,53-49,,R. Hibbert misses 2-pt shot from 1 ft
11:23.0,Defensive rebound by Team,,53-49,,
11:10.0,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,55-49,,
10:52.0,,,55-51,2,K. Walker makes 2-pt shot from 10 ft
10:37.0,K. Thompson misses 3-pt shot from 25 ft,,55-51,,
10:36.0,,,55-51,,Defensive rebound by M. Kidd-Gilchrist
10:25.0,,,55-51,,K. Walker misses 3-pt shot from 30 ft
10:23.0,,,55-51,,Offensive rebound by M. Kidd-Gilchrist
10:23.0,Personal foul by Z. Pachulia (drawn by M. Kidd-Gilchrist),,55-51,,
10:12.0,,,55-53,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum)
9:59.0,D. Green misses 3-pt shot from 28 ft,,55-53,,
9:58.0,Offensive rebound by Z. Pachulia,,55-53,,
9:56.0,Z. Pachulia misses 2-pt shot from 2 ft,,55-53,,
9:54.0,,,55-53,,Defensive rebound by N. Batum
9:48.0,,,55-53,,M. Williams misses 2-pt shot from 1 ft
9:47.0,,,55-53,,Offensive rebound by R. Hibbert
9:47.0,,,55-55,2,R. Hibbert makes 2-pt shot at rim
9:47.0,Golden State full timeout,,55-55,,
9:37.0,Turnover by K. Durant (bad pass; steal by M. Williams),,55-55,,
9:16.0,,,55-55,,M. Williams misses 2-pt shot from 1 ft
9:15.0,,,55-55,,Offensive rebound by R. Hibbert
9:04.0,,,55-55,,M. Williams misses 3-pt shot from 27 ft
9:03.0,Defensive rebound by K. Thompson,,55-55,,
8:55.0,K. Durant misses 3-pt shot from 25 ft,,55-55,,
8:54.0,,,55-55,,Defensive rebound by R. Hibbert
8:40.0,,,55-58,3,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams)
8:36.0,Golden State full timeout,,55-58,,
8:22.0,K. Durant makes 2-pt shot from 1 ft,2,57-58,,
8:08.0,,,57-61,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
7:43.0,Offensive charge foul by K. Durant,,57-61,,
7:43.0,Turnover by K. Durant (offensive foul),,57-61,,
7:21.0,Personal foul by D. Green (drawn by N. Batum),,57-61,,
7:11.0,,,57-63,2,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum)
6:54.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,59-63,,
6:36.0,,,59-65,2,M. Williams makes 2-pt shot from 7 ft (assist by K. Walker)
