time,Cleveland,pts.away,score,pts.home,San Antonio
3:08.0,,,70-101,3,D. Bertans makes 3-pt shot from 26 ft (assist by J. Simmons)
2:54.0,K. Felder misses 2-pt shot from 17 ft,,70-101,,
2:53.0,,,70-101,,Defensive rebound by J. Simmons
2:41.0,,,70-101,,D. Dedmon misses 2-pt shot from 2 ft
2:40.0,,,70-101,,Offensive rebound by D. Dedmon
2:30.0,,,70-103,2,D. Dedmon makes 2-pt shot at rim
2:23.0,J. Jones makes 2-pt shot at rim,2,72-103,,
2:13.0,,,72-103,,J. Simmons misses 3-pt shot from 26 ft
2:11.0,Defensive rebound by C. Frye,,72-103,,
2:03.0,,,72-103,,Personal foul by J. Simmons (drawn by D. Williams)
2:03.0,Cleveland full timeout,,72-103,,
1:49.0,Turnover by Team (shot clock),,72-103,,
1:35.0,,,72-103,,Turnover by D. Bertans (bad pass; steal by J. Jones)
1:18.0,C. Frye makes 2-pt shot at rim,2,74-103,,
1:00.0,,,74-103,,B. Forbes misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by K. Felder,,74-103,,
0:43.0,D. Williams misses 2-pt shot from 1 ft (block by D. Dedmon),,74-103,,
0:42.0,,,74-103,,Defensive rebound by D. Bertans
0:22.0,,,74-103,,D. Bertans misses 2-pt shot from 12 ft
0:20.0,Defensive rebound by D. Liggins,,74-103,,
0:15.0,D. Liggins misses 2-pt shot from 1 ft,,74-103,,
0:12.0,,,74-103,,Defensive rebound by D. Bertans
0:00.0,End of 4th quarter,,,,End of 4th quarter
