time,Orlando,pts.away,score,pts.home,Memphis
4:18.0,,,85-81,3,M. Gasol makes 3-pt shot from 24 ft (assist by A. Harrison)
3:57.0,Turnover by J. Green (bad pass; steal by T. Allen),,85-81,,
3:52.0,,,85-81,,Shooting foul by S. Ibaka (drawn by J. Green)
3:52.0,,,85-82,1,J. Green makes free throw 1 of 2
3:52.0,,,85-82,,J. Green misses free throw 2 of 2
3:52.0,N. Vucevic enters the game for B. Biyombo,,85-82,,
3:51.0,Defensive rebound by N. Vucevic,,85-82,,
3:41.0,N. Vucevic misses 2-pt shot from 22 ft,,85-82,,
3:40.0,,,85-82,,Defensive rebound by J. Green
3:29.0,,,85-84,2,A. Harrison makes 2-pt shot from 2 ft
3:29.0,Orlando full timeout,,85-84,,
3:15.0,Jump ball: M. Gasol vs. N. Vucevic,,,,Jump ball: M. Gasol vs. N. Vucevic
3:04.0,E. Fournier makes 3-pt shot from 24 ft,3,88-84,,
2:43.0,,,88-86,2,M. Gasol makes 2-pt shot from 9 ft
2:43.0,,,88-86,,Shooting foul by E. Fournier (drawn by M. Gasol)
2:43.0,,,88-86,,Memphis full timeout
2:43.0,,,88-87,1,M. Gasol makes free throw 1 of 1
2:23.0,E. Fournier makes 2-pt shot from 6 ft,2,90-87,,
2:03.0,,,90-89,2,A. Harrison makes 2-pt shot from 18 ft
1:43.0,Shooting foul by T. Allen (drawn by N. Vucevic),,90-89,,
1:43.0,N. Vucevic makes free throw 1 of 2,1,91-89,,
1:43.0,N. Vucevic makes free throw 2 of 2,1,92-89,,
1:43.0,,,92-89,,Memphis full timeout
1:28.0,Personal foul by J. Green (drawn by T. Allen),,92-89,,
1:28.0,,,92-89,,T. Allen misses free throw 1 of 2
1:28.0,,,92-89,,Offensive rebound by Team
1:28.0,,,92-90,1,T. Allen makes free throw 2 of 2
1:09.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,94-90,,
1:00.0,B. Biyombo enters the game for N. Vucevic,,94-90,,
0:48.0,,,94-93,3,J. Green makes 3-pt shot from 26 ft (assist by A. Harrison)
0:48.0,Orlando full timeout,,94-93,,
0:48.0,N. Vucevic enters the game for B. Biyombo,,94-93,,
0:48.0,,,94-93,,J. Martin enters the game for T. Daniels
0:24.0,N. Vucevic misses 3-pt shot from 26 ft,,94-93,,
0:24.0,,,94-93,,Defensive rebound by J. Green
0:19.0,,,94-93,,Memphis full timeout
0:19.0,,,94-93,,T. Daniels enters the game for J. Martin
0:19.0,B. Biyombo enters the game for N. Vucevic,,94-93,,
0:12.0,Personal foul by B. Biyombo (drawn by M. Gasol),,94-93,,
0:12.0,,,94-94,1,M. Gasol makes free throw 1 of 2
0:12.0,,,94-95,1,M. Gasol makes free throw 2 of 2
0:12.0,Orlando full timeout,,94-95,,
0:12.0,,,94-94,,J. Martin enters the game for T. Daniels
0:12.0,N. Vucevic enters the game for B. Biyombo,,94-95,,
0:00.0,Turnover by E. Payton (bad pass; steal by J. Green),,94-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
