time,Chicago,pts.away,score,pts.home,Washington
3:53.0,Defensive rebound by N. Mirotic,,93-98,,
3:38.0,N. Mirotic misses 2-pt shot from 19 ft,,93-98,,
3:37.0,,,93-98,,Defensive rebound by B. Beal
3:32.0,Personal foul by D. Valentine (drawn by M. Gortat),,93-98,,
3:22.0,,,93-100,2,B. Beal makes 2-pt shot from 2 ft
3:14.0,D. Valentine makes 3-pt shot from 24 ft (assist by R. Rondo),3,96-100,,
2:48.0,,,96-102,2,B. Beal makes 2-pt shot from 16 ft
2:46.0,Chicago full timeout,,96-102,,
2:39.0,Shooting foul by J. Smith (drawn by J. Butler),,96-102,,
2:39.0,J. Butler misses free throw 1 of 2,,96-102,,
2:39.0,Offensive rebound by Team,,96-102,,
2:39.0,J. Butler makes free throw 2 of 2,1,97-102,,
2:23.0,,,97-104,2,B. Beal makes 2-pt shot at rim
1:59.0,R. Lopez makes 2-pt shot from 13 ft (assist by R. Rondo),2,99-104,,
1:37.0,,,99-104,,J. Wall misses 2-pt shot from 14 ft
1:36.0,Defensive rebound by D. Valentine,,99-104,,
1:24.0,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo),3,102-104,,
1:10.0,,,102-106,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:00.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,104-106,,
0:45.0,,,104-106,,Shooting foul by J. Butler (drawn by J. Wall)
0:45.0,,,104-107,1,J. Wall makes free throw 1 of 2
0:45.0,,,104-108,1,J. Wall makes free throw 2 of 2
0:45.0,Chicago full timeout,,104-108,,
0:40.0,J. Butler makes 3-pt shot from 27 ft,3,107-108,,
0:19.0,,,107-108,,B. Beal misses 2-pt shot from 10 ft
0:18.0,,,107-108,,Offensive rebound by Team
0:18.0,Loose ball foul by D. Valentine (drawn by O. Porter),,107-108,,
0:18.0,,,107-109,1,O. Porter makes free throw 1 of 2
0:18.0,,,107-110,1,O. Porter makes free throw 2 of 2
0:18.0,Chicago full timeout,,107-110,,
0:18.0,,,107-110,,K. Oubre enters the game for M. Gortat
0:04.0,J. Butler misses 3-pt shot from 25 ft,,107-110,,
0:03.0,,,107-110,,Defensive rebound by O. Porter
0:02.0,Personal take foul by J. Butler (drawn by J. Wall),,107-110,,
0:02.0,,,107-111,1,J. Wall makes free throw 1 of 2
0:02.0,,,107-112,1,J. Wall makes free throw 2 of 2
0:02.0,Chicago full timeout,,107-112,,
0:00.0,R. Lopez misses 3-pt shot from 29 ft,,107-112,,
0:00.0,Offensive rebound by Team,,107-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
