time,Chicago,pts.away,score,pts.home,New York
2:14.0,N. Mirotic makes 2-pt shot from 1 ft,2,86-95,,
1:54.0,,,86-95,,Turnover by K. O'Quinn (lost ball; steal by R. Lopez)
1:53.0,Chicago full timeout,,86-95,,
1:45.0,J. Butler misses 2-pt shot from 3 ft,,86-95,,
1:44.0,,,86-95,,Defensive rebound by M. Ndour
1:32.0,,,86-95,,Shooting foul by J. Butler (drawn by C. Anthony)
1:32.0,,,86-96,1,C. Anthony makes free throw 1 of 2
1:32.0,,,86-97,1,C. Anthony makes free throw 2 of 2
1:15.0,N. Mirotic misses 3-pt shot from 23 ft,,86-97,,
1:14.0,,,86-97,,Defensive rebound by K. O'Quinn
1:00.0,,,86-97,,Turnover by R. Baker (bad pass; steal by M. Carter-Williams)
0:49.0,Shooting foul by C. Anthony (drawn by A. Morrow),,86-97,,
0:49.0,A. Morrow makes free throw 1 of 2,1,87-97,,
0:49.0,A. Morrow makes free throw 2 of 2,1,88-97,,
0:49.0,B. Portis enters the game for R. Lopez,,87-97,,
0:25.0,,,88-97,,C. Anthony misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by N. Mirotic,,88-97,,
0:17.0,A. Morrow misses 3-pt shot from 24 ft,,88-97,,
0:17.0,,,88-97,,Defensive rebound by M. Ndour
0:15.0,Personal take foul by J. Butler (drawn by M. Ndour),,88-97,,
0:15.0,,,88-97,,M. Ndour misses free throw 1 of 2
0:15.0,,,88-97,,Offensive rebound by Team
0:15.0,,,88-98,1,M. Ndour makes free throw 2 of 2
0:15.0,D. Valentine enters the game for J. Butler,,88-97,,
0:07.0,D. Valentine makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,91-98,,
0:03.0,Personal take foul by B. Portis (drawn by C. Lee),,91-98,,
0:03.0,,,91-99,1,C. Lee makes free throw 1 of 2
0:03.0,,,91-100,1,C. Lee makes free throw 2 of 2
0:01.0,M. Carter-Williams misses 3-pt shot from 25 ft,,91-100,,
0:00.0,Offensive rebound by Team,,91-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
