time,LA Clippers,pts.away,score,pts.home,Miami
3:58.0,Violation by Team (jump ball),,92-85,,
3:58.0,,,92-85,,Miami full timeout
3:48.0,,,92-87,2,J. Johnson makes 2-pt shot from 13 ft
3:28.0,,,92-87,,Personal foul by J. Winslow (drawn by B. Griffin)
3:11.0,C. Paul misses 3-pt shot from 28 ft,,92-87,,
3:10.0,,,92-87,,Defensive rebound by G. Dragic
2:53.0,,,92-87,,J. Johnson misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by D. Jordan,,92-87,,
2:43.0,J. Redick misses 3-pt shot from 24 ft,,92-87,,
2:42.0,,,92-87,,Defensive rebound by Team
2:15.0,,,92-87,,H. Whiteside misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by B. Griffin,,92-87,,
2:12.0,,,92-87,,Personal foul by J. Johnson (drawn by C. Paul)
2:12.0,C. Paul misses free throw 1 of 2,,92-87,,
2:12.0,Offensive rebound by Team,,92-87,,
2:12.0,C. Paul makes free throw 2 of 2,1,93-87,,
1:53.0,,,93-87,,Turnover by G. Dragic (bad pass)
1:42.0,C. Paul makes 2-pt shot from 12 ft,2,95-87,,
1:17.0,,,95-87,,Turnover by Team (shot clock)
0:58.0,C. Paul misses 2-pt shot from 19 ft,,95-87,,
0:57.0,,,95-87,,Defensive rebound by G. Dragic
0:51.0,,,95-87,,Shooting foul by D. Jordan (drawn by H. Whiteside)
0:51.0,,,95-88,1,H. Whiteside makes free throw 1 of 2
0:51.0,,,95-88,,H. Whiteside misses free throw 2 of 2
0:51.0,,,95-88,,J. Richardson enters the game for R. McGruder
0:50.0,Defensive rebound by J. Redick,,95-88,,
0:29.0,Turnover by C. Paul (bad pass; steal by H. Whiteside),,95-88,,
0:22.0,,,95-91,3,J. Winslow makes 3-pt shot from 24 ft (assist by J. Richardson)
0:22.0,LA Clippers full timeout,,95-91,,
0:22.0,J. Crawford enters the game for D. Jordan,,95-91,,
0:22.0,,,95-91,,R. McGruder enters the game for H. Whiteside
0:21.0,,,95-91,,Personal foul by R. McGruder (drawn by J. Redick)
0:21.0,J. Redick makes free throw 1 of 2,1,96-91,,
0:21.0,J. Redick makes free throw 2 of 2,1,97-91,,
0:21.0,,,97-91,,Miami full timeout
0:21.0,,,96-91,,H. Whiteside enters the game for R. McGruder
0:21.0,R. Felton enters the game for J. Redick,,97-91,,
0:21.0,D. Jordan enters the game for J. Crawford,,97-91,,
0:21.0,,,97-91,,R. McGruder enters the game for H. Whiteside
0:18.0,,,97-93,2,G. Dragic makes 2-pt shot from 1 ft
0:16.0,,,97-93,,Personal foul by J. Richardson (drawn by R. Felton)
0:16.0,R. Felton makes free throw 1 of 2,1,98-93,,
0:16.0,R. Felton makes free throw 2 of 2,1,99-93,,
0:16.0,,,99-93,,Miami full timeout
0:16.0,,,98-93,,H. Whiteside enters the game for G. Dragic
0:16.0,,,99-93,,L. Babbitt enters the game for H. Whiteside
0:16.0,,,99-93,,G. Dragic enters the game for J. Johnson
0:13.0,,,99-95,2,J. Richardson makes 2-pt shot from 4 ft
0:13.0,,,99-95,,Shooting foul by A. Rivers (drawn by J. Richardson)
0:13.0,,,99-96,1,J. Richardson makes free throw 1 of 1
0:13.0,LA Clippers full timeout,,99-96,,
0:13.0,LA Clippers full timeout,,99-96,,
0:13.0,,,99-95,,J. Johnson enters the game for L. Babbitt
0:13.0,J. Redick enters the game for D. Jordan,,99-95,,
0:13.0,J. Crawford enters the game for R. Felton,,99-96,,
0:12.0,Turnover by A. Rivers (bad pass),,99-96,,
0:12.0,,,99-96,,Miami full timeout
0:12.0,D. Jordan enters the game for J. Redick,,99-96,,
0:12.0,R. Felton enters the game for J. Crawford,,99-96,,
0:11.0,Personal foul by A. Rivers (drawn by G. Dragic),,99-96,,
0:11.0,,,99-97,1,G. Dragic makes free throw 1 of 2
0:11.0,,,99-98,1,G. Dragic makes free throw 2 of 2
0:11.0,J. Crawford enters the game for A. Rivers,,99-96,,
0:11.0,J. Redick enters the game for R. Felton,,99-97,,
0:09.0,,,99-98,,Personal foul by G. Dragic (drawn by C. Paul)
0:09.0,C. Paul makes free throw 1 of 2,1,100-98,,
0:09.0,C. Paul misses free throw 2 of 2,,100-98,,
0:09.0,Offensive rebound by D. Jordan,,100-98,,
0:09.0,R. Felton enters the game for J. Crawford,,100-98,,
0:08.0,D. Jordan makes 2-pt shot from 3 ft,2,102-98,,
0:03.0,,,102-98,,J. Johnson misses 3-pt shot from 25 ft
0:00.0,,,102-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
