time,Memphis,pts.away,score,pts.home,Cleveland
1:41.0,Turnover by T. Williams (lost ball; steal by J. McRae),,82-99,,
1:38.0,Personal foul by T. Williams (drawn by D. Liggins),,82-99,,
1:38.0,,,82-99,,Cleveland full timeout
1:38.0,,,82-99,,D. Liggins misses free throw 1 of 2
1:38.0,,,82-99,,Offensive rebound by Team
1:38.0,,,82-99,,D. Liggins misses free throw 2 of 2
1:38.0,T. Douglas enters the game for J. Green,,82-99,,
1:37.0,Defensive rebound by J. Martin,,82-99,,
1:23.0,T. Daniels misses 3-pt shot from 26 ft,,82-99,,
1:23.0,Offensive rebound by T. Williams,,82-99,,
1:19.0,T. Williams misses 2-pt shot from 8 ft,,82-99,,
1:17.0,,,82-99,,Defensive rebound by J. McRae
1:11.0,,,82-101,2,J. McRae makes 2-pt shot at rim
1:01.0,Shooting foul by K. Felder (drawn by W. Baldwin),,82-101,,
1:01.0,W. Baldwin makes free throw 1 of 2,1,83-101,,
1:01.0,W. Baldwin makes free throw 2 of 2,1,84-101,,
0:55.0,,,84-101,,Offensive foul by J. McRae
0:55.0,,,84-101,,Turnover by J. McRae (offensive foul)
0:48.0,W. Baldwin makes 2-pt shot from 17 ft,2,86-101,,
0:34.0,,,86-103,2,K. Felder makes 2-pt shot from 16 ft
0:28.0,T. Williams misses 2-pt shot from 2 ft,,86-103,,
0:26.0,,,86-103,,Defensive rebound by K. Felder
0:05.0,,,86-103,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
