time,Philadelphia,pts.away,score,pts.home,Memphis
8:17.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,80-85,,
8:17.0,Offensive foul by T. Luwawu-Cabarrot,,80-85,,
7:57.0,,,80-85,,Z. Randolph misses 2-pt shot from 18 ft
7:56.0,Defensive rebound by T. Luwawu-Cabarrot,,80-85,,
7:51.0,D. Saric misses 2-pt shot from 3 ft (block by M. Gasol),,80-85,,
7:51.0,Offensive rebound by Team,,80-85,,
7:48.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,80-85,,
7:48.0,N. Stauskas misses free throw 1 of 2,,80-85,,
7:48.0,Offensive rebound by Team,,80-85,,
7:48.0,N. Stauskas makes free throw 2 of 2,1,81-85,,
7:48.0,,,80-85,,A. Harrison enters the game for T. Daniels
7:32.0,,,81-85,,Z. Randolph misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by D. Saric,,81-85,,
7:22.0,T. McConnell misses 2-pt shot from 1 ft,,81-85,,
7:22.0,,,81-85,,Defensive rebound by Team
7:01.0,,,81-85,,Turnover by W. Baldwin (bad pass; steal by D. Saric)
6:57.0,D. Saric misses 2-pt shot from 2 ft,,81-85,,
6:57.0,,,81-85,,Defensive rebound by Team
6:35.0,,,81-85,,M. Gasol misses 2-pt shot from 8 ft
6:33.0,,,81-85,,Offensive rebound by Z. Randolph
6:33.0,,,81-85,,Z. Randolph misses 2-pt shot from 2 ft
6:33.0,,,81-85,,Offensive rebound by Z. Randolph
6:33.0,,,81-85,,Shooting foul by T. Luwawu-Cabarrot (drawn by Z. Randolph)
6:33.0,,,81-86,1,Z. Randolph makes free throw 1 of 2
6:33.0,,,81-87,1,Z. Randolph makes free throw 2 of 2
6:21.0,N. Stauskas misses 3-pt shot from 26 ft,,81-87,,
6:20.0,Offensive rebound by D. Saric,,81-87,,
6:17.0,D. Saric makes 2-pt shot from 1 ft,2,83-87,,
6:01.0,,,83-87,,W. Baldwin misses 2-pt shot from 4 ft
6:00.0,Defensive rebound by N. Stauskas,,83-87,,
5:54.0,T. Luwawu-Cabarrot misses 2-pt shot at rim (block by A. Harrison),,83-87,,
5:51.0,Offensive rebound by E. Ilyasova,,83-87,,
5:50.0,E. Ilyasova misses 3-pt shot from 24 ft,,83-87,,
5:50.0,,,83-87,,Defensive rebound by Team
5:50.0,Official timeout,,83-87,,
5:50.0,,,83-87,,J. Green enters the game for Z. Randolph
5:50.0,R. Holmes enters the game for T. Luwawu-Cabarrot,,83-87,,
5:39.0,,,83-87,,J. Green misses 2-pt shot from 12 ft
5:39.0,Defensive rebound by E. Ilyasova,,83-87,,
5:39.0,,,83-87,,Loose ball foul by M. Gasol (drawn by D. Saric)
5:20.0,Turnover by E. Ilyasova (bad pass; steal by T. Williams),,83-87,,
4:56.0,,,83-89,2,M. Gasol makes 2-pt shot at rim
4:44.0,,,83-89,,Personal foul by A. Harrison (drawn by N. Stauskas)
4:44.0,S. Rodriguez enters the game for T. McConnell,,83-89,,
4:30.0,E. Ilyasova makes 2-pt shot from 4 ft,2,85-89,,
4:30.0,Shooting foul by W. Baldwin (drawn by E. Ilyasova),,85-89,,
4:30.0,E. Ilyasova makes free throw 1 of 1,1,86-89,,
4:30.0,,,85-89,,T. Allen enters the game for W. Baldwin
4:08.0,,,86-89,,M. Gasol misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by E. Ilyasova,,86-89,,
3:54.0,,,86-89,,Personal foul by T. Williams (drawn by E. Ilyasova)
3:54.0,E. Ilyasova makes free throw 1 of 2,1,87-89,,
3:54.0,E. Ilyasova misses free throw 2 of 2,,87-89,,
3:52.0,,,87-89,,Defensive rebound by A. Harrison
3:42.0,,,87-89,,Turnover by M. Gasol (bad pass; steal by E. Ilyasova)
3:18.0,D. Saric makes 2-pt shot from 4 ft (assist by S. Rodriguez),2,89-89,,
2:46.0,,,89-89,,M. Gasol misses 2-pt shot from 7 ft
2:45.0,Defensive rebound by D. Saric,,89-89,,
2:30.0,E. Ilyasova misses 3-pt shot from 24 ft,,89-89,,
2:29.0,,,89-89,,Defensive rebound by M. Gasol
2:13.0,,,89-89,,A. Harrison misses 2-pt shot from 5 ft (block by E. Ilyasova)
2:13.0,Defensive rebound by E. Ilyasova,,89-89,,
1:57.0,D. Saric makes 2-pt shot from 4 ft (assist by E. Ilyasova),2,91-89,,
1:57.0,Shooting foul by T. Williams (drawn by D. Saric),,91-89,,
1:57.0,,,91-89,,Memphis full timeout
1:57.0,D. Saric misses free throw 1 of 1,,91-89,,
1:57.0,,,91-89,,Z. Randolph enters the game for T. Williams
1:57.0,T. McConnell enters the game for S. Rodriguez,,91-89,,
1:55.0,,,91-89,,Defensive rebound by Z. Randolph
1:41.0,Personal foul by R. Holmes (drawn by M. Gasol),,91-89,,
1:26.0,,,91-89,,T. Allen misses 2-pt shot from 4 ft
1:25.0,,,91-89,,Offensive rebound by Z. Randolph
1:25.0,,,91-91,2,Z. Randolph makes 2-pt shot from 2 ft
1:06.0,Turnover by T. McConnell (bad pass),,91-91,,
0:53.0,,,91-91,,Shooting foul by R. Holmes (drawn by M. Gasol)
0:53.0,,,91-92,1,M. Gasol makes free throw 1 of 2
0:53.0,,,91-93,1,M. Gasol makes free throw 2 of 2
0:53.0,Philadelphia full timeout,,91-93,,
0:53.0,S. Rodriguez enters the game for T. McConnell,,91-93,,
0:39.0,Turnover by S. Rodriguez (bad pass; steal by M. Gasol),,91-93,,
0:33.0,Personal foul by N. Stauskas (drawn by T. Allen),,91-93,,
0:33.0,,,91-94,1,T. Allen makes free throw 1 of 2
0:33.0,,,91-94,,T. Allen misses free throw 2 of 2
0:32.0,Defensive rebound by D. Saric,,91-94,,
0:32.0,Philadelphia full timeout,,91-94,,
0:13.0,D. Saric misses 3-pt shot from 26 ft,,91-94,,
0:11.0,Offensive rebound by E. Ilyasova,,91-94,,
0:11.0,E. Ilyasova misses 2-pt shot from 1 ft,,91-94,,
0:09.0,Offensive rebound by E. Ilyasova,,91-94,,
0:09.0,E. Ilyasova misses 2-pt shot from 1 ft,,91-94,,
0:09.0,Offensive rebound by R. Holmes,,91-94,,
0:09.0,R. Holmes misses 2-pt shot from 1 ft,,91-94,,
0:09.0,,,91-94,,Defensive rebound by Z. Randolph
0:09.0,Personal foul by E. Ilyasova (drawn by Z. Randolph),,91-94,,
0:09.0,,,91-94,,Z. Randolph misses free throw 1 of 2
0:09.0,,,91-94,,Offensive rebound by Team
0:09.0,,,91-94,,Z. Randolph misses free throw 2 of 2
0:09.0,Defensive rebound by D. Saric,,91-94,,
0:09.0,Philadelphia full timeout,,91-94,,
0:04.0,N. Stauskas misses 3-pt shot from 24 ft,,91-94,,
0:04.0,,,91-94,,Defensive rebound by J. Green
0:04.0,Personal take foul by E. Ilyasova (drawn by J. Green),,91-94,,
0:04.0,,,91-95,1,J. Green makes free throw 1 of 2
0:04.0,,,91-96,1,J. Green makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
