time,Washington,pts.away,score,pts.home,Cleveland
0:57.0,,,125-115,1,D. Williams makes free throw 2 of 2
0:57.0,B. Jennings enters the game for O. Porter,,125-114,,
0:57.0,T. Satoransky enters the game for M. Morris,,125-114,,
0:57.0,D. Ochefu enters the game for B. Beal,,125-114,,
0:57.0,S. Mac enters the game for J. Wall,,125-114,,
0:46.0,B. Jennings misses 3-pt shot from 26 ft,,125-115,,
0:45.0,,,125-115,,Defensive rebound by D. Liggins
0:33.0,,,125-115,,Turnover by D. Williams (bad pass; steal by B. Jennings)
0:29.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Jennings),2,127-115,,
0:12.0,,,127-115,,Turnover by J. Jones (bad pass; steal by T. Satoransky)
0:00.0,End of 4th quarter,,,,End of 4th quarter
