time,Orlando,pts.away,score,pts.home,Cleveland
3:03.0,,,98-118,1,D. Williams makes free throw 1 of 1
2:45.0,D. Rudez misses 3-pt shot from 24 ft,,98-118,,
2:44.0,,,98-118,,Defensive rebound by D. Williams
2:24.0,,,98-118,,Shooting foul by C. Watson (drawn by D. Williams)
2:24.0,,,98-119,1,D. Williams makes free throw 1 of 2
2:24.0,,,98-120,1,D. Williams makes free throw 2 of 2
2:12.0,,,98-120,,Personal foul by D. Liggins (drawn by M. Hezonja)
2:12.0,M. Hezonja makes free throw 1 of 2,1,99-120,,
2:12.0,M. Hezonja makes free throw 2 of 2,1,100-120,,
1:59.0,,,100-122,2,R. Jefferson makes 2-pt shot from 21 ft (assist by D. Williams)
1:37.0,M. Hezonja misses 2-pt shot from 21 ft,,100-122,,
1:36.0,Offensive rebound by P. Garino,,100-122,,
1:31.0,M. Georges-Hunt misses 3-pt shot from 26 ft,,100-122,,
1:30.0,,,100-122,,Defensive rebound by D. Liggins
1:12.0,,,100-122,,D. Liggins misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by M. Georges-Hunt,,100-122,,
0:55.0,P. Garino misses 2-pt shot from 20 ft,,100-122,,
0:54.0,,,100-122,,Defensive rebound by R. Jefferson
0:27.0,,,100-122,,R. Jefferson misses 2-pt shot from 22 ft
0:27.0,Defensive rebound by M. Hezonja,,100-122,,
0:18.0,M. Hezonja makes 2-pt shot from 2 ft,2,102-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
