time,Golden State,pts.away,score,pts.home,Miami
4:58.0,,,86-96,1,D. Waiters makes free throw 1 of 1
4:49.0,Shooting foul by H. Whiteside (drawn by K. Durant),,86-96,,
4:49.0,K. Durant makes free throw 1 of 2,1,87-96,,
4:49.0,K. Durant makes free throw 2 of 2,1,88-96,,
4:34.0,,,88-96,,J. Johnson misses 2-pt shot from 2 ft (block by S. Curry)
4:33.0,Defensive rebound by K. Durant,,88-96,,
4:22.0,Turnover by S. Curry (bad pass; steal by W. Ellington),,88-96,,
4:03.0,,,88-98,2,D. Waiters makes 2-pt shot from 18 ft
3:52.0,S. Curry misses 3-pt shot from 26 ft,,88-98,,
3:51.0,,,88-98,,Defensive rebound by D. Waiters
3:33.0,Violation by D. Green (kicked ball),,88-98,,
3:19.0,,,88-98,,Turnover by Team (shot clock)
3:13.0,Shooting foul by H. Whiteside (drawn by S. Curry),,88-98,,
3:13.0,S. Curry makes free throw 1 of 2,1,89-98,,
3:13.0,S. Curry makes free throw 2 of 2,1,90-98,,
3:10.0,Personal take foul by K. Durant (drawn by H. Whiteside),,90-98,,
3:10.0,,,90-98,,H. Whiteside misses free throw 1 of 2
3:10.0,,,90-98,,Offensive rebound by Team
3:10.0,,,90-98,,H. Whiteside misses free throw 2 of 2
3:09.0,Defensive rebound by S. Livingston,,90-98,,
3:03.0,D. Green misses 2-pt shot from 2 ft (block by J. Johnson),,90-98,,
3:02.0,Offensive rebound by S. Livingston,,90-98,,
3:01.0,,,90-98,,O. White enters the game for H. Whiteside
2:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,93-98,,
2:35.0,,,93-98,,W. Ellington misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by S. Livingston,,93-98,,
2:26.0,Offensive charge foul by K. Thompson,,93-98,,
2:26.0,Turnover by K. Thompson (offensive foul),,93-98,,
2:26.0,Golden State full timeout,,93-98,,
2:09.0,,,93-98,,D. Waiters misses 2-pt shot from 15 ft
2:08.0,Defensive rebound by K. Thompson,,93-98,,
1:54.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,96-98,,
1:47.0,,,96-98,,Miami full timeout
1:47.0,,,96-98,,H. Whiteside enters the game for O. White
1:31.0,,,96-101,3,D. Waiters makes 3-pt shot from 24 ft
1:19.0,K. Durant misses 3-pt shot from 24 ft,,96-101,,
1:18.0,Offensive rebound by D. Green,,96-101,,
1:17.0,Turnover by S. Livingston (bad pass),,96-101,,
0:57.0,,,96-101,,D. Waiters misses 2-pt shot from 6 ft
0:56.0,Defensive rebound by S. Livingston,,96-101,,
0:50.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,98-101,,
0:26.0,,,98-101,,D. Waiters misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by S. Curry,,98-101,,
0:21.0,S. Livingston makes 2-pt shot from 1 ft (assist by S. Curry),2,100-101,,
0:21.0,,,100-101,,Miami full timeout
0:21.0,,,100-101,,O. White enters the game for H. Whiteside
0:19.0,,,100-101,,Miami full timeout
0:19.0,Violation by K. Durant (kicked ball),,100-101,,
0:18.0,Personal foul by D. Green (drawn by G. Dragic),,100-101,,
0:18.0,,,100-101,,G. Dragic misses free throw 1 of 2
0:18.0,,,100-101,,Offensive rebound by Team
0:18.0,,,100-102,1,G. Dragic makes free throw 2 of 2
0:18.0,Golden State full timeout,,100-102,,
0:18.0,Z. Pachulia enters the game for K. Thompson,,100-101,,
0:18.0,K. Thompson enters the game for Z. Pachulia,,100-102,,
0:12.0,K. Durant makes 2-pt shot at rim,2,102-102,,
0:01.0,,,102-105,3,D. Waiters makes 3-pt shot from 25 ft
0:01.0,Golden State full timeout,,102-105,,
0:01.0,,,102-105,,H. Whiteside enters the game for W. Ellington
0:00.0,S. Curry misses 2-pt shot from 22 ft,,102-105,,
0:00.0,Offensive rebound by Team,,102-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
