time,LA Lakers,pts.away,score,pts.home,Portland
2:56.0,,,94-97,,Defensive rebound by M. Plumlee
2:56.0,Personal foul by J. Randle (drawn by M. Plumlee),,94-97,,
2:56.0,L. Williams enters the game for J. Randle,,94-97,,
2:40.0,,,94-99,2,C. McCollum makes 2-pt shot from 1 ft
2:27.0,L. Nance misses 2-pt shot from 16 ft,,94-99,,
2:27.0,,,94-99,,Defensive rebound by M. Plumlee
2:08.0,,,94-99,,M. Plumlee misses 2-pt shot from 2 ft
2:08.0,,,94-99,,Offensive rebound by M. Plumlee
2:06.0,,,94-99,,M. Plumlee misses 2-pt shot at rim (block by L. Nance)
2:04.0,Defensive rebound by L. Williams,,94-99,,
2:00.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,96-99,,
1:55.0,,,96-101,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
1:55.0,LA Lakers full timeout,,96-101,,
1:55.0,I. Zubac enters the game for L. Nance,,96-101,,
1:43.0,L. Williams misses 2-pt shot from 7 ft,,96-101,,
1:42.0,,,96-101,,Defensive rebound by A. Aminu
1:27.0,,,96-101,,D. Lillard misses 2-pt shot from 3 ft
1:26.0,,,96-101,,Offensive rebound by M. Plumlee
1:26.0,,,96-101,,M. Plumlee misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by I. Zubac,,96-101,,
1:18.0,L. Williams misses 3-pt shot from 25 ft,,96-101,,
1:17.0,,,96-101,,Defensive rebound by M. Plumlee
1:01.0,Personal foul by L. Williams,,96-101,,
0:49.0,,,96-103,2,D. Lillard makes 2-pt shot from 12 ft
0:41.0,J. Clarkson makes 2-pt shot from 2 ft,2,98-103,,
0:27.0,,,98-105,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
0:14.0,L. Deng misses 2-pt shot from 20 ft,,98-105,,
0:13.0,,,98-105,,Defensive rebound by M. Plumlee
0:00.0,End of 4th quarter,,,,End of 4th quarter
