time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,99-79,,S. Dekker misses 2-pt shot from 7 ft
11:48.0,Defensive rebound by K. Looney,,99-79,,
11:26.0,D. Green misses 2-pt shot from 10 ft,,99-79,,
11:26.0,Offensive rebound by Team,,99-79,,
11:26.0,Turnover by Team (shot clock),,99-79,,
11:12.0,,,99-81,2,E. Gordon makes 2-pt shot from 3 ft (assist by P. Beverley)
10:54.0,Turnover by S. Livingston (bad pass; steal by C. Brewer),,99-81,,
10:29.0,,,99-81,,P. Beverley misses 2-pt shot from 12 ft
10:27.0,,,99-81,,Offensive rebound by S. Dekker
10:25.0,,,99-81,,S. Dekker misses 2-pt shot from 3 ft
10:23.0,,,99-81,,Offensive rebound by S. Dekker
10:20.0,,,99-84,3,P. Beverley makes 3-pt shot from 27 ft (assist by S. Dekker)
9:59.0,D. Green misses 3-pt shot from 27 ft,,99-84,,
9:58.0,,,99-84,,Defensive rebound by P. Beverley
9:43.0,Personal foul by S. Livingston (drawn by E. Gordon),,99-84,,
9:36.0,,,99-84,,C. Brewer misses 2-pt shot from 7 ft
9:34.0,Defensive rebound by D. Green,,99-84,,
9:29.0,Turnover by D. Green (lost ball; steal by M. Harrell),,99-84,,
9:23.0,,,99-84,,C. Brewer misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by Team,,99-84,,
9:07.0,S. Livingston misses 2-pt shot from 18 ft,,99-84,,
9:07.0,Offensive rebound by K. Looney,,99-84,,
9:07.0,K. Looney makes 2-pt shot from 3 ft,2,101-84,,
9:07.0,Shooting foul by E. Gordon (drawn by K. Looney),,101-84,,
9:07.0,K. Looney makes free throw 1 of 1,1,102-84,,
8:56.0,,,102-86,2,P. Beverley makes 2-pt shot from 3 ft
8:49.0,Golden State full timeout,,102-86,,
8:49.0,K. Durant enters the game for K. Looney,,102-86,,
8:34.0,K. Thompson misses 3-pt shot from 26 ft,,102-86,,
8:32.0,Offensive rebound by D. Green,,102-86,,
8:29.0,D. Green misses 2-pt shot from 4 ft,,102-86,,
8:28.0,Offensive rebound by D. Green,,102-86,,
8:27.0,D. Green makes 2-pt shot from 1 ft,2,104-86,,
8:13.0,,,104-86,,Shooting foul by D. Green (drawn by P. Beverley)
8:13.0,,,104-86,,P. Beverley misses free throw 1 of 2
8:13.0,,,104-86,,Offensive rebound by Team
8:13.0,,,104-86,,P. Beverley misses free throw 2 of 2
8:13.0,Defensive rebound by D. Green,,104-86,,
8:03.0,Offensive charge foul by K. Thompson,,104-86,,
8:03.0,Turnover by K. Thompson (offensive foul),,104-86,,
7:53.0,,,104-86,,E. Gordon misses 2-pt shot from 10 ft
7:51.0,,,104-86,,Offensive rebound by M. Harrell
7:45.0,,,104-86,,E. Gordon misses 3-pt shot from 24 ft (block by K. Durant)
7:42.0,,,104-86,,Offensive rebound by E. Gordon
7:37.0,,,104-88,2,C. Brewer makes 2-pt shot from 2 ft (assist by E. Gordon)
7:21.0,,,104-88,,Personal foul by P. Beverley (drawn by A. Iguodala)
7:21.0,Z. Pachulia enters the game for K. Thompson,,104-88,,
