time,Detroit,pts.away,score,pts.home,Houston
5:30.0,I. Smith enters the game for B. Udrih,,93-97,,
5:24.0,H. Ellenson misses 3-pt shot from 24 ft,,93-97,,
5:22.0,Offensive rebound by B. Marjanovic,,93-97,,
5:22.0,B. Marjanovic makes 2-pt shot from 1 ft,2,95-97,,
5:22.0,Shooting foul by T. Williams (drawn by B. Marjanovic),,95-97,,
5:22.0,B. Marjanovic makes free throw 1 of 1,1,96-97,,
4:57.0,,,96-97,,J. Harden misses 3-pt shot from 27 ft
4:57.0,,,96-97,,Offensive rebound by Team
4:57.0,,,96-97,,Turnover by Team (shot clock)
4:44.0,B. Marjanovic misses 2-pt shot from 7 ft,,96-97,,
4:43.0,,,96-97,,Defensive rebound by J. Harden
4:31.0,,,96-97,,Turnover by E. Gordon (bad pass)
4:12.0,B. Marjanovic misses 2-pt shot from 10 ft,,96-97,,
4:10.0,,,96-97,,Defensive rebound by M. Harrell
4:03.0,,,96-97,,Shooting foul by S. Johnson (drawn by J. Harden)
4:03.0,,,96-98,1,J. Harden makes free throw 1 of 3
4:03.0,,,96-98,,J. Harden misses free throw 2 of 3
4:03.0,,,96-98,,Offensive rebound by Team
4:03.0,,,96-99,1,J. Harden makes free throw 3 of 3
3:49.0,,,96-99,,Personal foul by M. Harrell (drawn by B. Marjanovic)
3:36.0,S. Johnson makes 3-pt shot from 26 ft,3,99-99,,
3:30.0,,,99-99,,Turnover by J. Harden (bad pass; steal by R. Bullock)
3:12.0,S. Johnson misses 3-pt shot from 26 ft,,99-99,,
3:11.0,,,99-99,,Defensive rebound by J. Harden
3:05.0,,,99-102,3,J. Harden makes 3-pt shot from 26 ft
2:47.0,H. Ellenson makes 2-pt shot from 2 ft,2,101-102,,
2:26.0,,,101-105,3,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza)
2:10.0,H. Ellenson misses 3-pt shot from 25 ft,,101-105,,
2:09.0,,,101-105,,Defensive rebound by E. Gordon
2:01.0,,,101-105,,J. Harden misses 3-pt shot from 31 ft
2:01.0,Defensive rebound by H. Ellenson,,101-105,,
1:51.0,Shooting foul by J. Harden (drawn by H. Ellenson),,101-105,,
1:51.0,,,101-105,,Houston full timeout
1:51.0,H. Ellenson makes free throw 1 of 2,1,102-105,,
1:51.0,H. Ellenson makes free throw 2 of 2,1,103-105,,
1:51.0,,,101-105,,P. Beverley enters the game for T. Williams
1:34.0,,,103-105,,T. Ariza misses 2-pt shot at rim (block by H. Ellenson)
1:33.0,Defensive rebound by H. Ellenson,,103-105,,
1:28.0,I. Smith misses 2-pt shot from 2 ft,,103-105,,
1:28.0,Offensive rebound by B. Marjanovic,,103-105,,
1:28.0,B. Marjanovic makes 2-pt shot at rim,2,105-105,,
1:13.0,,,105-107,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
1:02.0,I. Smith makes 2-pt shot from 19 ft,2,107-107,,
0:46.0,,,107-107,,J. Harden misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by B. Marjanovic,,107-107,,
0:32.0,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith),3,110-107,,
0:21.0,,,110-107,,J. Harden misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by H. Ellenson,,110-107,,
0:16.0,,,110-107,,Personal take foul by J. Harden (drawn by S. Johnson)
0:16.0,S. Johnson makes free throw 1 of 2,1,111-107,,
0:16.0,S. Johnson makes free throw 2 of 2,1,112-107,,
0:16.0,,,112-107,,Houston full timeout
0:16.0,T. Harris enters the game for H. Ellenson,,112-107,,
0:16.0,M. Morris enters the game for B. Marjanovic,,112-107,,
0:11.0,,,112-109,2,M. Harrell makes 2-pt shot at rim
0:08.0,Detroit full timeout,,112-109,,
0:08.0,Detroit full timeout,,112-109,,
0:08.0,,,112-109,,Personal take foul by J. Harden (drawn by T. Harris)
0:08.0,T. Harris makes free throw 1 of 2,1,113-109,,
0:08.0,T. Harris makes free throw 2 of 2,1,114-109,,
0:08.0,,,114-109,,Houston full timeout
0:08.0,B. Udrih enters the game for I. Smith,,112-109,,
0:08.0,H. Ellenson enters the game for R. Bullock,,112-109,,
0:08.0,R. Bullock enters the game for H. Ellenson,,113-109,,
0:08.0,I. Smith enters the game for B. Udrih,,113-109,,
0:04.0,,,114-109,,J. Harden misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by T. Harris,,114-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
