time,Charlotte,pts.away,score,pts.home,Portland
4:14.0,Shooting block foul by B. Roberts (drawn by D. Lillard),,83-105,,
4:14.0,,,83-106,1,D. Lillard makes free throw 1 of 2
4:14.0,,,83-107,1,D. Lillard makes free throw 2 of 2
4:14.0,,,83-106,,P. Connaughton enters the game for A. Aminu
4:14.0,,,83-106,,N. Vonleh enters the game for A. Crabbe
4:00.0,S. Hawes makes 2-pt shot from 15 ft,2,85-107,,
3:44.0,,,85-107,,M. Harkless misses 2-pt shot from 2 ft (block by C. Wood)
3:43.0,Defensive rebound by J. Lamb,,85-107,,
3:42.0,,,85-107,,Personal foul by M. Harkless (drawn by J. Lamb)
3:42.0,,,85-107,,S. Napier enters the game for D. Lillard
3:26.0,T. Graham misses 2-pt shot from 2 ft,,85-107,,
3:26.0,,,85-107,,Defensive rebound by M. Harkless
3:08.0,,,85-107,,S. Napier misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by C. Wood,,85-107,,
3:01.0,,,85-107,,Personal foul by S. Napier (drawn by B. Roberts)
3:01.0,B. Roberts makes free throw 1 of 2,1,86-107,,
3:01.0,B. Roberts makes free throw 2 of 2,1,87-107,,
2:40.0,,,87-107,,M. Leonard misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by B. Roberts,,87-107,,
2:31.0,J. Lamb misses 2-pt shot from 13 ft,,87-107,,
2:30.0,,,87-107,,Defensive rebound by M. Leonard
2:15.0,,,87-110,3,M. Leonard makes 3-pt shot from 24 ft (assist by M. Harkless)
1:57.0,S. Hawes makes 2-pt shot from 2 ft (assist by C. Wood),2,89-110,,
1:32.0,,,89-110,,M. Harkless misses 3-pt shot from 27 ft
1:32.0,Defensive rebound by C. Wood,,89-110,,
1:18.0,J. Lamb makes 3-pt shot from 24 ft (assist by B. Roberts),3,92-110,,
1:03.0,,,92-112,2,P. Connaughton makes 2-pt shot from 2 ft (assist by M. Leonard)
0:49.0,B. Roberts makes 3-pt shot from 24 ft,3,95-112,,
0:33.0,,,95-115,3,P. Connaughton makes 3-pt shot from 23 ft (assist by M. Leonard)
0:12.0,B. Roberts makes 3-pt shot from 23 ft (assist by S. Hawes),3,98-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
