time,Brooklyn,pts.away,score,pts.home,LA Clippers
4:48.0,C. McCullough misses 3-pt shot from 23 ft,,84-115,,
4:47.0,,,84-115,,Defensive rebound by A. Rivers
4:35.0,,,84-115,,D. Stone misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by A. Bennett,,84-115,,
4:29.0,C. McCullough misses 2-pt shot from 2 ft (block by D. Stone),,84-115,,
4:29.0,Offensive rebound by Team,,84-115,,
4:14.0,Y. Ferrell misses 2-pt shot from 6 ft,,84-115,,
4:13.0,,,84-115,,Defensive rebound by B. Bass
4:03.0,,,84-115,,D. Stone misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by A. Bennett,,84-115,,
3:53.0,R. Foye misses 2-pt shot from 12 ft,,84-115,,
3:52.0,,,84-115,,Defensive rebound by A. Rivers
3:46.0,,,84-118,3,R. Felton makes 3-pt shot from 23 ft (assist by J. Crawford)
3:21.0,C. McCullough makes 2-pt shot from 2 ft,2,86-118,,
3:07.0,,,86-118,,D. Stone misses 2-pt shot from 1 ft (block by C. McCullough)
3:07.0,,,86-118,,M. Speights enters the game for J. Crawford
3:07.0,Jump ball: C. McCullough vs. D. Stone (Y. Ferrell gains possession),,,,Jump ball: C. McCullough vs. D. Stone (Y. Ferrell gains possession)
3:07.0,Offensive rebound by C. McCullough,,86-118,,
2:56.0,Y. Ferrell makes 3-pt shot from 25 ft,3,89-118,,
2:39.0,,,89-120,2,D. Stone makes 2-pt shot from 2 ft (assist by M. Speights)
2:31.0,Shooting foul by A. Rivers (drawn by R. Foye),,89-120,,
2:31.0,,,89-120,,LA Clippers full timeout
2:31.0,R. Foye makes free throw 1 of 2,1,90-120,,
2:31.0,R. Foye misses free throw 2 of 2,,90-120,,
2:30.0,,,90-120,,Defensive rebound by M. Speights
2:11.0,,,90-120,,Turnover by A. Rivers (bad pass)
1:55.0,C. McCullough makes 2-pt shot at rim (assist by A. Bennett),2,92-120,,
1:33.0,,,92-122,2,D. Stone makes 2-pt shot from 17 ft (assist by A. Rivers)
1:23.0,A. Bennett misses 3-pt shot from 25 ft,,92-122,,
1:20.0,Offensive rebound by C. McCullough,,92-122,,
1:18.0,Shooting foul by D. Stone (drawn by Y. Ferrell),,92-122,,
1:18.0,Y. Ferrell misses free throw 1 of 2,,92-122,,
1:18.0,Offensive rebound by Team,,92-122,,
1:18.0,Y. Ferrell misses free throw 2 of 2,,92-122,,
1:14.0,,,92-122,,Defensive rebound by M. Speights
1:03.0,,,92-122,,Shooting foul by C. McCullough (drawn by D. Stone)
1:03.0,,,92-122,,Technical foul by D. Stone
1:03.0,R. Foye makes technical free throw,1,93-122,,
1:03.0,,,93-123,1,D. Stone makes free throw 1 of 2
1:03.0,,,93-124,1,D. Stone makes free throw 2 of 2
0:50.0,C. McCullough makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,95-124,,
0:38.0,,,95-127,3,M. Speights makes 3-pt shot from 24 ft (assist by A. Rivers)
0:25.0,Turnover by Y. Ferrell (lost ball; steal by A. Rivers),,95-127,,
0:01.0,,,95-127,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
