time,Portland,pts.away,score,pts.home,New York
4:48.0,,,97-96,,Offensive rebound by C. Lee
4:48.0,,,97-98,2,C. Lee makes 2-pt shot from 1 ft
4:32.0,D. Lillard makes 2-pt shot from 1 ft,2,99-98,,
4:12.0,,,99-98,,C. Anthony misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by E. Davis,,99-98,,
3:58.0,M. Harkless makes 2-pt shot from 16 ft,2,101-98,,
3:40.0,,,101-100,2,D. Rose makes 2-pt shot from 8 ft
3:30.0,M. Harkless misses 2-pt shot from 5 ft,,101-100,,
3:28.0,,,101-100,,Defensive rebound by C. Anthony
3:15.0,,,101-102,2,D. Rose makes 2-pt shot from 1 ft
2:58.0,D. Lillard misses 3-pt shot from 25 ft,,101-102,,
2:57.0,,,101-102,,Defensive rebound by C. Lee
2:36.0,,,101-105,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by D. Rose)
2:15.0,C. McCollum misses 2-pt shot from 20 ft,,101-105,,
2:15.0,,,101-105,,Defensive rebound by C. Anthony
1:54.0,,,101-105,,D. Rose misses 2-pt shot from 15 ft (block by E. Davis)
1:53.0,Defensive rebound by E. Davis,,101-105,,
1:44.0,D. Lillard misses 2-pt shot from 2 ft,,101-105,,
1:43.0,Offensive rebound by E. Davis,,101-105,,
1:42.0,,,101-105,,Personal foul by K. Porzingis (drawn by E. Davis)
1:42.0,Official timeout,,101-105,,
1:29.0,D. Lillard misses 2-pt shot from 1 ft,,101-105,,
1:28.0,Offensive rebound by Team,,101-105,,
1:22.0,Shooting foul by M. Kuzminskas (drawn by D. Lillard),,101-105,,
1:22.0,D. Lillard makes free throw 1 of 2,1,102-105,,
1:22.0,D. Lillard makes free throw 2 of 2,1,103-105,,
1:04.0,,,103-105,,C. Anthony misses 2-pt shot from 10 ft (block by M. Harkless)
1:02.0,Defensive rebound by M. Harkless,,103-105,,
0:53.0,Turnover by D. Lillard (bad pass),,103-105,,
0:33.0,,,103-105,,D. Rose misses 2-pt shot from 8 ft
0:32.0,,,103-105,,Offensive rebound by C. Anthony
0:26.0,,,103-105,,New York full timeout
0:07.0,,,103-107,2,D. Rose makes 2-pt shot from 15 ft
0:07.0,Portland full timeout,,103-107,,
0:07.0,,,103-107,,J. Holiday enters the game for K. Porzingis
0:07.0,M. Leonard enters the game for E. Davis,,103-107,,
0:07.0,A. Crabbe enters the game for E. Turner,,103-107,,
0:02.0,M. Leonard misses 3-pt shot from 24 ft,,103-107,,
0:01.0,,,103-107,,Defensive rebound by M. Kuzminskas
0:00.0,Personal take foul by C. McCollum (drawn by M. Kuzminskas),,103-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
