time,Indiana,pts.away,score,pts.home,Houston
2:23.0,M. Ellis misses 3-pt shot from 25 ft,,77-78,,
2:22.0,,,77-78,,Defensive rebound by N. Hilario
2:13.0,,,77-78,,E. Gordon misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by R. Stuckey,,77-78,,
2:06.0,M. Ellis makes 2-pt shot from 2 ft,2,79-78,,
1:41.0,,,79-78,,S. Dekker misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by Team,,79-78,,
1:41.0,,,79-78,,Personal foul by N. Hilario (drawn by M. Ellis)
1:27.0,J. Teague makes 2-pt shot from 1 ft,2,81-78,,
1:13.0,,,81-78,,E. Gordon misses 2-pt shot from 3 ft
1:13.0,Defensive rebound by Team,,81-78,,
1:00.0,R. Christmas makes 2-pt shot from 1 ft (assist by M. Ellis),2,83-78,,
0:44.0,,,83-78,,S. Dekker misses 2-pt shot from 21 ft
0:43.0,Defensive rebound by R. Stuckey,,83-78,,
0:27.0,R. Stuckey makes 3-pt shot from 24 ft (assist by L. Allen),3,86-78,,
0:07.0,,,86-80,2,J. Harden makes 2-pt shot from 2 ft
0:01.0,Shooting foul by S. Dekker (drawn by R. Stuckey),,86-80,,
0:01.0,R. Stuckey makes free throw 1 of 2,1,87-80,,
0:01.0,R. Stuckey makes free throw 2 of 2,1,88-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,88-80,,Shooting foul by R. Stuckey
11:45.0,,,88-81,1,L. Williams makes free throw 1 of 2
11:45.0,,,88-82,1,L. Williams makes free throw 2 of 2
11:33.0,R. Christmas misses 2-pt shot from 3 ft (block by C. Capela),,88-82,,
11:33.0,,,88-82,,Defensive rebound by Team
11:20.0,,,88-82,,P. Beverley misses 2-pt shot from 10 ft
11:19.0,,,88-82,,Offensive rebound by C. Capela
11:16.0,,,88-82,,C. Capela misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by R. Stuckey,,88-82,,
11:16.0,Offensive charge foul by M. Ellis,,88-82,,
11:16.0,Turnover by M. Ellis (offensive foul),,88-82,,
11:07.0,,,88-82,,Turnover by E. Gordon (bad pass; steal by G. Robinson)
11:02.0,R. Stuckey makes 2-pt shot from 12 ft,2,90-82,,
11:02.0,Shooting foul by L. Williams (drawn by R. Stuckey),,90-82,,
11:02.0,R. Stuckey makes free throw 1 of 1,1,91-82,,
10:48.0,,,91-82,,Shooting foul by G. Robinson (drawn by E. Gordon)
10:48.0,,,91-82,,E. Gordon misses free throw 1 of 2
10:48.0,,,91-82,,Offensive rebound by Team
10:48.0,,,91-83,1,E. Gordon makes free throw 2 of 2
10:33.0,Turnover by M. Ellis (bad pass; steal by L. Williams),,91-83,,
10:20.0,,,91-83,,Turnover by C. Capela (offensive goaltending)
10:00.0,R. Stuckey makes 3-pt shot from 25 ft (assist by G. Robinson),3,94-83,,
9:37.0,,,94-83,,C. Capela misses 2-pt shot from 9 ft
9:36.0,,,94-83,,Offensive rebound by E. Gordon
9:35.0,,,94-83,,E. Gordon misses 2-pt shot at rim
9:34.0,Defensive rebound by R. Stuckey,,94-83,,
