time,Milwaukee,pts.away,score,pts.home,New Orleans
7:49.0,,,97-93,,T. Frazier enters the game for L. Galloway
7:43.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Brogdon),3,100-93,,
7:16.0,,,100-93,,D. Cunningham misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by M. Brogdon,,100-93,,
6:59.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,102-93,,
6:50.0,,,102-93,,New Orleans full timeout
6:50.0,,,102-93,,B. Hield enters the game for D. Cunningham
6:35.0,,,102-95,2,T. Frazier makes 2-pt shot from 16 ft
6:18.0,,,102-95,,Personal foul by T. Frazier (drawn by J. Henson)
6:04.0,M. Brogdon makes 3-pt shot from 26 ft (assist by M. Teletovic),3,105-95,,
5:54.0,,,105-95,,Shooting foul by J. Henson (drawn by A. Davis)
5:54.0,,,105-96,1,A. Davis makes free throw 1 of 2
5:54.0,,,105-97,1,A. Davis makes free throw 2 of 2
5:54.0,J. Parker enters the game for M. Teletovic,,105-96,,
5:39.0,T. Snell misses 3-pt shot from 23 ft,,105-97,,
5:38.0,Offensive rebound by Team,,105-97,,
5:38.0,,,105-97,,Loose ball foul by T. Frazier (drawn by G. Antetokounmpo)
5:38.0,G. Antetokounmpo misses free throw 1 of 2,,105-97,,
5:38.0,Offensive rebound by Team,,105-97,,
5:38.0,G. Antetokounmpo makes free throw 2 of 2,1,106-97,,
5:38.0,,,105-97,,D. Cunningham enters the game for B. Hield
5:30.0,,,106-99,2,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier)
5:10.0,Turnover by M. Brogdon (bad pass; steal by S. Hill),,106-99,,
5:05.0,,,106-99,,Shooting foul by G. Antetokounmpo (drawn by S. Hill)
5:05.0,,,106-99,,S. Hill misses free throw 1 of 2
5:05.0,,,106-99,,Offensive rebound by Team
5:05.0,,,106-99,,S. Hill misses free throw 2 of 2
5:05.0,M. Dellavedova enters the game for G. Antetokounmpo,,106-99,,
5:03.0,Defensive rebound by J. Henson,,106-99,,
4:54.0,T. Snell misses 3-pt shot from 23 ft (block by A. Davis),,106-99,,
4:48.0,,,106-99,,Defensive rebound by D. Cunningham
4:43.0,,,106-102,3,E. Moore makes 3-pt shot from 25 ft (assist by T. Frazier)
4:41.0,Milwaukee full timeout,,106-102,,
4:17.0,Turnover by Team (shot clock),,106-102,,
4:09.0,,,106-104,2,T. Frazier makes 2-pt shot from 15 ft
3:55.0,M. Brogdon makes 2-pt shot from 2 ft,2,108-104,,
3:55.0,Shooting foul by E. Moore (drawn by M. Brogdon),,108-104,,
3:55.0,M. Brogdon makes free throw 1 of 1,1,109-104,,
3:46.0,,,109-106,2,E. Moore makes 2-pt shot from 5 ft
3:31.0,J. Parker makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,111-106,,
3:31.0,Shooting foul by D. Cunningham (drawn by J. Parker),,111-106,,
3:31.0,J. Parker makes free throw 1 of 1,1,112-106,,
3:24.0,Personal foul by T. Snell (drawn by T. Frazier),,112-106,,
3:12.0,,,112-108,2,E. Moore makes 2-pt shot from 11 ft (assist by T. Frazier)
3:00.0,M. Dellavedova misses 2-pt shot from 7 ft,,112-108,,
2:58.0,,,112-108,,Defensive rebound by A. Davis
2:42.0,,,112-108,,Shooting foul by J. Henson (drawn by T. Frazier)
2:42.0,,,112-109,1,T. Frazier makes free throw 1 of 2
2:42.0,,,112-110,1,T. Frazier makes free throw 2 of 2
2:42.0,G. Antetokounmpo enters the game for M. Brogdon,,112-109,,
2:32.0,J. Parker misses 2-pt shot from 5 ft,,112-110,,
2:31.0,,,112-110,,Defensive rebound by A. Davis
2:17.0,,,112-110,,A. Davis misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by M. Dellavedova,,112-110,,
1:59.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,114-110,,
1:46.0,,,114-112,2,A. Davis makes 2-pt shot from 5 ft (assist by T. Frazier)
1:34.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,117-112,,
1:33.0,,,117-112,,New Orleans full timeout
1:25.0,,,117-112,,Turnover by T. Frazier (bad pass; steal by M. Dellavedova)
1:10.0,,,117-112,,Violation by T. Frazier (kicked ball)
1:00.0,M. Dellavedova misses 3-pt shot from 26 ft,,117-112,,
1:00.0,,,117-112,,Defensive rebound by A. Davis
0:50.0,Personal foul by J. Parker (drawn by S. Hill),,117-112,,
0:50.0,,,117-112,,S. Hill misses free throw 1 of 2
0:50.0,,,117-112,,Offensive rebound by Team
0:50.0,,,117-113,1,S. Hill makes free throw 2 of 2
0:29.0,J. Parker misses 3-pt shot from 25 ft,,117-113,,
0:27.0,Offensive rebound by G. Antetokounmpo,,117-113,,
0:27.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,117-113,,
0:26.0,,,117-113,,Defensive rebound by S. Hill
0:16.0,,,117-113,,D. Cunningham misses 3-pt shot from 25 ft
0:15.0,,,117-113,,Offensive rebound by S. Hill
0:12.0,,,117-113,,New Orleans full timeout
0:07.0,,,117-113,,A. Davis misses 2-pt shot from 12 ft
0:06.0,Defensive rebound by J. Henson,,117-113,,
0:03.0,Turnover by J. Henson (lost ball; steal by T. Frazier),,117-113,,
0:00.0,,,117-113,,T. Frazier misses 3-pt shot from 26 ft (block by G. Antetokounmpo)
0:00.0,Defensive rebound by G. Antetokounmpo,,117-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
