time,San Antonio,pts.away,score,pts.home,Orlando
2:26.0,Defensive rebound by D. Murray,,101-73,,
2:20.0,,,101-73,,Personal foul by D. Rudez (drawn by D. Bertans)
2:20.0,San Antonio full timeout,,101-73,,
2:20.0,D. Bertans makes free throw 1 of 2,1,102-73,,
2:20.0,D. Bertans makes free throw 2 of 2,1,103-73,,
2:04.0,,,103-75,2,M. Hezonja makes 2-pt shot from 20 ft
1:42.0,J. Simmons misses 3-pt shot from 26 ft,,103-75,,
1:41.0,Offensive rebound by J. Anthony,,103-75,,
1:19.0,Shooting foul by E. Payton (drawn by J. Simmons),,103-75,,
1:19.0,J. Simmons makes free throw 1 of 2,1,104-75,,
1:19.0,J. Simmons makes free throw 2 of 2,1,105-75,,
1:03.0,,,105-75,,M. Hezonja misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by K. Anderson,,105-75,,
0:43.0,Turnover by D. Murray (lost ball; steal by M. Hezonja),,105-75,,
0:40.0,,,105-77,2,M. Hezonja makes 2-pt shot at rim
0:19.0,J. Simmons makes 2-pt shot from 3 ft,2,107-77,,
0:14.0,,,107-77,,E. Payton misses 2-pt shot from 6 ft
0:10.0,,,107-77,,Offensive rebound by E. Payton
0:10.0,,,107-79,2,E. Payton makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
