time,Detroit,pts.away,score,pts.home,Minnesota
6:26.0,R. Jackson misses 2-pt shot from 7 ft,,61-54,,
6:25.0,Offensive rebound by A. Drummond,,61-54,,
6:25.0,A. Drummond makes 2-pt shot from 1 ft,2,63-54,,
6:05.0,,,63-56,2,R. Rubio makes 2-pt shot from 18 ft (assist by G. Dieng)
5:40.0,M. Morris misses 3-pt shot from 24 ft,,63-56,,
5:39.0,,,63-56,,Defensive rebound by Z. LaVine
5:32.0,,,63-56,,Turnover by Z. LaVine (lost ball; steal by K. Caldwell-Pope)
5:26.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,63-56,,
5:25.0,,,63-56,,Defensive rebound by Z. LaVine
5:08.0,Shooting block foul by A. Drummond (drawn by K. Towns),,63-56,,
5:08.0,,,63-57,1,K. Towns makes free throw 1 of 2
5:08.0,,,63-58,1,K. Towns makes free throw 2 of 2
5:08.0,A. Baynes enters the game for A. Drummond,,63-57,,
5:08.0,I. Smith enters the game for R. Jackson,,63-57,,
4:52.0,M. Morris misses 2-pt shot from 16 ft,,63-58,,
4:51.0,,,63-58,,Defensive rebound by G. Dieng
4:39.0,,,63-60,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
4:21.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,66-60,,
4:08.0,,,66-62,2,R. Rubio makes 2-pt shot from 1 ft
4:08.0,,,66-62,,Shooting foul by I. Smith (drawn by R. Rubio)
4:08.0,,,66-63,1,R. Rubio makes free throw 1 of 1
4:08.0,,,66-62,,S. Muhammad enters the game for Z. LaVine
3:55.0,I. Smith misses 2-pt shot from 11 ft,,66-63,,
3:54.0,,,66-63,,Defensive rebound by K. Towns
3:42.0,,,66-63,,A. Wiggins misses 2-pt shot from 18 ft
3:41.0,Defensive rebound by M. Morris,,66-63,,
3:32.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,69-63,,
3:09.0,,,69-65,2,A. Wiggins makes 2-pt shot from 6 ft (assist by R. Rubio)
2:48.0,Turnover by M. Morris (bad pass),,69-65,,
2:48.0,,,69-65,,Minnesota full timeout
2:48.0,,,69-65,,C. Aldrich enters the game for G. Dieng
2:48.0,,,69-65,,K. Dunn enters the game for R. Rubio
2:48.0,J. Leuer enters the game for M. Morris,,69-65,,
2:34.0,,,69-65,,Offensive foul by K. Towns
2:34.0,,,69-65,,Turnover by K. Towns (offensive foul)
2:21.0,I. Smith makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,72-65,,
1:58.0,,,72-65,,Turnover by K. Towns (traveling)
1:58.0,,,72-65,,A. Payne enters the game for K. Towns
1:47.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,72-65,,
1:46.0,,,72-65,,Defensive rebound by A. Wiggins
1:39.0,Shooting block foul by A. Baynes (drawn by A. Wiggins),,72-65,,
1:39.0,,,72-65,,A. Wiggins misses free throw 1 of 2
1:39.0,,,72-65,,Offensive rebound by Team
1:39.0,,,72-66,1,A. Wiggins makes free throw 2 of 2
1:22.0,J. Leuer makes 2-pt shot from 2 ft (assist by I. Smith),2,74-66,,
1:22.0,Shooting foul by C. Aldrich (drawn by J. Leuer),,74-66,,
1:22.0,J. Leuer makes free throw 1 of 1,1,75-66,,
1:05.0,,,75-66,,A. Wiggins misses 2-pt shot from 20 ft
1:04.0,Defensive rebound by J. Leuer,,75-66,,
0:59.0,J. Leuer makes 2-pt shot from 1 ft (assist by I. Smith),2,77-66,,
0:59.0,,,77-66,,Minnesota full timeout
0:42.0,,,77-66,,Turnover by A. Payne (bad pass; steal by K. Caldwell-Pope)
0:30.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,80-66,,
0:14.0,Shooting block foul by I. Smith (drawn by A. Wiggins),,80-66,,
0:14.0,,,80-67,1,A. Wiggins makes free throw 1 of 2
0:14.0,,,80-68,1,A. Wiggins makes free throw 2 of 2
0:03.0,A. Baynes makes 2-pt shot at rim (assist by I. Smith),2,82-68,,
0:00.0,,,82-68,,K. Dunn misses 3-pt shot from 27 ft
0:00.0,,,82-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Leuer makes 2-pt shot from 14 ft (assist by R. Jackson),2,84-68,,
11:25.0,,,84-68,,K. Dunn misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by J. Leuer,,84-68,,
11:17.0,M. Morris misses 3-pt shot from 25 ft,,84-68,,
11:14.0,Offensive rebound by A. Baynes,,84-68,,
11:08.0,R. Jackson makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,87-68,,
10:53.0,,,87-68,,A. Payne misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by M. Morris,,87-68,,
10:44.0,,,87-68,,Shooting block foul by Z. LaVine (drawn by K. Caldwell-Pope)
10:44.0,K. Caldwell-Pope makes free throw 1 of 2,1,88-68,,
10:44.0,K. Caldwell-Pope makes free throw 2 of 2,1,89-68,,
10:27.0,,,89-70,2,A. Payne makes 2-pt shot from 10 ft (assist by Z. LaVine)
10:19.0,Detroit full timeout,,89-70,,
10:19.0,D. Hilliard enters the game for K. Caldwell-Pope,,89-70,,
10:07.0,J. Leuer makes 2-pt shot from 16 ft (assist by D. Hilliard),2,91-70,,
9:40.0,,,91-70,,A. Payne misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by R. Jackson,,91-70,,
9:28.0,J. Leuer misses 2-pt shot from 17 ft,,91-70,,
9:26.0,,,91-70,,Defensive rebound by C. Aldrich
9:18.0,Personal foul by R. Jackson (drawn by Z. LaVine),,91-70,,
9:18.0,,,91-70,,K. Towns enters the game for A. Payne
9:03.0,,,91-70,,Z. LaVine misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by M. Morris,,91-70,,
8:49.0,M. Morris makes 3-pt shot from 26 ft (assist by J. Leuer),3,94-70,,
8:38.0,,,94-70,,Shooting foul by A. Baynes (drawn by Z. LaVine)
8:38.0,,,94-70,,Z. LaVine misses free throw 1 of 2
8:38.0,,,94-70,,Offensive rebound by Team
8:38.0,,,94-71,1,Z. LaVine makes free throw 2 of 2
8:38.0,,,94-70,,R. Rubio enters the game for K. Dunn
8:25.0,Shooting foul by R. Rubio (drawn by R. Jackson),,94-71,,
8:25.0,R. Jackson makes free throw 1 of 2,1,95-71,,
8:25.0,R. Jackson makes free throw 2 of 2,1,96-71,,
8:25.0,A. Drummond enters the game for A. Baynes,,95-71,,
8:09.0,,,96-73,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
7:53.0,R. Jackson makes 2-pt shot from 11 ft,2,98-73,,
7:42.0,,,98-73,,R. Rubio misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by A. Drummond,,98-73,,
7:32.0,D. Hilliard makes 3-pt shot from 24 ft (assist by R. Jackson),3,101-73,,
7:16.0,,,101-73,,Z. LaVine misses 2-pt shot from 2 ft
7:15.0,,,101-73,,Offensive rebound by K. Towns
7:15.0,,,101-75,2,K. Towns makes 2-pt shot from 1 ft
7:01.0,R. Jackson misses 2-pt shot from 14 ft,,101-75,,
7:00.0,Offensive rebound by A. Drummond,,101-75,,
6:59.0,A. Drummond makes 2-pt shot from 5 ft,2,103-75,,
6:46.0,,,103-78,3,B. Rush makes 3-pt shot from 24 ft (assist by C. Aldrich)
6:23.0,D. Hilliard makes 2-pt shot from 20 ft,2,105-78,,
6:04.0,,,105-78,,K. Towns misses 2-pt shot from 5 ft
6:03.0,Defensive rebound by A. Drummond,,105-78,,
5:58.0,D. Hilliard misses 3-pt shot from 26 ft,,105-78,,
5:56.0,,,105-78,,Defensive rebound by K. Towns
5:50.0,,,105-78,,Shooting foul by D. Hilliard (drawn by Z. LaVine)
5:50.0,,,105-78,,Minnesota full timeout
5:50.0,,,105-79,1,Z. LaVine makes free throw 1 of 2
5:50.0,,,105-79,,Z. LaVine misses free throw 2 of 2
5:50.0,Defensive rebound by A. Drummond,,105-79,,
5:23.0,R. Jackson misses 2-pt shot from 2 ft,,105-79,,
5:22.0,Offensive rebound by A. Drummond,,105-79,,
5:22.0,A. Drummond makes 2-pt shot at rim,2,107-79,,
5:03.0,,,107-79,,Z. LaVine misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by A. Drummond,,107-79,,
4:49.0,R. Jackson misses 3-pt shot from 25 ft,,107-79,,
4:48.0,,,107-79,,Defensive rebound by K. Towns
4:45.0,Personal foul by R. Jackson (drawn by R. Rubio),,107-79,,
4:45.0,,,107-79,,T. Jones enters the game for Z. LaVine
4:45.0,I. Smith enters the game for R. Jackson,,107-79,,
4:45.0,,,107-79,,J. Hill enters the game for C. Aldrich
4:45.0,,,107-79,,A. Payne enters the game for K. Towns
4:32.0,,,107-79,,Turnover by T. Jones (bad pass; steal by I. Smith)
4:22.0,Shooting foul by J. Hill (drawn by A. Drummond),,107-79,,
4:22.0,A. Drummond makes free throw 1 of 2,1,108-79,,
4:22.0,A. Drummond misses free throw 2 of 2,,108-79,,
4:22.0,,,108-79,,Defensive rebound by B. Rush
4:22.0,,,108-79,,K. Dunn enters the game for R. Rubio
4:02.0,,,108-79,,Shooting foul by M. Morris (drawn by A. Payne)
4:02.0,,,108-80,1,C. Aldrich makes free throw 1 of 2
4:02.0,,,108-80,,C. Aldrich misses free throw 2 of 2
4:02.0,Defensive rebound by Team,,108-80,,
4:02.0,,,108-80,,Flagrant foul type 1 by A. Payne (drawn by M. Morris)
4:02.0,J. Leuer makes flagrant free throw 1 of 2,1,109-80,,
4:02.0,J. Leuer makes flagrant free throw 2 of 2,1,110-80,,
4:02.0,,,108-79,,C. Aldrich enters the game for A. Payne
4:02.0,,,108-80,,A. Payne enters the game for C. Aldrich
4:02.0,,,108-80,,C. Aldrich enters the game for A. Payne
4:02.0,S. Johnson enters the game for M. Morris,,110-80,,
4:02.0,H. Ellenson enters the game for A. Drummond,,110-80,,
4:02.0,B. Udrih enters the game for J. Leuer,,110-80,,
4:02.0,B. Marjanovic enters the game for I. Smith,,110-80,,
3:53.0,H. Ellenson makes 3-pt shot from 25 ft (assist by B. Udrih),3,113-80,,
3:35.0,,,113-80,,C. Aldrich misses 2-pt shot from 7 ft
3:34.0,Defensive rebound by S. Johnson,,113-80,,
3:19.0,,,113-80,,Shooting block foul by K. Dunn (drawn by B. Udrih)
3:19.0,B. Udrih makes free throw 1 of 2,1,114-80,,
