time,Memphis,pts.away,score,pts.home,Sacramento
3:27.0,Z. Randolph makes free throw 1 of 2,1,83-85,,
3:27.0,Z. Randolph makes free throw 2 of 2,1,84-85,,
3:27.0,,,83-85,,A. Tolliver enters the game for K. Koufos
3:17.0,,,84-85,,Turnover by A. Tolliver (bad pass; steal by J. Green)
3:16.0,,,84-85,,Personal foul by A. Tolliver (drawn by J. Green)
3:16.0,J. Green makes free throw 1 of 2,1,85-85,,
3:16.0,J. Green makes free throw 2 of 2,1,86-85,,
3:03.0,,,86-85,,G. Temple misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by Team,,86-85,,
2:39.0,M. Conley misses 2-pt shot from 8 ft,,86-85,,
2:38.0,,,86-85,,Defensive rebound by G. Temple
2:27.0,Personal foul by A. Harrison (drawn by B. Hield),,86-85,,
2:27.0,Official timeout,,86-85,,
2:27.0,,,86-86,1,B. Hield makes free throw 1 of 2
2:27.0,,,86-87,1,B. Hield makes free throw 2 of 2
2:04.0,Z. Randolph misses 2-pt shot from 16 ft,,86-87,,
2:03.0,Offensive rebound by J. Green,,86-87,,
2:03.0,Turnover by Team (shot clock),,86-87,,
1:39.0,,,86-87,,B. Hield misses 2-pt shot from 17 ft
1:38.0,,,86-87,,Offensive rebound by D. Collison
1:38.0,,,86-89,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
1:15.0,M. Conley makes 2-pt shot from 10 ft,2,88-89,,
0:59.0,,,88-89,,D. Collison misses 2-pt shot from 17 ft
0:59.0,,,88-89,,Offensive rebound by W. Cauley-Stein
0:50.0,,,88-89,,A. Tolliver misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by Z. Randolph,,88-89,,
0:48.0,Memphis full timeout,,88-89,,
0:48.0,,,88-89,,K. Koufos enters the game for A. Tolliver
0:48.0,T. Daniels enters the game for J. Green,,88-89,,
0:33.0,T. Daniels misses 3-pt shot from 27 ft,,88-89,,
0:33.0,Offensive rebound by Team,,88-89,,
0:33.0,,,88-89,,Loose ball foul by K. Koufos (drawn by Z. Randolph)
0:33.0,Z. Randolph makes free throw 1 of 2,1,89-89,,
0:33.0,Z. Randolph makes free throw 2 of 2,1,90-89,,
0:33.0,,,90-89,,Sacramento full timeout
0:33.0,,,88-89,,A. Tolliver enters the game for K. Koufos
0:33.0,J. Green enters the game for V. Carter,,89-89,,
0:33.0,T. Allen enters the game for T. Daniels,,89-89,,
0:33.0,B. Wright enters the game for Z. Randolph,,90-89,,
0:33.0,J. Ennis enters the game for M. Conley,,90-89,,
0:32.0,,,90-89,,Turnover by G. Temple (bad pass)
0:32.0,Memphis full timeout,,90-89,,
0:32.0,Z. Randolph enters the game for J. Green,,90-89,,
0:32.0,V. Carter enters the game for T. Allen,,90-89,,
0:32.0,M. Conley enters the game for B. Wright,,90-89,,
0:32.0,T. Daniels enters the game for J. Ennis,,90-89,,
0:16.0,M. Conley misses 2-pt shot from 17 ft,,90-89,,
0:15.0,,,90-89,,Defensive rebound by D. Collison
0:06.0,Shooting block foul by A. Harrison (drawn by D. Collison),,90-89,,
0:06.0,,,90-90,1,D. Collison makes free throw 1 of 2
0:06.0,,,90-91,1,D. Collison makes free throw 2 of 2
0:01.0,Z. Randolph misses 3-pt shot from 26 ft,,90-91,,
0:00.0,Offensive rebound by Team,,90-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
