time,Golden State,pts.away,score,pts.home,LA Lakers
8:56.0,,,86-69,3,J. Clarkson makes 3-pt shot from 25 ft (assist by T. Black)
8:36.0,K. Durant misses 2-pt shot from 17 ft,,86-69,,
8:34.0,,,86-69,,Defensive rebound by L. Williams
8:29.0,,,86-69,,L. Williams misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by K. Thompson,,86-69,,
8:25.0,Golden State full timeout,,86-69,,
8:25.0,S. Curry enters the game for K. Durant,,86-69,,
8:25.0,K. Looney enters the game for A. Iguodala,,86-69,,
8:25.0,,,86-69,,T. Robinson enters the game for L. Nance
8:25.0,,,86-69,,J. Calderon enters the game for T. Black
8:07.0,K. Thompson makes 2-pt shot from 13 ft,2,88-69,,
7:50.0,,,88-69,,Shooting foul by S. Livingston
7:50.0,,,88-70,1,L. Williams makes free throw 1 of 2
7:50.0,,,88-71,1,L. Williams makes free throw 2 of 2
7:31.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,90-71,,
7:16.0,,,90-73,2,L. Williams makes 2-pt shot from 8 ft
6:58.0,S. Curry makes 3-pt shot from 25 ft (assist by D. West),3,93-73,,
6:50.0,Personal foul by D. West,,93-73,,
6:50.0,,,93-74,1,L. Williams makes free throw 1 of 2
6:50.0,,,93-74,,L. Williams misses free throw 2 of 2
6:50.0,P. McCaw enters the game for K. Thompson,,93-74,,
6:50.0,Z. Pachulia enters the game for D. West,,93-74,,
6:48.0,Defensive rebound by Team,,93-74,,
6:35.0,K. Looney makes 2-pt shot at rim (assist by S. Curry),2,95-74,,
6:18.0,,,95-74,,L. Williams misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by K. Looney,,95-74,,
6:09.0,S. Curry misses 3-pt shot from 26 ft,,95-74,,
6:07.0,,,95-74,,Defensive rebound by T. Robinson
5:57.0,,,95-76,2,T. Robinson makes 2-pt shot from 2 ft (assist by J. Calderon)
5:43.0,Turnover by Z. Pachulia (lost ball; steal by J. Clarkson),,95-76,,
5:36.0,,,95-78,2,J. Calderon makes 2-pt shot from 2 ft (assist by B. Ingram)
5:21.0,Turnover by S. Curry (bad pass; steal by L. Williams),,95-78,,
5:17.0,Violation by S. Livingston (def goaltending),,95-78,,
5:17.0,,,95-80,2,J. Calderon makes 2-pt shot from 1 ft (assist by L. Williams)
5:17.0,Violation by Team (jump ball),,95-80,,
5:17.0,Golden State full timeout,,95-80,,
