time,Sacramento,pts.away,score,pts.home,San Antonio
2:33.0,W. Cauley-Stein enters the game for K. Koufos,,98-101,,
2:21.0,,,99-104,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
1:58.0,G. Temple misses 2-pt shot from 5 ft,,99-104,,
1:57.0,,,99-104,,Defensive rebound by J. Simmons
1:39.0,,,99-104,,Turnover by M. Ginobili (lost ball; steal by G. Temple)
1:38.0,Offensive foul by T. Evans,,99-104,,
1:38.0,Turnover by T. Evans (offensive foul),,99-104,,
1:28.0,,,99-107,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
1:28.0,Sacramento full timeout,,99-107,,
1:23.0,,,99-107,,Personal foul by J. Simmons (drawn by T. Evans)
1:23.0,T. Evans misses free throw 1 of 2,,99-107,,
1:23.0,Offensive rebound by Team,,99-107,,
1:23.0,T. Evans makes free throw 2 of 2,1,100-107,,
1:23.0,,,99-107,,D. Murray enters the game for J. Simmons
1:05.0,,,100-109,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
0:55.0,T. Evans misses 2-pt shot from 5 ft,,100-109,,
0:53.0,Offensive rebound by W. Cauley-Stein,,100-109,,
0:53.0,W. Cauley-Stein makes 2-pt shot at rim,2,102-109,,
0:37.0,,,102-112,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
0:25.0,T. Lawson makes 2-pt shot from 17 ft (assist by T. Evans),2,104-112,,
0:22.0,Personal foul by G. Temple (drawn by D. Murray),,104-112,,
0:22.0,,,104-113,1,D. Murray makes free throw 1 of 2
0:22.0,,,104-114,1,D. Murray makes free throw 2 of 2
0:22.0,,,104-113,,B. Forbes enters the game for M. Ginobili
0:22.0,,,104-113,,D. Bertans enters the game for P. Mills
0:22.0,,,104-113,,J. Anthony enters the game for D. Green
0:22.0,,,104-113,,D. Dedmon enters the game for D. Lee
0:08.0,T. Lawson misses 3-pt shot from 23 ft,,104-114,,
0:07.0,,,104-114,,Defensive rebound by D. Dedmon
0:00.0,End of 4th quarter,,,,End of 4th quarter
