time,Sacramento,pts.away,score,pts.home,Cleveland
1:41.0,D. Cousins misses 2-pt shot from 7 ft,,100-103,,
1:38.0,,,100-103,,Defensive rebound by L. James
1:18.0,,,100-103,,L. James misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
1:16.0,Defensive rebound by W. Cauley-Stein,,100-103,,
1:14.0,,,100-103,,Personal foul by L. James (drawn by D. Cousins)
1:02.0,G. Temple misses 3-pt shot from 23 ft,,100-103,,
1:02.0,Offensive rebound by Team,,100-103,,
0:51.0,A. Afflalo misses 3-pt shot from 25 ft,,100-103,,
0:49.0,Offensive rebound by Team,,100-103,,
0:38.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,102-103,,
0:16.0,,,102-103,,K. Korver misses 3-pt shot from 24 ft
0:15.0,,,102-103,,Offensive rebound by K. Love
0:12.0,Personal foul by G. Temple (drawn by K. Irving),,102-103,,
0:12.0,,,102-104,1,K. Irving makes free throw 1 of 2
0:12.0,,,102-104,,K. Irving misses free throw 2 of 2
0:12.0,Defensive rebound by D. Cousins,,102-104,,
0:12.0,Sacramento full timeout,,102-104,,
0:12.0,,,102-104,,I. Shumpert enters the game for K. Korver
0:12.0,T. Lawson enters the game for W. Cauley-Stein,,102-104,,
0:12.0,,,102-104,,K. Korver enters the game for K. Love
0:03.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,104-104,,
0:03.0,,,104-104,,Cleveland full timeout
0:03.0,,,104-104,,K. Love enters the game for T. Thompson
0:03.0,,,104-104,,C. Frye enters the game for I. Shumpert
0:03.0,W. Cauley-Stein enters the game for T. Lawson,,104-104,,
0:03.0,,,104-104,,Turnover by L. James (bad pass; steal by D. Cousins)
0:01.0,D. Cousins misses 3-pt shot from 38 ft,,104-104,,
0:00.0,Offensive rebound by Team,,104-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,G. Temple misses 2-pt shot from 2 ft,,104-104,,
4:42.0,Offensive rebound by W. Cauley-Stein,,104-104,,
4:41.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,104-104,,
4:40.0,Offensive rebound by W. Cauley-Stein,,104-104,,
4:40.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,104-104,,
4:38.0,,,104-104,,Defensive rebound by T. Thompson
4:26.0,,,104-104,,K. Korver misses 2-pt shot from 21 ft
4:25.0,Defensive rebound by D. Cousins,,104-104,,
4:08.0,D. Cousins misses 3-pt shot from 25 ft,,104-104,,
4:08.0,,,104-104,,Defensive rebound by L. James
3:51.0,,,104-104,,K. Irving misses 2-pt shot from 13 ft
3:49.0,Defensive rebound by G. Temple,,104-104,,
3:39.0,Turnover by D. Collison (bad pass; steal by K. Love),,104-104,,
3:29.0,,,104-106,2,K. Irving makes 2-pt shot at rim (assist by K. Love)
3:07.0,D. Cousins misses 2-pt shot at rim,,104-106,,
3:06.0,Offensive rebound by D. Cousins,,104-106,,
3:05.0,D. Cousins makes 2-pt shot from 1 ft,2,106-106,,
2:58.0,,,106-108,2,K. Irving makes 2-pt shot from 2 ft (assist by K. Love)
2:37.0,D. Cousins misses 2-pt shot from 5 ft,,106-108,,
2:36.0,,,106-108,,Defensive rebound by K. Love
2:36.0,Personal foul by D. Collison (drawn by L. James),,106-108,,
2:30.0,,,106-111,3,K. Love makes 3-pt shot from 26 ft (assist by T. Thompson)
2:22.0,Sacramento full timeout,,106-111,,
2:22.0,M. Barnes enters the game for W. Cauley-Stein,,106-111,,
2:11.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Afflalo),2,108-111,,
1:46.0,,,108-111,,L. James misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by G. Temple,,108-111,,
1:31.0,D. Cousins misses 2-pt shot from 2 ft (block by T. Thompson),,108-111,,
1:31.0,,,108-111,,Defensive rebound by K. Love
1:31.0,Personal foul by M. Barnes (drawn by L. James),,108-111,,
1:13.0,,,108-111,,K. Irving misses 3-pt shot from 24 ft
1:12.0,,,108-111,,Offensive rebound by K. Love
1:09.0,,,108-111,,K. Love misses 2-pt shot from 2 ft (block by D. Cousins)
1:08.0,Defensive rebound by G. Temple,,108-111,,
0:57.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison),2,110-111,,
0:41.0,,,110-111,,Turnover by L. James (bad pass; steal by G. Temple)
0:35.0,D. Collison makes 2-pt shot from 1 ft (assist by M. Barnes),2,112-111,,
0:35.0,,,112-111,,Cleveland full timeout
0:35.0,,,112-111,,C. Frye enters the game for T. Thompson
0:32.0,Personal foul by D. Cousins (drawn by K. Love),,112-111,,
0:32.0,,,112-112,1,K. Love makes free throw 1 of 2
0:32.0,,,112-112,,K. Love misses free throw 2 of 2
0:32.0,K. Koufos enters the game for M. Barnes,,112-112,,
0:32.0,,,112-112,,T. Thompson enters the game for C. Frye
0:31.0,Defensive rebound by D. Cousins,,112-112,,
0:31.0,Sacramento full timeout,,112-112,,
0:31.0,,,112-112,,I. Shumpert enters the game for K. Korver
0:31.0,M. Barnes enters the game for K. Koufos,,112-112,,
0:31.0,,,112-112,,K. Korver enters the game for K. Love
0:17.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Cousins),3,115-112,,
0:17.0,,,115-112,,Cleveland full timeout
0:17.0,,,115-112,,K. Love enters the game for T. Thompson
0:17.0,,,115-112,,C. Frye enters the game for I. Shumpert
0:11.0,,,115-112,,L. James misses 3-pt shot from 34 ft
0:09.0,,,115-112,,Offensive rebound by K. Love
0:09.0,,,115-112,,K. Love misses 2-pt shot at rim
0:07.0,,,115-112,,Offensive rebound by L. James
0:07.0,,,115-112,,Turnover by K. Korver (bad pass; steal by M. Barnes)
0:07.0,,,115-112,,Personal foul by K. Korver (drawn by M. Barnes)
0:07.0,,,115-112,,T. Thompson enters the game for C. Frye
0:05.0,,,115-112,,Personal foul by T. Thompson (drawn by D. Cousins)
0:05.0,D. Cousins misses free throw 1 of 2,,115-112,,
0:05.0,Offensive rebound by Team,,115-112,,
0:05.0,D. Cousins makes free throw 2 of 2,1,116-112,,
0:05.0,,,116-112,,Cleveland full timeout
0:05.0,,,116-112,,I. Shumpert enters the game for T. Thompson
0:01.0,,,116-112,,K. Irving misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. Cousins,,116-112,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
