time,Philadelphia,pts.away,score,pts.home,Denver
7:01.0,Shooting foul by J. Nelson (drawn by T. McConnell),,99-99,,
7:01.0,T. McConnell makes free throw 1 of 2,1,100-99,,
7:01.0,T. McConnell makes free throw 2 of 2,1,101-99,,
6:41.0,Personal foul by N. Noel (drawn by J. Nurkic),,101-99,,
6:41.0,E. Ilyasova enters the game for R. Covington,,101-99,,
6:39.0,Personal foul by N. Stauskas (drawn by J. Murray),,101-99,,
6:27.0,,,101-99,,W. Chandler misses 2-pt shot from 12 ft
6:26.0,,,101-99,,Offensive rebound by J. Nurkic
6:26.0,,,101-99,,J. Nurkic misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by D. Saric,,101-99,,
6:13.0,T. McConnell misses 2-pt shot from 11 ft,,101-99,,
6:12.0,,,101-99,,Defensive rebound by W. Barton
6:02.0,,,101-99,,W. Barton misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by E. Ilyasova,,101-99,,
5:48.0,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Saric),3,104-99,,
5:48.0,,,104-99,,Denver full timeout
5:48.0,,,104-99,,G. Harris enters the game for W. Barton
5:48.0,,,104-99,,N. Jokic enters the game for J. Nurkic
5:48.0,,,104-99,,D. Gallinari enters the game for J. Murray
5:26.0,,,104-99,,D. Gallinari misses 2-pt shot from 22 ft
5:25.0,Defensive rebound by E. Ilyasova,,104-99,,
5:17.0,D. Saric makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,106-99,,
5:17.0,,,106-99,,Shooting block foul by D. Gallinari (drawn by D. Saric)
5:17.0,D. Saric makes free throw 1 of 1,1,107-99,,
5:10.0,Personal foul by N. Noel (drawn by N. Jokic),,107-99,,
5:10.0,,,107-99,,E. Mudiay enters the game for J. Nelson
5:01.0,Personal block foul by D. Saric (drawn by E. Mudiay),,107-99,,
5:01.0,,,107-99,,E. Mudiay misses free throw 1 of 2
5:01.0,,,107-99,,Offensive rebound by Team
5:01.0,,,107-100,1,E. Mudiay makes free throw 2 of 2
4:53.0,T. McConnell makes 2-pt shot from 18 ft,2,109-100,,
4:35.0,Personal foul by N. Noel (drawn by G. Harris),,109-100,,
4:35.0,,,109-101,1,G. Harris makes free throw 1 of 2
4:35.0,,,109-102,1,G. Harris makes free throw 2 of 2
4:20.0,T. McConnell makes 3-pt shot from 25 ft (assist by N. Stauskas),3,112-102,,
4:10.0,,,112-102,,Shooting foul by N. Stauskas (drawn by G. Harris)
4:10.0,,,112-102,,G. Harris misses free throw 1 of 2
4:10.0,,,112-102,,Offensive rebound by Team
4:10.0,,,112-103,1,G. Harris makes free throw 2 of 2
3:55.0,N. Stauskas misses 3-pt shot from 26 ft,,112-103,,
3:54.0,Offensive rebound by D. Saric,,112-103,,
3:37.0,D. Saric misses 3-pt shot from 25 ft,,112-103,,
3:36.0,,,112-103,,Defensive rebound by W. Chandler
3:27.0,,,112-106,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
3:20.0,Philadelphia full timeout,,112-106,,
3:20.0,J. Embiid enters the game for N. Stauskas,,112-106,,
3:20.0,R. Covington enters the game for N. Noel,,112-106,,
3:10.0,E. Ilyasova misses 3-pt shot from 26 ft,,112-106,,
3:09.0,,,112-106,,Defensive rebound by W. Chandler
3:04.0,,,112-106,,Shooting foul by E. Ilyasova (drawn by D. Gallinari)
3:04.0,,,112-107,1,D. Gallinari makes free throw 1 of 2
3:04.0,,,112-108,1,D. Gallinari makes free throw 2 of 2
2:49.0,Philadelphia full timeout,,112-108,,
2:40.0,D. Saric misses 3-pt shot from 26 ft,,112-108,,
2:40.0,,,112-108,,Defensive rebound by Team
2:40.0,Loose ball foul by J. Embiid (drawn by N. Jokic),,112-108,,
2:40.0,,,112-108,,N. Jokic misses free throw 1 of 2
2:40.0,,,112-108,,Offensive rebound by Team
2:40.0,,,112-109,1,N. Jokic makes free throw 2 of 2
2:24.0,,,112-109,,Personal foul by E. Mudiay (drawn by R. Covington)
2:24.0,R. Covington makes free throw 1 of 2,1,113-109,,
2:24.0,R. Covington makes free throw 2 of 2,1,114-109,,
2:10.0,,,114-111,2,N. Jokic makes 2-pt shot at rim (assist by D. Gallinari)
1:52.0,T. McConnell misses 2-pt shot from 14 ft,,114-111,,
1:51.0,,,114-111,,Defensive rebound by N. Jokic
1:44.0,,,114-113,2,W. Chandler makes 2-pt shot from 13 ft (assist by N. Jokic)
1:22.0,T. McConnell makes 3-pt shot from 24 ft (assist by J. Embiid),3,117-113,,
1:22.0,,,117-113,,Denver full timeout
1:10.0,Personal foul by J. Embiid (drawn by D. Gallinari),,117-113,,
1:10.0,,,117-114,1,D. Gallinari makes free throw 1 of 2
1:10.0,,,117-115,1,D. Gallinari makes free throw 2 of 2
0:59.0,J. Embiid misses 3-pt shot from 26 ft,,117-115,,
0:59.0,,,117-115,,Defensive rebound by E. Mudiay
0:49.0,Personal foul by R. Covington (drawn by N. Jokic),,117-115,,
0:49.0,,,117-116,1,N. Jokic makes free throw 1 of 2
0:49.0,,,117-117,1,N. Jokic makes free throw 2 of 2
0:32.0,Shooting foul by W. Chandler (drawn by J. Embiid),,117-117,,
0:32.0,J. Embiid misses free throw 1 of 2,,117-117,,
0:32.0,Offensive rebound by Team,,117-117,,
0:32.0,J. Embiid makes free throw 2 of 2,1,118-117,,
0:32.0,,,118-117,,Denver full timeout
0:32.0,,,117-117,,K. Faried enters the game for W. Chandler
0:32.0,,,118-117,,W. Chandler enters the game for K. Faried
0:19.0,,,118-117,,N. Jokic misses 2-pt shot from 2 ft (block by J. Embiid)
0:19.0,Defensive rebound by D. Saric,,118-117,,
0:16.0,,,118-117,,Personal take foul by G. Harris (drawn by J. Embiid)
0:16.0,J. Embiid makes free throw 1 of 2,1,119-117,,
0:16.0,J. Embiid makes free throw 2 of 2,1,120-117,,
0:16.0,,,120-117,,Denver full timeout
0:16.0,,,119-117,,K. Faried enters the game for W. Chandler
0:16.0,,,120-117,,W. Chandler enters the game for K. Faried
0:10.0,,,120-119,2,D. Gallinari makes 2-pt shot at rim
0:10.0,Philadelphia full timeout,,120-119,,
0:10.0,N. Stauskas enters the game for T. McConnell,,120-119,,
0:10.0,,,120-119,,W. Barton enters the game for N. Jokic
0:09.0,,,120-119,,Personal take foul by E. Mudiay (drawn by R. Covington)
0:09.0,R. Covington makes free throw 1 of 2,1,121-119,,
0:09.0,R. Covington makes free throw 2 of 2,1,122-119,,
0:09.0,,,121-119,,N. Jokic enters the game for W. Barton
0:09.0,T. McConnell enters the game for J. Embiid,,121-119,,
0:06.0,Personal take foul by T. McConnell (drawn by E. Mudiay),,122-119,,
0:06.0,,,122-120,1,E. Mudiay makes free throw 1 of 2
0:06.0,,,122-120,,E. Mudiay misses free throw 2 of 2
0:06.0,J. Embiid enters the game for T. McConnell,,122-120,,
0:06.0,,,122-120,,K. Faried enters the game for W. Chandler
0:06.0,,,122-120,,W. Chandler enters the game for D. Gallinari
0:05.0,Defensive rebound by J. Embiid,,122-120,,
0:05.0,,,122-120,,Personal take foul by N. Jokic (drawn by J. Embiid)
0:05.0,J. Embiid makes free throw 1 of 2,1,123-120,,
0:05.0,J. Embiid makes free throw 2 of 2,1,124-120,,
0:05.0,,,123-120,,D. Gallinari enters the game for K. Faried
0:05.0,T. McConnell enters the game for N. Stauskas,,123-120,,
0:03.0,,,124-120,,Shooting foul by J. Embiid (drawn by N. Jokic)
0:03.0,,,124-121,1,N. Jokic makes free throw 1 of 3
0:03.0,,,124-122,1,N. Jokic makes free throw 2 of 3
0:03.0,,,124-122,,N. Jokic misses free throw 3 of 3
0:03.0,,,124-122,,Offensive rebound by G. Harris
0:03.0,N. Noel enters the game for J. Embiid,,124-120,,
0:03.0,,,124-120,,K. Faried enters the game for D. Gallinari
0:03.0,,,124-120,,J. Nurkic enters the game for E. Mudiay
0:02.0,,,124-122,,G. Harris misses 2-pt shot from 6 ft
0:02.0,,,124-122,,Offensive rebound by K. Faried
0:02.0,,,124-122,,K. Faried misses 2-pt shot from 3 ft
0:01.0,,,124-122,,Offensive rebound by W. Chandler
0:01.0,,,124-122,,W. Chandler misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by N. Noel,,124-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
