time,Boston,pts.away,score,pts.home,Utah
0:48.0,,,107-96,,G. Hayward misses 2-pt shot from 10 ft
0:48.0,,,107-96,,Offensive rebound by Team
0:46.0,Inbound foul by T. Rozier,,107-96,,
0:46.0,,,107-97,1,G. Hayward makes free throw 1 of 1
0:46.0,J. Young enters the game for T. Rozier,,107-96,,
0:38.0,,,107-99,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:27.0,,,107-99,,Personal foul by G. Hayward (drawn by I. Thomas)
0:27.0,I. Thomas makes free throw 1 of 2,1,108-99,,
0:27.0,I. Thomas misses free throw 2 of 2,,108-99,,
0:26.0,,,108-99,,Defensive rebound by R. Gobert
0:26.0,,,108-99,,Utah full timeout
0:22.0,,,108-102,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles)
0:21.0,,,108-102,,Personal foul by T. Lyles (drawn by A. Horford)
0:21.0,A. Horford makes free throw 1 of 2,1,109-102,,
0:21.0,A. Horford makes free throw 2 of 2,1,110-102,,
0:14.0,,,110-104,2,G. Hayward makes 2-pt shot from 1 ft
0:13.0,,,110-104,,Personal foul by R. Gobert (drawn by M. Smart)
0:13.0,M. Smart makes free throw 1 of 2,1,111-104,,
0:13.0,M. Smart makes free throw 2 of 2,1,112-104,,
0:13.0,,,112-104,,Utah full timeout
0:13.0,T. Rozier enters the game for K. Olynyk,,111-104,,
0:11.0,,,112-104,,Offensive foul by R. Gobert
0:11.0,,,112-104,,Turnover by R. Gobert (offensive foul)
0:00.0,End of 4th quarter,,,,End of 4th quarter
