time,LA Clippers,pts.away,score,pts.home,Toronto
4:59.0,B. Griffin misses free throw 1 of 1,,100-116,,
4:58.0,,,100-116,,Defensive rebound by L. Nogueira
4:34.0,,,100-118,2,D. DeRozan makes 2-pt shot from 18 ft
4:27.0,B. Griffin misses 2-pt shot from 2 ft,,100-118,,
4:26.0,,,100-118,,Defensive rebound by J. Valanciunas
4:26.0,,,100-118,,Turnover by K. Lowry (traveling)
4:16.0,Turnover by B. Griffin (bad pass),,100-118,,
3:58.0,,,100-118,,J. Valanciunas misses 2-pt shot from 17 ft
3:58.0,Defensive rebound by J. Crawford,,100-118,,
3:53.0,B. Griffin makes 2-pt shot at rim (assist by J. Crawford),2,102-118,,
3:32.0,,,102-118,,N. Powell misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by D. Jordan,,102-118,,
3:17.0,J. Redick misses 3-pt shot from 27 ft,,102-118,,
3:17.0,,,102-118,,Defensive rebound by Team
3:15.0,,,102-118,,Toronto full timeout
2:56.0,,,102-118,,L. Nogueira misses 2-pt shot from 4 ft
2:56.0,Defensive rebound by D. Jordan,,102-118,,
2:41.0,J. Redick misses 3-pt shot from 24 ft,,102-118,,
2:41.0,Offensive rebound by Team,,102-118,,
2:41.0,,,102-118,,Loose ball foul by N. Powell (drawn by D. Jordan)
2:41.0,D. Jordan misses free throw 1 of 2,,102-118,,
2:41.0,Offensive rebound by Team,,102-118,,
2:41.0,D. Jordan makes free throw 2 of 2,1,103-118,,
2:17.0,,,103-118,,N. Powell misses 3-pt shot from 25 ft (block by J. Crawford)
2:17.0,,,103-118,,Offensive rebound by Team
2:16.0,,,103-118,,Turnover by Team (shot clock)
2:05.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,105-118,,
1:48.0,,,105-118,,D. DeRozan misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by B. Griffin,,105-118,,
1:39.0,J. Redick misses 3-pt shot from 26 ft,,105-118,,
1:39.0,,,105-118,,Defensive rebound by D. DeRozan
1:16.0,,,105-118,,D. DeRozan misses 2-pt shot from 19 ft
1:16.0,,,105-118,,Offensive rebound by J. Valanciunas
1:13.0,,,105-118,,Turnover by J. Valanciunas (bad pass; steal by J. Redick)
1:09.0,M. Speights enters the game for B. Griffin,,105-118,,
1:09.0,W. Johnson enters the game for D. Jordan,,105-118,,
1:09.0,,,105-118,,C. Joseph enters the game for J. Valanciunas
1:01.0,A. Rivers makes 2-pt shot from 1 ft,2,107-118,,
0:39.0,,,107-118,,K. Lowry misses 2-pt shot from 18 ft
0:38.0,Defensive rebound by J. Redick,,107-118,,
0:30.0,J. Crawford makes 2-pt shot from 4 ft,2,109-118,,
0:06.0,,,109-118,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
