time,LA Lakers,pts.away,score,pts.home,Miami
0:43.0,LA Lakers full timeout,,107-112,,
0:43.0,B. Ingram enters the game for D. Russell,,107-112,,
0:38.0,L. Williams misses 3-pt shot from 25 ft,,107-112,,
0:36.0,Offensive rebound by Team,,107-112,,
0:36.0,D. Russell enters the game for B. Ingram,,107-112,,
0:36.0,Jump ball: T. Johnson vs. T. Robinson (N. Young gains possession),,,,Jump ball: T. Johnson vs. T. Robinson (N. Young gains possession)
0:30.0,N. Young misses 3-pt shot from 26 ft,,107-112,,
0:29.0,,,107-112,,Defensive rebound by J. Winslow
0:26.0,Personal foul by N. Young (drawn by J. Winslow),,107-112,,
0:26.0,,,107-112,,J. Winslow misses free throw 1 of 2
0:26.0,,,107-112,,Offensive rebound by Team
0:26.0,,,107-113,1,J. Winslow makes free throw 2 of 2
0:26.0,T. Mozgov enters the game for T. Robinson,,107-112,,
0:20.0,D. Russell misses 3-pt shot from 25 ft,,107-113,,
0:19.0,,,107-113,,Defensive rebound by T. Johnson
0:14.0,Personal foul by L. Deng (drawn by G. Dragic),,107-113,,
0:14.0,,,107-114,1,G. Dragic makes free throw 1 of 2
0:14.0,,,107-115,1,G. Dragic makes free throw 2 of 2
0:07.0,L. Deng misses 3-pt shot from 24 ft,,107-115,,
0:06.0,,,107-115,,Defensive rebound by G. Dragic
0:00.0,End of 4th quarter,,,,End of 4th quarter
