time,Oklahoma City,pts.away,score,pts.home,Cleveland
6:38.0,Offensive rebound by Team,,75-86,,
6:38.0,V. Oladipo enters the game for K. Singler,,75-86,,
6:29.0,R. Westbrook makes 2-pt shot from 1 ft (assist by J. Grant),2,77-86,,
6:08.0,,,77-89,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
5:59.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,79-89,,
5:59.0,Shooting foul by I. Shumpert (drawn by S. Adams),,79-89,,
5:59.0,S. Adams makes free throw 1 of 1,1,80-89,,
5:41.0,,,80-91,2,K. Irving makes 2-pt shot from 1 ft
5:29.0,V. Oladipo misses 3-pt shot from 25 ft,,80-91,,
5:29.0,,,80-91,,Defensive rebound by K. Irving
5:23.0,,,80-91,,Shooting foul by J. Grant (drawn by L. James)
5:23.0,,,80-92,1,L. James makes free throw 1 of 2
5:23.0,,,80-93,1,L. James makes free throw 2 of 2
5:08.0,R. Westbrook makes 2-pt shot from 1 ft (assist by V. Oladipo),2,82-93,,
4:42.0,,,82-95,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
4:25.0,,,82-95,,Personal foul by I. Shumpert (drawn by R. Westbrook)
4:11.0,R. Westbrook misses 2-pt shot from 5 ft,,82-95,,
4:09.0,,,82-95,,Defensive rebound by T. Thompson
3:57.0,,,82-98,3,K. Irving makes 3-pt shot from 30 ft (assist by L. James)
3:57.0,Oklahoma City full timeout,,82-98,,
3:48.0,V. Oladipo makes 2-pt shot from 14 ft (assist by R. Westbrook),2,84-98,,
3:26.0,,,84-101,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
3:14.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,87-101,,
2:52.0,,,87-101,,Shooting foul by C. Payne (drawn by T. Thompson)
2:52.0,,,87-102,1,T. Thompson makes free throw 1 of 2
2:52.0,,,87-103,1,T. Thompson makes free throw 2 of 2
2:47.0,J. Grant misses 3-pt shot from 26 ft,,87-103,,
2:46.0,,,87-103,,Defensive rebound by K. Irving
2:42.0,,,87-105,2,L. James makes 2-pt shot at rim (assist by K. Irving)
2:29.0,Turnover by C. Payne (bad pass; steal by T. Thompson),,87-105,,
2:12.0,,,87-107,2,T. Thompson makes 2-pt shot from 15 ft
2:03.0,Shooting foul by I. Shumpert (drawn by R. Westbrook),,87-107,,
2:03.0,R. Westbrook misses free throw 1 of 3,,87-107,,
2:03.0,Offensive rebound by Team,,87-107,,
2:03.0,R. Westbrook makes free throw 2 of 3,1,88-107,,
2:03.0,Turnover by J. Lauvergne (offensive goaltending),,88-107,,
2:03.0,J. Lauvergne enters the game for S. Adams,,88-107,,
2:03.0,A. Abrines enters the game for V. Oladipo,,88-107,,
2:03.0,,,88-107,,J. Jones enters the game for L. James
2:03.0,,,88-107,,J. McRae enters the game for T. Thompson
2:03.0,,,88-107,,D. Liggins enters the game for I. Shumpert
2:03.0,,,88-107,,K. Felder enters the game for K. Irving
1:49.0,,,88-107,,Turnover by K. Felder (bad pass; steal by C. Payne)
1:37.0,C. Payne makes 3-pt shot from 25 ft (assist by A. Abrines),3,91-107,,
1:25.0,,,91-107,,K. Felder misses 2-pt shot from 17 ft
1:23.0,Defensive rebound by J. Grant,,91-107,,
1:11.0,C. Payne misses 2-pt shot from 14 ft,,91-107,,
1:11.0,,,91-107,,Defensive rebound by R. Jefferson
1:04.0,,,91-107,,D. Liggins misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by J. Lauvergne,,91-107,,
0:52.0,J. Lauvergne misses 2-pt shot from 7 ft (block by D. Liggins),,91-107,,
0:52.0,Offensive rebound by Team,,91-107,,
0:48.0,Turnover by J. Lauvergne (bad pass; steal by D. Liggins),,91-107,,
0:25.0,,,91-107,,K. Felder misses 2-pt shot from 8 ft (block by C. Payne)
0:23.0,Defensive rebound by J. Lauvergne,,91-107,,
0:14.0,J. Grant misses 3-pt shot from 24 ft,,91-107,,
0:14.0,,,91-107,,Defensive rebound by J. McRae
0:00.0,End of 4th quarter,,,,End of 4th quarter
