time,Atlanta,pts.away,score,pts.home,Portland
5:49.0,Defensive rebound by D. Schroder,,82-86,,
5:44.0,T. Hardaway misses 2-pt shot from 3 ft,,82-86,,
5:44.0,,,82-86,,Defensive rebound by A. Aminu
5:21.0,,,82-86,,A. Aminu misses 2-pt shot from 16 ft (block by K. Bazemore)
5:21.0,,,82-86,,Offensive rebound by A. Aminu
5:21.0,,,82-86,,Turnover by Team (shot clock)
5:05.0,T. Hardaway makes 2-pt shot from 19 ft (assist by D. Howard),2,84-86,,
4:49.0,,,84-86,,M. Harkless misses 3-pt shot from 22 ft
4:46.0,,,84-86,,Offensive rebound by E. Davis
4:42.0,,,84-88,2,C. McCollum makes 2-pt shot from 1 ft (assist by E. Davis)
4:29.0,D. Schroder misses 2-pt shot from 16 ft,,84-88,,
4:28.0,Offensive rebound by D. Howard,,84-88,,
4:28.0,Shooting foul by E. Davis (drawn by D. Howard),,84-88,,
4:28.0,D. Howard makes free throw 1 of 2,1,85-88,,
4:28.0,D. Howard misses free throw 2 of 2,,85-88,,
4:28.0,P. Millsap enters the game for K. Bazemore,,85-88,,
4:27.0,,,85-88,,Defensive rebound by A. Aminu
4:03.0,,,85-88,,Turnover by Team (shot clock)
4:03.0,K. Bazemore enters the game for D. Howard,,85-88,,
3:54.0,D. Schroder misses 3-pt shot from 24 ft,,85-88,,
3:54.0,,,85-88,,Defensive rebound by E. Davis
3:42.0,,,85-88,,D. Lillard misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by D. Schroder,,85-88,,
3:34.0,Turnover by D. Schroder (lost ball),,85-88,,
3:19.0,,,85-88,,Shooting foul by K. Bazemore (drawn by C. McCollum)
3:19.0,,,85-89,1,C. McCollum makes free throw 1 of 2
3:19.0,,,85-90,1,C. McCollum makes free throw 2 of 2
3:17.0,Atlanta full timeout,,85-90,,
3:11.0,P. Millsap misses 3-pt shot from 23 ft,,85-90,,
3:11.0,,,85-90,,Defensive rebound by Team
3:11.0,Loose ball foul by T. Waller-Prince (drawn by E. Davis),,85-90,,
3:11.0,,,85-90,,E. Davis misses free throw 1 of 2
3:11.0,,,85-90,,Offensive rebound by Team
3:11.0,,,85-90,,E. Davis misses free throw 2 of 2
3:10.0,Defensive rebound by T. Hardaway,,85-90,,
3:04.0,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder),3,88-90,,
3:04.0,,,88-90,,Away from play foul by C. McCollum (drawn by K. Bazemore)
3:04.0,K. Bazemore misses free throw 1 of 1,,88-90,,
3:02.0,,,88-90,,Defensive rebound by E. Davis
2:44.0,,,88-90,,Turnover by A. Aminu (lost ball; steal by P. Millsap)
2:26.0,K. Bazemore misses 2-pt shot from 2 ft,,88-90,,
2:25.0,,,88-90,,Defensive rebound by M. Harkless
2:16.0,,,88-90,,Shooting foul by T. Waller-Prince (drawn by D. Lillard)
2:16.0,,,88-91,1,D. Lillard makes free throw 1 of 2
2:16.0,,,88-92,1,D. Lillard makes free throw 2 of 2
2:09.0,,,88-92,,Personal foul by E. Davis (drawn by P. Millsap)
2:09.0,P. Millsap makes free throw 1 of 2,1,89-92,,
2:09.0,P. Millsap makes free throw 2 of 2,1,90-92,,
2:09.0,D. Howard enters the game for T. Waller-Prince,,89-92,,
2:04.0,Personal take foul by K. Bazemore (drawn by E. Davis),,90-92,,
2:04.0,,,90-93,1,E. Davis makes free throw 1 of 2
2:04.0,,,90-93,,E. Davis misses free throw 2 of 2
2:03.0,Defensive rebound by D. Howard,,90-93,,
2:03.0,,,90-93,,Personal take foul by D. Lillard (drawn by D. Howard)
2:03.0,D. Howard misses free throw 1 of 2,,90-93,,
2:03.0,Offensive rebound by Team,,90-93,,
2:03.0,D. Howard makes free throw 2 of 2,1,91-93,,
1:53.0,,,91-95,2,C. McCollum makes 2-pt shot at rim
1:45.0,,,91-95,,Shooting block foul by E. Davis (drawn by K. Bazemore)
1:45.0,K. Bazemore misses free throw 1 of 2,,91-95,,
1:45.0,Offensive rebound by Team,,91-95,,
1:45.0,K. Bazemore misses free throw 2 of 2,,91-95,,
1:44.0,Offensive rebound by P. Millsap,,91-95,,
1:40.0,T. Hardaway makes 3-pt shot from 24 ft (assist by P. Millsap),3,94-95,,
1:21.0,,,94-95,,D. Lillard misses 2-pt shot from 19 ft
1:20.0,Defensive rebound by P. Millsap,,94-95,,
0:56.0,T. Hardaway misses 2-pt shot from 22 ft,,94-95,,
0:54.0,,,94-95,,Defensive rebound by M. Harkless
0:36.0,Personal foul by K. Bazemore (drawn by E. Davis),,94-95,,
0:36.0,,,94-95,,E. Davis misses free throw 1 of 2
0:36.0,,,94-95,,Offensive rebound by Team
0:36.0,,,94-95,,E. Davis misses free throw 2 of 2
0:36.0,T. Waller-Prince enters the game for D. Schroder,,94-95,,
0:35.0,,,94-95,,Offensive rebound by M. Harkless
0:35.0,,,94-95,,M. Harkless misses 2-pt shot from 1 ft
0:35.0,,,94-95,,Offensive rebound by M. Harkless
0:35.0,,,94-97,2,M. Harkless makes 2-pt shot from 1 ft
0:35.0,Atlanta full timeout,,94-97,,
0:35.0,D. Schroder enters the game for T. Waller-Prince,,94-97,,
0:29.0,Shooting foul by A. Aminu (drawn by D. Howard),,94-97,,
0:29.0,D. Howard makes free throw 1 of 2,1,95-97,,
0:29.0,D. Howard misses free throw 2 of 2,,95-97,,
0:28.0,,,95-97,,Defensive rebound by A. Aminu
0:28.0,,,95-97,,Portland full timeout
0:28.0,T. Waller-Prince enters the game for D. Howard,,95-97,,
0:28.0,,,95-97,,P. Connaughton enters the game for E. Davis
0:28.0,,,95-97,,A. Crabbe enters the game for M. Harkless
0:04.0,,,95-97,,C. McCollum misses 2-pt shot from 22 ft
0:03.0,,,95-97,,Offensive rebound by P. Connaughton
0:03.0,,,95-97,,P. Connaughton misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by T. Waller-Prince,,95-97,,
0:02.0,Atlanta full timeout,,95-97,,
0:02.0,,,95-97,,M. Harkless enters the game for A. Crabbe
0:02.0,M. Dunleavy enters the game for T. Waller-Prince,,95-97,,
0:02.0,,,95-97,,A. Crabbe enters the game for P. Connaughton
0:00.0,P. Millsap makes 2-pt shot from 5 ft,2,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:40.0,,,97-99,2,E. Davis makes 2-pt shot from 3 ft (assist by A. Aminu)
4:24.0,D. Schroder misses 2-pt shot from 19 ft,,97-99,,
4:23.0,,,97-99,,Defensive rebound by E. Davis
4:15.0,,,97-102,3,D. Lillard makes 3-pt shot from 31 ft
3:52.0,D. Howard misses 2-pt shot at rim,,97-102,,
3:52.0,,,97-102,,Defensive rebound by D. Lillard
3:42.0,,,97-102,,A. Aminu misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by T. Hardaway,,97-102,,
3:32.0,T. Hardaway misses 3-pt shot from 26 ft,,97-102,,
3:31.0,,,97-102,,Defensive rebound by E. Davis
3:14.0,,,97-104,2,C. McCollum makes 2-pt shot from 8 ft (assist by M. Harkless)
2:58.0,Shooting foul by E. Davis (drawn by D. Howard),,97-104,,
2:58.0,D. Howard makes free throw 1 of 2,1,98-104,,
2:58.0,D. Howard makes free throw 2 of 2,1,99-104,,
2:58.0,T. Waller-Prince enters the game for K. Bazemore,,98-104,,
2:35.0,,,99-104,,D. Lillard misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by P. Millsap,,99-104,,
2:24.0,Shooting foul by E. Davis (drawn by P. Millsap),,99-104,,
2:24.0,P. Millsap makes free throw 1 of 2,1,100-104,,
2:24.0,P. Millsap makes free throw 2 of 2,1,101-104,,
2:24.0,,,99-104,,M. Leonard enters the game for E. Davis
2:24.0,K. Bazemore enters the game for D. Howard,,99-104,,
2:08.0,,,101-104,,D. Lillard misses 2-pt shot from 15 ft
2:06.0,Defensive rebound by K. Bazemore,,101-104,,
1:49.0,Turnover by P. Millsap (lost ball; steal by M. Harkless),,101-104,,
1:29.0,,,101-104,,Turnover by A. Aminu (offensive foul)
1:29.0,,,101-104,,Offensive charge foul by A. Aminu
1:29.0,,,101-104,,A. Crabbe enters the game for M. Leonard
1:12.0,D. Schroder makes 2-pt shot from 2 ft,2,103-104,,
0:58.0,,,103-104,,A. Crabbe misses 2-pt shot from 14 ft
0:57.0,Defensive rebound by T. Waller-Prince,,103-104,,
0:40.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,105-104,,
0:40.0,,,105-104,,Portland full timeout
0:33.0,,,105-104,,A. Aminu misses 3-pt shot from 25 ft
0:31.0,,,105-104,,Offensive rebound by A. Aminu
0:27.0,,,105-104,,M. Harkless misses 2-pt shot from 2 ft (block by K. Bazemore)
0:27.0,,,105-104,,Offensive rebound by Team
0:27.0,,,105-104,,Portland full timeout
0:15.0,,,105-104,,C. McCollum misses 2-pt shot from 3 ft
0:14.0,,,105-104,,Offensive rebound by M. Harkless
0:14.0,,,105-104,,C. McCollum misses 2-pt shot from 3 ft
0:14.0,,,105-104,,Offensive rebound by M. Harkless
0:13.0,,,105-104,,M. Harkless misses 2-pt shot from 2 ft
0:13.0,,,105-104,,Offensive rebound by Team
0:13.0,Loose ball foul by T. Waller-Prince (drawn by M. Harkless),,105-104,,
0:13.0,,,105-104,,Portland full timeout
0:07.0,,,105-104,,Turnover by D. Lillard (bad pass; steal by T. Waller-Prince)
0:06.0,,,105-104,,Personal foul by A. Crabbe (drawn by T. Waller-Prince)
0:06.0,Atlanta full timeout,,105-104,,
0:06.0,M. Delaney enters the game for T. Waller-Prince,,105-104,,
0:05.0,,,105-104,,Personal take foul by A. Crabbe (drawn by T. Waller-Prince)
0:05.0,P. Millsap makes free throw 1 of 2,1,106-104,,
0:05.0,P. Millsap makes free throw 2 of 2,1,107-104,,
0:05.0,T. Waller-Prince enters the game for M. Delaney,,106-104,,
0:05.0,,,106-104,,P. Connaughton enters the game for M. Harkless
0:04.0,,,107-104,,Turnover by P. Connaughton (bad pass; steal by T. Waller-Prince)
0:02.0,Shooting foul by P. Connaughton (drawn by T. Waller-Prince),,107-104,,
0:02.0,T. Waller-Prince makes free throw 1 of 2,1,108-104,,
0:02.0,T. Waller-Prince makes free throw 2 of 2,1,109-104,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
