time,Boston,pts.away,score,pts.home,Memphis
3:13.0,,,88-87,,Personal foul by M. Conley (drawn by A. Bradley)
3:13.0,A. Bradley makes free throw 1 of 2,1,89-87,,
3:13.0,A. Bradley makes free throw 2 of 2,1,90-87,,
3:13.0,,,89-87,,J. Martin enters the game for J. Green
3:09.0,,,90-87,,Memphis full timeout
2:54.0,Personal foul by K. Olynyk (drawn by J. Martin),,90-87,,
2:54.0,,,90-87,,Z. Randolph enters the game for J. Martin
2:45.0,,,90-90,3,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley)
2:33.0,,,90-90,,Personal foul by T. Daniels (drawn by J. Crowder)
2:33.0,J. Crowder makes free throw 1 of 2,1,91-90,,
2:33.0,J. Crowder makes free throw 2 of 2,1,92-90,,
2:12.0,,,92-92,2,Z. Randolph makes 2-pt shot from 6 ft (assist by M. Gasol)
1:58.0,Turnover by J. Crowder (bad pass; steal by T. Allen),,92-92,,
1:49.0,,,92-95,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
1:38.0,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk),3,95-95,,
1:15.0,,,95-95,,M. Gasol misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by A. Horford,,95-95,,
0:57.0,A. Bradley misses 3-pt shot from 25 ft,,95-95,,
0:55.0,,,95-95,,Defensive rebound by M. Gasol
0:33.0,,,95-97,2,M. Conley makes 2-pt shot from 3 ft
0:33.0,Boston full timeout,,95-97,,
0:33.0,,,95-97,,A. Harrison enters the game for M. Conley
0:27.0,Shooting foul by A. Harrison (drawn by I. Thomas),,95-97,,
0:27.0,I. Thomas makes free throw 1 of 2,1,96-97,,
0:27.0,I. Thomas makes free throw 2 of 2,1,97-97,,
0:27.0,,,96-97,,M. Conley enters the game for A. Harrison
0:02.0,,,97-97,,M. Gasol misses 2-pt shot from 8 ft
0:01.0,Defensive rebound by A. Bradley,,97-97,,
0:01.0,Boston full timeout,,97-97,,
0:01.0,Boston full timeout,,97-97,,
0:01.0,,,97-97,,A. Harrison enters the game for T. Daniels
0:00.0,A. Horford misses 2-pt shot from 3 ft,,97-97,,
0:00.0,Offensive rebound by A. Horford,,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:47.0,J. Crowder makes 2-pt shot from 20 ft (assist by I. Thomas),2,99-97,,
4:26.0,,,99-97,,Shooting foul by A. Bradley (drawn by Z. Randolph)
4:26.0,,,99-97,,Z. Randolph misses free throw 1 of 2
4:26.0,,,99-97,,Offensive rebound by Team
4:26.0,,,99-98,1,Z. Randolph makes free throw 2 of 2
4:12.0,A. Horford makes 2-pt shot from 19 ft (assist by I. Thomas),2,101-98,,
3:50.0,Personal foul by A. Bradley (drawn by M. Conley),,101-98,,
3:39.0,,,101-98,,Z. Randolph misses 2-pt shot from 3 ft
3:37.0,,,101-98,,Offensive rebound by Z. Randolph
3:37.0,,,101-100,2,Z. Randolph makes 2-pt shot from 2 ft
3:23.0,A. Horford misses 3-pt shot from 24 ft,,101-100,,
3:22.0,,,101-100,,Defensive rebound by Z. Randolph
3:09.0,,,101-100,,M. Conley misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by A. Horford,,101-100,,
3:01.0,I. Thomas makes 3-pt shot from 24 ft,3,104-100,,
2:44.0,,,104-103,3,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley)
2:43.0,,,104-103,,Flagrant foul type 1 by Z. Randolph (drawn by K. Olynyk)
2:43.0,K. Olynyk misses flagrant free throw 1 of 2,,104-103,,
2:43.0,Offensive rebound by Team,,104-103,,
2:43.0,K. Olynyk makes flagrant free throw 2 of 2,1,105-103,,
2:43.0,,,104-103,,J. Martin enters the game for Z. Randolph
2:19.0,Turnover by Team (shot clock),,105-103,,
2:11.0,,,105-103,,Turnover by T. Daniels (lost ball)
1:56.0,K. Olynyk misses 2-pt shot from 19 ft,,105-103,,
1:55.0,,,105-103,,Defensive rebound by T. Allen
1:51.0,,,105-103,,Shooting foul by I. Thomas (drawn by J. Martin)
1:51.0,,,105-103,,J. Martin misses free throw 1 of 2
1:51.0,,,105-103,,Offensive rebound by Team
1:51.0,,,105-104,1,J. Martin makes free throw 2 of 2
1:28.0,A. Horford misses 3-pt shot from 24 ft,,105-104,,
1:26.0,,,105-104,,Defensive rebound by M. Gasol
1:11.0,,,105-104,,M. Gasol misses 2-pt shot from 4 ft
1:10.0,,,105-104,,Offensive rebound by T. Allen
1:10.0,,,105-106,2,T. Allen makes 2-pt shot from 2 ft
1:10.0,Boston full timeout,,105-106,,
1:08.0,Shooting foul by T. Daniels (drawn by I. Thomas),,105-106,,
1:08.0,I. Thomas makes free throw 1 of 2,1,106-106,,
1:08.0,I. Thomas makes free throw 2 of 2,1,107-106,,
1:08.0,A. Johnson enters the game for K. Olynyk,,106-106,,
0:51.0,,,107-106,,T. Daniels misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by A. Horford,,107-106,,
0:35.0,Boston full timeout,,107-106,,
0:30.0,A. Horford makes 2-pt shot from 4 ft (assist by J. Crowder),2,109-106,,
0:30.0,,,109-106,,Memphis full timeout
0:30.0,M. Smart enters the game for I. Thomas,,109-106,,
0:16.0,,,109-106,,M. Conley misses 2-pt shot from 3 ft
0:15.0,Defensive rebound by A. Johnson,,109-106,,
0:14.0,,,109-106,,Personal take foul by J. Martin (drawn by A. Johnson)
0:14.0,A. Johnson misses free throw 1 of 2,,109-106,,
0:14.0,Offensive rebound by Team,,109-106,,
0:14.0,A. Johnson makes free throw 2 of 2,1,110-106,,
0:14.0,,,110-106,,Memphis full timeout
0:08.0,,,110-106,,Shooting foul by A. Johnson (drawn by M. Conley)
0:08.0,,,110-107,1,M. Conley makes free throw 1 of 2
0:08.0,,,110-107,,M. Conley misses free throw 2 of 2
0:07.0,Defensive rebound by J. Crowder,,110-107,,
0:07.0,Boston full timeout,,110-107,,
0:07.0,I. Thomas enters the game for A. Johnson,,110-107,,
0:07.0,,,110-107,,J. Ennis enters the game for M. Conley
0:07.0,,,110-107,,J. Green enters the game for T. Daniels
0:06.0,,,110-107,,Personal foul by J. Martin (drawn by I. Thomas)
0:06.0,I. Thomas makes free throw 1 of 2,1,111-107,,
0:06.0,I. Thomas makes free throw 2 of 2,1,112-107,,
0:06.0,,,112-107,,Memphis full timeout
0:06.0,,,110-107,,M. Conley enters the game for J. Martin
0:06.0,K. Olynyk enters the game for I. Thomas,,112-107,,
0:06.0,,,112-107,,T. Daniels enters the game for J. Ennis
0:02.0,,,112-109,2,J. Green makes 2-pt shot at rim
0:00.0,End of 1st overtime,,,,End of 1st overtime
