time,Miami,pts.away,score,pts.home,Memphis
3:21.0,H. Whiteside makes free throw 2 of 2,1,86-73,,
3:21.0,,,85-73,,J. Green enters the game for V. Carter
3:07.0,,,86-73,,M. Conley misses 2-pt shot from 1 ft (block by H. Whiteside)
3:04.0,Defensive rebound by J. Johnson,,86-73,,
3:00.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,88-73,,
2:48.0,,,88-73,,M. Conley misses 2-pt shot from 1 ft
2:47.0,,,88-73,,Offensive rebound by M. Conley
2:47.0,,,88-75,2,M. Conley makes 2-pt shot from 1 ft
2:47.0,Miami full timeout,,88-75,,
2:47.0,,,88-75,,T. Daniels enters the game for A. Harrison
2:28.0,D. Waiters makes 2-pt shot from 1 ft,2,90-75,,
2:13.0,,,90-75,,Shooting foul by H. Whiteside (drawn by J. Green)
2:13.0,,,90-76,1,J. Green makes free throw 1 of 2
2:13.0,,,90-77,1,J. Green makes free throw 2 of 2
2:13.0,,,90-76,,W. Baldwin enters the game for M. Conley
2:13.0,,,90-76,,D. Davis enters the game for M. Gasol
2:13.0,,,90-76,,A. Harrison enters the game for T. Daniels
2:01.0,Turnover by R. McGruder (lost ball),,90-77,,
2:01.0,,,90-77,,J. Martin enters the game for J. Green
1:46.0,,,90-77,,J. Martin misses 2-pt shot from 17 ft
1:44.0,,,90-77,,Offensive rebound by W. Baldwin
1:44.0,,,90-77,,W. Baldwin misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by H. Whiteside,,90-77,,
1:23.0,H. Whiteside misses 2-pt shot from 1 ft (block by J. Martin),,90-77,,
1:22.0,,,90-77,,Defensive rebound by A. Harrison
1:20.0,,,90-77,,T. Williams misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by Team,,90-77,,
1:00.0,D. Waiters misses 2-pt shot from 13 ft,,90-77,,
1:00.0,,,90-77,,Defensive rebound by J. Martin
1:00.0,Loose ball foul by H. Whiteside (drawn by J. Martin),,90-77,,
1:00.0,,,90-78,1,J. Martin makes free throw 1 of 2
1:00.0,,,90-79,1,J. Martin makes free throw 2 of 2
1:00.0,J. McRoberts enters the game for H. Whiteside,,90-77,,
0:39.0,T. Johnson misses 3-pt shot from 26 ft,,90-79,,
0:39.0,,,90-79,,Defensive rebound by T. Williams
0:34.0,Personal foul by J. Johnson (drawn by T. Williams),,90-79,,
0:34.0,,,90-79,,T. Williams misses free throw 1 of 2
0:34.0,,,90-79,,Offensive rebound by Team
0:34.0,,,90-79,,T. Williams misses free throw 2 of 2
0:33.0,Defensive rebound by J. McRoberts,,90-79,,
0:15.0,D. Waiters misses 2-pt shot from 1 ft (block by A. Harrison),,90-79,,
0:15.0,,,90-79,,Defensive rebound by Team
0:15.0,Jump ball: A. Harrison vs. D. Waiters,,,,Jump ball: A. Harrison vs. D. Waiters
0:07.0,,,90-81,2,W. Baldwin makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
