time,Dallas,pts.away,score,pts.home,Cleveland
3:16.0,,,78-114,,Defensive rebound by J. McRae
2:56.0,,,78-117,3,J. Jones makes 3-pt shot from 25 ft (assist by C. Andersen)
2:46.0,,,78-117,,Personal foul by D. Liggins (drawn by D. Powell)
2:46.0,D. Powell makes free throw 1 of 2,1,79-117,,
2:46.0,D. Powell makes free throw 2 of 2,1,80-117,,
2:46.0,J. Anderson enters the game for D. Finney-Smith,,79-117,,
2:29.0,,,80-119,2,J. McRae makes 2-pt shot from 18 ft (assist by C. Andersen)
2:29.0,,,80-119,,Shooting foul by J. Anderson (drawn by J. McRae)
2:29.0,,,80-120,1,J. McRae makes free throw 1 of 1
2:12.0,Turnover by D. Powell (lost ball; steal by D. Liggins),,80-120,,
1:56.0,,,80-123,3,J. Jones makes 3-pt shot from 25 ft (assist by K. Felder)
1:47.0,J. Gibson makes 3-pt shot from 25 ft,3,83-123,,
1:33.0,,,83-123,,C. Andersen misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by N. Brussino,,83-123,,
1:23.0,,,83-123,,Personal foul by C. Andersen (drawn by A. Hammons)
1:23.0,A. Hammons misses free throw 1 of 2,,83-123,,
1:23.0,Offensive rebound by Team,,83-123,,
1:23.0,A. Hammons misses free throw 2 of 2,,83-123,,
1:18.0,Offensive rebound by J. Anderson,,83-123,,
1:15.0,J. Anderson makes 2-pt shot at rim (assist by D. Powell),2,85-123,,
0:55.0,,,85-125,2,J. McRae makes 2-pt shot from 1 ft
0:41.0,J. Anderson makes 3-pt shot from 25 ft (assist by D. Powell),3,88-125,,
0:21.0,,,88-128,3,J. Jones makes 3-pt shot from 24 ft (assist by K. Felder)
0:15.0,J. Anderson makes 2-pt shot from 1 ft,2,90-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
