time,Boston,pts.away,score,pts.home,Sacramento
1:40.0,,,86-106,2,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by M. Barnes)
1:29.0,J. Young makes 2-pt shot from 21 ft (assist by T. Zeller),2,88-106,,
1:07.0,,,88-106,,A. Afflalo misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Mickey,,88-106,,
1:03.0,,,88-106,,Personal foul by D. Collison (drawn by T. Rozier)
1:03.0,T. Rozier makes free throw 1 of 2,1,89-106,,
1:03.0,T. Rozier makes free throw 2 of 2,1,90-106,,
1:03.0,,,89-106,,S. Labissiere enters the game for W. Cauley-Stein
1:03.0,,,89-106,,G. Papagiannis enters the game for M. Barnes
0:46.0,,,90-106,,A. Tolliver misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by Team,,90-106,,
0:36.0,T. Rozier misses 3-pt shot from 23 ft,,90-106,,
0:35.0,Offensive rebound by G. Green,,90-106,,
0:35.0,G. Green makes 2-pt shot at rim,2,92-106,,
0:23.0,Personal foul by G. Green (drawn by S. Labissiere),,92-106,,
0:23.0,,,92-107,1,S. Labissiere makes free throw 1 of 2
0:23.0,,,92-108,1,S. Labissiere makes free throw 2 of 2
0:23.0,,,92-107,,M. Richardson enters the game for D. Collison
0:00.0,End of 4th quarter,,,,End of 4th quarter
