time,Minnesota,pts.away,score,pts.home,Sacramento
4:59.0,,,94-96,,M. Barnes misses 3-pt shot from 25 ft
4:58.0,,,94-96,,Offensive rebound by D. Cousins
4:43.0,,,94-96,,Turnover by M. Barnes (bad pass; steal by K. Towns)
4:25.0,G. Dieng makes 2-pt shot from 15 ft,2,96-96,,
4:01.0,,,96-98,2,R. Gay makes 2-pt shot from 8 ft
3:47.0,A. Wiggins makes 2-pt shot from 3 ft,2,98-98,,
3:28.0,,,98-100,2,D. Cousins makes 2-pt shot from 3 ft
3:11.0,A. Wiggins makes 2-pt shot from 16 ft,2,100-100,,
2:57.0,Personal foul by K. Dunn (drawn by D. Cousins),,100-100,,
2:57.0,Minnesota full timeout,,100-100,,
2:45.0,,,100-100,,R. Gay misses 2-pt shot from 17 ft
2:44.0,Defensive rebound by Z. LaVine,,100-100,,
2:20.0,G. Dieng misses 3-pt shot from 24 ft,,100-100,,
2:20.0,Offensive rebound by Team,,100-100,,
2:20.0,Turnover by Team (shot clock),,100-100,,
1:56.0,,,100-102,2,R. Gay makes 2-pt shot from 18 ft (assist by T. Lawson)
1:49.0,Minnesota full timeout,,100-102,,
1:33.0,Z. LaVine misses 2-pt shot from 20 ft,,100-102,,
1:33.0,Offensive rebound by K. Towns,,100-102,,
1:27.0,K. Towns misses 2-pt shot from 8 ft (block by M. Barnes),,100-102,,
1:26.0,,,100-102,,Defensive rebound by Team
1:10.0,,,100-105,3,T. Lawson makes 3-pt shot from 24 ft (assist by M. Barnes)
1:10.0,Minnesota full timeout,,100-105,,
1:07.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,100-105,,
1:07.0,A. Wiggins misses free throw 1 of 2,,100-105,,
1:07.0,Offensive rebound by Team,,100-105,,
1:07.0,A. Wiggins makes free throw 2 of 2,1,101-105,,
0:51.0,,,101-105,,Offensive charge foul by D. Cousins
0:51.0,,,101-105,,Turnover by D. Cousins (offensive foul)
0:37.0,,,101-105,,Personal block foul by D. Cousins (drawn by K. Dunn)
0:37.0,K. Dunn misses free throw 1 of 2,,101-105,,
0:37.0,Offensive rebound by Team,,101-105,,
0:37.0,K. Dunn misses free throw 2 of 2,,101-105,,
0:37.0,,,101-105,,K. Koufos enters the game for D. Cousins
0:37.0,,,101-105,,W. Cauley-Stein enters the game for T. Lawson
0:36.0,Offensive rebound by G. Dieng,,101-105,,
0:34.0,,,101-105,,T. Lawson enters the game for W. Cauley-Stein
0:20.0,Z. LaVine misses 3-pt shot from 23 ft,,101-105,,
0:19.0,Offensive rebound by K. Towns,,101-105,,
0:19.0,K. Towns makes 2-pt shot from 2 ft,2,103-105,,
0:19.0,,,103-105,,Sacramento full timeout
0:19.0,,,103-105,,A. Tolliver enters the game for K. Koufos
0:16.0,,,103-105,,Sacramento full timeout
0:16.0,Violation by K. Towns (kicked ball),,103-105,,
0:13.0,Personal take foul by Z. LaVine (drawn by A. Tolliver),,103-105,,
0:11.0,,,103-105,,Turnover by R. Gay (lost ball)
0:11.0,,,103-105,,G. Temple enters the game for T. Lawson
0:11.0,Jump ball: R. Gay vs. A. Wiggins (K. Dunn gains possession),,,,Jump ball: R. Gay vs. A. Wiggins (K. Dunn gains possession)
0:08.0,Minnesota full timeout,,103-105,,
0:08.0,,,103-105,,K. Koufos enters the game for A. Tolliver
0:05.0,A. Wiggins misses 2-pt shot from 21 ft,,103-105,,
0:03.0,Offensive rebound by G. Dieng,,103-105,,
0:03.0,G. Dieng misses 2-pt shot from 2 ft,,103-105,,
0:00.0,,,103-105,,Defensive rebound by M. Barnes
0:00.0,Personal foul by K. Towns (drawn by M. Barnes),,103-105,,
0:00.0,,,103-106,1,M. Barnes makes free throw 1 of 2
0:00.0,,,103-106,,M. Barnes misses free throw 2 of 2
0:00.0,Defensive rebound by K. Towns,,103-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
