time,Washington,pts.away,score,pts.home,LA Clippers
6:38.0,Washington full timeout,,108-119,,
6:38.0,B. Beal enters the game for B. Jennings,,108-119,,
6:24.0,J. Wall makes 2-pt shot at rim,2,110-119,,
6:02.0,,,110-119,,J. Crawford misses 2-pt shot from 12 ft
6:00.0,,,110-119,,Offensive rebound by D. Jordan
6:00.0,,,110-121,2,D. Jordan makes 2-pt shot at rim
5:44.0,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall),2,112-121,,
5:22.0,Personal foul by B. Beal (drawn by B. Griffin),,112-121,,
5:15.0,,,112-121,,B. Griffin misses 2-pt shot from 7 ft
5:13.0,Defensive rebound by J. Wall,,112-121,,
5:08.0,B. Beal misses 3-pt shot from 27 ft,,112-121,,
5:06.0,,,112-121,,Defensive rebound by Team
4:47.0,,,112-121,,C. Paul misses 2-pt shot from 19 ft
4:45.0,Defensive rebound by K. Oubre,,112-121,,
4:39.0,J. Wall makes 2-pt shot from 2 ft,2,114-121,,
4:21.0,,,114-121,,J. Redick misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Wall,,114-121,,
4:15.0,B. Bogdanovic misses 3-pt shot from 27 ft,,114-121,,
4:13.0,,,114-121,,Defensive rebound by D. Jordan
4:02.0,,,114-121,,Shooting foul by B. Bogdanovic (drawn by B. Griffin)
4:02.0,,,114-122,1,B. Griffin makes free throw 1 of 2
4:02.0,,,114-123,1,B. Griffin makes free throw 2 of 2
4:02.0,J. Smith enters the game for B. Bogdanovic,,114-122,,
3:46.0,J. Wall misses 3-pt shot from 26 ft,,114-123,,
3:45.0,,,114-123,,Defensive rebound by C. Paul
3:38.0,,,114-123,,Shooting foul by I. Mahinmi (drawn by D. Jordan)
3:38.0,,,114-123,,D. Jordan misses free throw 1 of 2
3:38.0,,,114-123,,Offensive rebound by Team
3:38.0,,,114-124,1,D. Jordan makes free throw 2 of 2
3:27.0,B. Beal misses 2-pt shot from 2 ft,,114-124,,
3:27.0,Offensive rebound by Team,,114-124,,
3:17.0,J. Wall misses 2-pt shot from 11 ft,,114-124,,
3:15.0,,,114-124,,Defensive rebound by B. Griffin
3:13.0,Personal foul by K. Oubre (drawn by C. Paul),,114-124,,
3:13.0,,,114-125,1,C. Paul makes free throw 1 of 2
3:13.0,,,114-126,1,C. Paul makes free throw 2 of 2
2:57.0,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall),2,116-126,,
2:40.0,,,116-126,,Turnover by B. Griffin (lost ball; steal by J. Wall)
2:39.0,Shooting foul by B. Griffin (drawn by J. Wall),,116-126,,
2:39.0,Official timeout,,116-126,,
2:39.0,J. Wall makes free throw 1 of 2,1,117-126,,
2:39.0,J. Wall makes free throw 2 of 2,1,118-126,,
2:16.0,,,118-126,,Shooting foul by I. Mahinmi (drawn by D. Jordan)
2:16.0,,,118-126,,D. Jordan misses free throw 1 of 2
2:16.0,,,118-126,,Offensive rebound by Team
2:16.0,,,118-127,1,D. Jordan makes free throw 2 of 2
2:02.0,B. Beal misses 3-pt shot from 26 ft,,118-127,,
2:02.0,Offensive rebound by I. Mahinmi,,118-127,,
2:02.0,,,118-127,,Loose ball foul by D. Jordan (drawn by I. Mahinmi)
2:02.0,I. Mahinmi makes free throw 1 of 2,1,119-127,,
2:02.0,I. Mahinmi misses free throw 2 of 2,,119-127,,
2:00.0,,,119-127,,Defensive rebound by B. Griffin
1:49.0,,,119-127,,J. Crawford misses 2-pt shot from 19 ft
1:47.0,,,119-127,,Offensive rebound by B. Griffin
1:25.0,,,119-127,,J. Crawford misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by J. Smith,,119-127,,
1:10.0,Shooting foul by D. Jordan (drawn by K. Oubre),,119-127,,
1:10.0,K. Oubre makes free throw 1 of 2,1,120-127,,
1:10.0,K. Oubre makes free throw 2 of 2,1,121-127,,
1:10.0,,,121-127,,LA Clippers full timeout
0:51.0,,,121-129,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
0:31.0,B. Beal makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,124-129,,
0:18.0,,,124-129,,Shooting foul by I. Mahinmi (drawn by B. Griffin)
0:18.0,,,124-130,1,B. Griffin makes free throw 1 of 2
0:18.0,,,124-131,1,B. Griffin makes free throw 2 of 2
0:18.0,Washington full timeout,,124-131,,
0:18.0,M. Gortat enters the game for I. Mahinmi,,124-129,,
0:18.0,,,124-130,,L. Mbah a Moute enters the game for J. Crawford
0:18.0,O. Porter enters the game for M. Gortat,,124-131,,
0:11.0,J. Smith misses 2-pt shot from 3 ft,,124-131,,
0:10.0,,,124-131,,Defensive rebound by D. Jordan
0:10.0,Personal take foul by K. Oubre,,124-131,,
0:10.0,,,124-132,1,J. Redick makes free throw 1 of 2
0:10.0,,,124-133,1,J. Redick makes free throw 2 of 2
0:01.0,B. Beal misses 3-pt shot from 26 ft,,124-133,,
0:00.0,Offensive rebound by Team,,124-133,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
