time,Toronto,pts.away,score,pts.home,Atlanta
4:39.0,P. Tucker enters the game for J. Valanciunas,,86-90,,
4:18.0,C. Joseph misses 3-pt shot from 26 ft,,86-90,,
4:16.0,,,86-90,,Defensive rebound by D. Howard
3:57.0,,,86-90,,D. Schroder misses 3-pt shot from 25 ft
3:57.0,,,86-90,,Offensive rebound by Team
3:57.0,Loose ball foul by S. Ibaka (drawn by D. Howard),,86-90,,
3:57.0,,,86-90,,T. Hardaway enters the game for K. Bazemore
3:49.0,,,86-90,,P. Millsap misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by D. DeRozan,,86-90,,
3:35.0,D. Carroll enters the game for N. Powell,,86-90,,
3:35.0,Toronto full timeout,,86-90,,
3:35.0,,,86-90,,E. Ilyasova enters the game for D. Howard
3:21.0,D. DeRozan misses 3-pt shot from 25 ft,,86-90,,
3:20.0,,,86-90,,Defensive rebound by E. Ilyasova
3:00.0,,,86-90,,D. Schroder misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by D. Carroll,,86-90,,
2:46.0,Shooting foul by P. Millsap (drawn by S. Ibaka),,86-90,,
2:46.0,S. Ibaka makes free throw 1 of 2,1,87-90,,
2:46.0,S. Ibaka makes free throw 2 of 2,1,88-90,,
2:32.0,,,88-90,,Shooting foul by S. Ibaka (drawn by P. Millsap)
2:32.0,,,88-91,1,P. Millsap makes free throw 1 of 2
2:32.0,,,88-92,1,P. Millsap makes free throw 2 of 2
2:19.0,Offensive charge foul by D. DeRozan,,88-92,,
2:19.0,Turnover by D. DeRozan (offensive foul),,88-92,,
2:13.0,Personal foul by C. Joseph (drawn by D. Schroder),,88-92,,
2:13.0,,,88-93,1,D. Schroder makes free throw 1 of 2
2:13.0,,,88-94,1,D. Schroder makes free throw 2 of 2
1:59.0,S. Ibaka misses 3-pt shot from 25 ft,,88-94,,
1:57.0,,,88-94,,Defensive rebound by D. Schroder
1:45.0,,,88-96,2,D. Schroder makes 2-pt shot from 1 ft
1:45.0,Toronto full timeout,,88-96,,
1:38.0,Offensive foul by S. Ibaka,,88-96,,
1:38.0,Turnover by S. Ibaka (bad pass),,88-96,,
1:38.0,P. Patterson enters the game for S. Ibaka,,88-96,,
1:37.0,,,88-96,,Turnover by T. Sefolosha (bad pass; steal by C. Joseph)
1:33.0,D. DeRozan makes 2-pt shot from 2 ft (assist by C. Joseph),2,90-96,,
1:15.0,,,90-96,,Atlanta full timeout
1:10.0,,,90-96,,Turnover by P. Millsap (lost ball; steal by P. Tucker)
1:03.0,D. DeRozan misses 2-pt shot from 1 ft (block by T. Sefolosha),,90-96,,
1:02.0,,,90-96,,Defensive rebound by D. Schroder
1:02.0,Personal foul by D. Carroll (drawn by D. Schroder),,90-96,,
1:02.0,,,90-97,1,D. Schroder makes free throw 1 of 2
1:02.0,,,90-98,1,D. Schroder makes free throw 2 of 2
1:02.0,Toronto full timeout,,90-98,,
0:54.0,D. DeRozan makes 2-pt shot from 17 ft (assist by C. Joseph),2,92-98,,
0:45.0,,,92-100,2,E. Ilyasova makes 2-pt shot at rim (assist by T. Hardaway)
0:40.0,D. DeRozan misses 3-pt shot from 25 ft,,92-100,,
0:38.0,Offensive rebound by D. Carroll,,92-100,,
0:38.0,D. Carroll makes 2-pt shot from 1 ft,2,94-100,,
0:38.0,Shooting foul by T. Hardaway (drawn by D. Carroll),,94-100,,
0:38.0,D. Carroll misses free throw 1 of 1,,94-100,,
0:36.0,,,94-100,,Defensive rebound by P. Millsap
0:35.0,Personal take foul by P. Tucker (drawn by P. Millsap),,94-100,,
0:35.0,,,94-101,1,P. Millsap makes free throw 1 of 2
0:35.0,,,94-102,1,P. Millsap makes free throw 2 of 2
0:27.0,P. Patterson makes 2-pt shot at rim (assist by C. Joseph),2,96-102,,
0:27.0,,,96-102,,Atlanta full timeout
0:23.0,Personal take foul by D. DeRozan (drawn by D. Schroder),,96-102,,
0:23.0,,,96-103,1,D. Schroder makes free throw 1 of 2
0:23.0,,,96-104,1,D. Schroder makes free throw 2 of 2
0:23.0,,,96-103,,K. Bazemore enters the game for P. Millsap
0:16.0,D. DeRozan misses 3-pt shot from 23 ft,,96-104,,
0:14.0,Offensive rebound by C. Joseph,,96-104,,
0:14.0,Shooting foul by E. Ilyasova (drawn by C. Joseph),,96-104,,
0:14.0,C. Joseph makes free throw 1 of 2,1,97-104,,
0:14.0,C. Joseph makes free throw 2 of 2,1,98-104,,
0:12.0,Personal take foul by D. DeRozan (drawn by D. Schroder),,98-104,,
0:12.0,,,98-104,,D. Schroder misses free throw 1 of 2
0:12.0,,,98-104,,Offensive rebound by Team
0:12.0,,,98-105,1,D. Schroder makes free throw 2 of 2
0:05.0,,,98-105,,Shooting block foul by E. Ilyasova (drawn by D. Carroll)
0:05.0,D. Carroll makes free throw 1 of 2,1,99-105,,
0:05.0,D. Carroll misses free throw 2 of 2,,99-105,,
0:04.0,Offensive rebound by P. Patterson,,99-105,,
0:01.0,P. Tucker misses 3-pt shot from 24 ft,,99-105,,
0:00.0,Offensive rebound by P. Patterson,,99-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
