time,New York,pts.away,score,pts.home,Chicago
3:27.0,,,106-97,,D. Wade enters the game for R. Lopez
3:10.0,J. Noah makes 2-pt shot from 3 ft (assist by D. Rose),2,108-97,,
2:49.0,,,108-100,3,D. Wade makes 3-pt shot from 24 ft
2:32.0,C. Anthony misses 3-pt shot from 25 ft,,108-100,,
2:31.0,,,108-100,,Defensive rebound by D. Wade
2:23.0,,,108-100,,D. Wade misses 2-pt shot from 6 ft
2:23.0,Defensive rebound by Team,,108-100,,
2:05.0,D. Rose misses 2-pt shot from 12 ft,,108-100,,
2:04.0,,,108-100,,Defensive rebound by D. Wade
1:52.0,,,108-102,2,D. Wade makes 2-pt shot from 3 ft
1:30.0,D. Rose makes 2-pt shot from 4 ft (assist by B. Jennings),2,110-102,,
1:30.0,Shooting foul by T. Gibson (drawn by D. Rose),,110-102,,
1:30.0,D. Rose makes free throw 1 of 1,1,111-102,,
1:13.0,,,111-104,2,J. Butler makes 2-pt shot from 1 ft
0:51.0,C. Anthony makes 3-pt shot from 24 ft (assist by D. Rose),3,114-104,,
0:51.0,,,114-104,,Chicago full timeout
0:51.0,,,114-104,,N. Mirotic enters the game for T. Gibson
0:41.0,,,114-104,,N. Mirotic misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by C. Anthony,,114-104,,
0:39.0,,,114-104,,Personal foul by D. Wade (drawn by C. Anthony)
0:39.0,C. Anthony makes free throw 1 of 2,1,115-104,,
0:39.0,C. Anthony makes free throw 2 of 2,1,116-104,,
0:39.0,,,116-104,,Chicago full timeout
0:33.0,,,116-104,,D. Wade misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by B. Jennings,,116-104,,
0:28.0,,,116-104,,Personal take foul by N. Mirotic (drawn by B. Jennings)
0:28.0,B. Jennings misses free throw 1 of 2,,116-104,,
0:28.0,Offensive rebound by Team,,116-104,,
0:28.0,B. Jennings makes free throw 2 of 2,1,117-104,,
0:28.0,,,116-104,,I. Canaan enters the game for J. Butler
0:28.0,,,116-104,,J. Grant enters the game for D. Wade
0:28.0,,,116-104,,B. Portis enters the game for R. Rondo
0:28.0,,,116-104,,C. Felicio enters the game for D. McDermott
0:28.0,,,116-104,,D. Valentine enters the game for N. Mirotic
0:28.0,M. Ndour enters the game for J. Noah,,116-104,,
0:28.0,J. Holiday enters the game for D. Rose,,116-104,,
0:17.0,,,117-104,,J. Grant misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by C. Anthony,,117-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
