time,Boston,pts.away,score,pts.home,Miami
2:50.0,T. Zeller makes free throw 2 of 2,1,102-89,,
2:42.0,,,102-89,,Shooting foul by T. Zeller (drawn by G. Dragic)
2:42.0,,,102-90,1,G. Dragic makes free throw 1 of 2
2:42.0,,,102-91,1,G. Dragic makes free throw 2 of 2
2:40.0,,,102-91,,Personal take foul by W. Ellington (drawn by M. Smart)
2:40.0,M. Smart misses free throw 1 of 2,,102-91,,
2:40.0,Offensive rebound by Team,,102-91,,
2:40.0,M. Smart makes free throw 2 of 2,1,103-91,,
2:32.0,,,103-93,2,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic)
2:26.0,,,103-93,,Personal foul by G. Dragic (drawn by M. Smart)
2:26.0,Personal foul by M. Smart,,103-93,,
2:26.0,Technical foul by M. Smart,,103-93,,
2:26.0,,,103-94,1,G. Dragic makes technical free throw
2:25.0,,,103-94,,Personal take foul by G. Dragic (drawn by M. Smart)
2:25.0,M. Smart misses free throw 1 of 2,,103-94,,
2:25.0,Offensive rebound by Team,,103-94,,
2:25.0,M. Smart makes free throw 2 of 2,1,104-94,,
2:12.0,,,104-94,,J. Richardson misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by T. Zeller,,104-94,,
2:11.0,,,104-94,,Technical foul by Team
2:11.0,I. Thomas makes technical free throw,1,105-94,,
2:01.0,I. Thomas makes 2-pt shot from 2 ft,2,107-94,,
1:49.0,,,107-97,3,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic)
1:26.0,I. Thomas misses 3-pt shot from 26 ft,,107-97,,
1:25.0,Offensive rebound by Team,,107-97,,
1:15.0,,,107-97,,Personal block foul by J. Richardson (drawn by I. Thomas)
1:15.0,I. Thomas makes free throw 1 of 2,1,108-97,,
1:15.0,I. Thomas makes free throw 2 of 2,1,109-97,,
1:15.0,,,109-97,,Miami full timeout
1:15.0,Inbound foul by J. Crowder,,109-97,,
1:15.0,,,109-97,,H. Whiteside misses free throw 1 of 2
1:15.0,,,109-97,,Offensive rebound by Team
1:15.0,,,109-98,1,H. Whiteside makes free throw 2 of 2
1:15.0,J. Jerebko enters the game for T. Zeller,,108-97,,
1:09.0,,,109-98,,Personal foul by R. McGruder (drawn by I. Thomas)
1:09.0,I. Thomas makes free throw 1 of 2,1,110-98,,
1:09.0,I. Thomas makes free throw 2 of 2,1,111-98,,
1:01.0,,,111-100,2,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic)
0:35.0,A. Bradley misses 2-pt shot from 18 ft,,111-100,,
0:34.0,,,111-100,,Defensive rebound by H. Whiteside
0:34.0,Personal foul by A. Bradley (drawn by R. McGruder),,111-100,,
0:34.0,,,111-101,1,R. McGruder makes free throw 1 of 2
0:34.0,,,111-102,1,R. McGruder makes free throw 2 of 2
0:16.0,,,111-102,,Personal foul by W. Ellington (drawn by M. Smart)
0:16.0,M. Smart makes free throw 1 of 2,1,112-102,,
0:16.0,M. Smart misses free throw 2 of 2,,112-102,,
0:16.0,T. Rozier enters the game for A. Bradley,,112-102,,
0:16.0,J. Brown enters the game for I. Thomas,,112-102,,
0:16.0,T. Zeller enters the game for J. Crowder,,112-102,,
0:15.0,,,112-102,,Defensive rebound by H. Whiteside
0:03.0,,,112-104,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
