time,Philadelphia,pts.away,score,pts.home,Indiana
1:02.0,J. Okafor enters the game for T. McConnell,,106-105,,
0:45.0,S. Rodriguez misses 3-pt shot from 28 ft,,106-105,,
0:44.0,,,106-105,,Defensive rebound by M. Turner
0:31.0,,,106-107,2,J. Teague makes 2-pt shot from 5 ft
0:31.0,Philadelphia full timeout,,106-107,,
0:31.0,,,106-107,,T. Young enters the game for C. Miles
0:06.0,G. Henderson makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,109-107,,
0:06.0,,,109-107,,Indiana full timeout
0:06.0,,,109-107,,C. Miles enters the game for T. Young
0:06.0,R. Holmes enters the game for J. Okafor,,109-107,,
0:06.0,E. Ilyasova enters the game for S. Rodriguez,,109-107,,
0:04.0,,,109-109,2,P. George makes 2-pt shot from 18 ft (assist by J. Teague)
0:04.0,Philadelphia full timeout,,109-109,,
0:04.0,,,109-109,,T. Young enters the game for M. Ellis
0:04.0,J. Okafor enters the game for R. Holmes,,109-109,,
0:00.0,J. Okafor misses 2-pt shot from 18 ft,,109-109,,
0:00.0,Offensive rebound by Team,,109-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:40.0,D. Saric makes 2-pt shot from 16 ft,2,111-109,,
4:19.0,,,111-112,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
3:58.0,Turnover by G. Henderson (lost ball; steal by P. George),,111-112,,
3:49.0,,,111-112,,P. George misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by G. Henderson,,111-112,,
3:32.0,R. Covington misses 3-pt shot from 24 ft,,111-112,,
3:31.0,,,111-112,,Defensive rebound by M. Turner
3:13.0,,,111-112,,J. Teague misses 2-pt shot from 8 ft (block by D. Saric)
3:13.0,,,111-112,,Offensive rebound by M. Turner
3:13.0,,,111-114,2,M. Turner makes 2-pt shot at rim
3:13.0,,,111-114,,Shooting foul by G. Henderson (drawn by M. Turner)
3:13.0,,,111-115,1,M. Turner makes free throw 1 of 1
3:13.0,,,111-114,,T. Young enters the game for C. Miles
2:56.0,R. Covington misses 2-pt shot from 3 ft,,111-115,,
2:56.0,,,111-115,,Defensive rebound by T. Young
2:46.0,,,111-115,,J. Teague misses 2-pt shot from 1 ft (block by D. Saric)
2:45.0,Defensive rebound by D. Saric,,111-115,,
2:25.0,Philadelphia full timeout,,111-115,,
2:23.0,G. Henderson misses 2-pt shot from 16 ft,,111-115,,
2:21.0,,,111-115,,Defensive rebound by J. Teague
2:06.0,,,111-115,,P. George misses 2-pt shot from 2 ft
2:05.0,,,111-115,,Offensive rebound by T. Young
2:05.0,,,111-115,,T. Young misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by D. Saric,,111-115,,
1:44.0,S. Rodriguez misses 3-pt shot from 28 ft,,111-115,,
1:43.0,Offensive rebound by Team,,111-115,,
1:43.0,J. Okafor enters the game for R. Holmes,,111-115,,
1:36.0,R. Covington misses 2-pt shot from 1 ft (block by M. Turner),,111-115,,
1:35.0,Offensive rebound by R. Covington,,111-115,,
1:24.0,S. Rodriguez misses 2-pt shot from 2 ft (block by J. Teague),,111-115,,
1:23.0,,,111-115,,Defensive rebound by J. Teague
1:21.0,,,111-117,2,P. George makes 2-pt shot at rim
1:12.0,,,111-117,,Personal foul by T. Young (drawn by D. Saric)
0:59.0,Shooting foul by M. Ellis (drawn by D. Saric),,111-117,,
0:59.0,D. Saric makes free throw 1 of 2,1,112-117,,
0:59.0,D. Saric makes free throw 2 of 2,1,113-117,,
0:59.0,,,113-117,,Indiana full timeout
0:59.0,T. McConnell enters the game for S. Rodriguez,,112-117,,
0:59.0,E. Ilyasova enters the game for J. Okafor,,113-117,,
0:37.0,,,113-119,2,P. George makes 2-pt shot from 18 ft
0:37.0,Philadelphia full timeout,,113-119,,
0:37.0,H. Thompson enters the game for T. McConnell,,113-119,,
0:30.0,G. Henderson misses 3-pt shot from 24 ft,,113-119,,
0:29.0,Offensive rebound by R. Covington,,113-119,,
0:28.0,Shooting foul by M. Ellis (drawn by R. Covington),,113-119,,
0:28.0,R. Covington makes free throw 1 of 2,1,114-119,,
0:28.0,R. Covington makes free throw 2 of 2,1,115-119,,
0:28.0,,,115-119,,Indiana full timeout
0:28.0,,,115-119,,C. Miles enters the game for T. Young
0:24.0,Personal take foul by H. Thompson (drawn by J. Teague),,115-119,,
0:23.0,Personal take foul by G. Henderson (drawn by J. Teague),,115-119,,
0:23.0,,,115-119,,J. Teague misses free throw 1 of 2
0:23.0,,,115-119,,Offensive rebound by Team
0:23.0,,,115-120,1,J. Teague makes free throw 2 of 2
0:23.0,Philadelphia full timeout,,115-120,,
0:23.0,,,115-119,,T. Young enters the game for C. Miles
0:23.0,S. Rodriguez enters the game for G. Henderson,,115-120,,
0:13.0,Turnover by S. Rodriguez (lost ball; steal by M. Ellis),,115-120,,
0:09.0,Personal take foul by D. Saric (drawn by J. Teague),,115-120,,
0:09.0,,,115-121,1,J. Teague makes free throw 1 of 2
0:09.0,,,115-122,1,J. Teague makes free throw 2 of 2
0:02.0,H. Thompson misses 2-pt shot from 2 ft (block by P. George),,115-122,,
0:01.0,,,115-122,,Defensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
